,Unnamed: 0,Unnamed: 0.1,cloudnum,RGAL_KPC,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3,clouds_r400pc,nn_dist,nn3_dist,nn5_dist,clouds_r100pc,clouds_r200pc,clouds_r600pc,clouds_r800pc,clouds_r1000pc,clouds_r1500pc
0,0,0,1,1.1377336256541415,170.0165198761689,0.0006611510838072,18.353664310259663,4.0,5.0,2.0,97.81737057002036,168.1862257859614,239.7078554559652,1.3655810056547124,2.3479665626634096,3.34644544633892,0.6521158038001363,1.1212415052397435,1.5980523697064355,1500332.7342896548,3907541.885012746,2199383.085930108,5.426471121317014,5.922451495619329,6.460193098679208,,,,123.52129533240873,152.48645956631296,173.28935377939945,9,97.81737057002171,239.7078554569367,275.88574796469015,1,2,14,15,15,27
1,1,1,2,1.003812709662449,170.01697312506417,0.0010913402788408,18.354197378909248,1.0,4.0,10.0,239.7078554559652,283.84645857889734,287.87160406092204,3.34644544633892,3.9626431389323993,4.018836248430422,1.5980523697064355,1.8923097238593167,1.919144027072815,2026062.8507142523,1500332.7342896548,2507428.023713359,3.2647123821972905,5.426471121317014,8.392386588997834,,,,178.21962723388083,123.52129533240873,155.91094044157367,5,239.7078554569367,287.8716040618709,379.18634732736075,0,0,15,15,17,27
2,2,2,3,1.5006654495295866,170.01712287472697,0.001233482380767,18.352727503303665,7.0,5.0,10.0,159.79604174661702,245.1201828378757,328.3322886193713,2.230835260816828,3.4220043314945108,4.5836882986013485,1.0653069449774475,1.6341345522525064,2.188881924129144,2592700.4886641493,3907541.885012746,2507428.023713359,3.514381992597765,5.922451495619329,8.392386588997834,,,,176.92431453688943,152.48645956631296,155.91094044157367,4,159.79604174537428,328.33228861937096,414.3494882482515,0,1,7,9,15,17
3,3,3,4,1.0972888612646183,170.01624704616253,0.0004021994300939,18.35376956975854,1.0,6.0,5.0,97.81737057002036,178.561853934669,229.96835858760707,1.3655810056547124,2.492815689552065,3.210477040619582,0.6521158038001363,1.190412359564461,1.5331223905840483,2026062.8507142523,1076665.8252912404,3907541.885012746,3.2647123821972905,6.581802884758146,5.922451495619329,,57.75345642935997,,178.21962723388083,154.22255797290174,152.48645956631296,8,97.81737057002171,229.96835858651426,283.8464585795598,1,2,15,15,15,27
4,4,4,5,1.3070642023923476,170.01656454318902,0.0007035478861782,18.35318556737161,1.0,7.0,8.0,168.1862257859614,195.50303992468392,224.291625972618,2.3479665626634096,2.7293233943330644,3.1312269218724147,1.1212415052397435,1.3033535994978935,1.4952775064841206,2026062.8507142523,2592700.4886641493,1371493.9510811826,3.2647123821972905,3.514381992597765,4.547941395030154,,,,178.21962723388083,176.92431453688943,130.57665089599053,8,168.18622578472522,224.29162597294422,245.12018283868883,0,2,9,15,15,27
5,5,5,6,1.0359563027474592,170.0157781286357,-4.2864383806186026e-05,18.35401914937375,11.0,4.0,9.0,84.97814585310124,178.561853934669,245.8760496350397,1.186338798482453,2.492815689552065,3.432556622309497,0.5665209723540087,1.190412359564461,1.6391736642335997,1432305.8201317373,1500332.7342896548,866467.5301544856,10.05340803180436,5.426471121317014,13.200188275639308,,,,118.9111594798416,123.52129533240873,128.28745466965057,7,84.97814585308842,245.87604963625535,324.4169887928324,1,2,13,15,20,27
6,6,6,7,1.3535499952016476,170.01715315727571,0.001262221310888,18.353183238410896,3.0,10.0,5.0,159.79604174661702,188.9664895715795,195.50303992468392,2.230835260816828,2.6380697759553824,2.7293233943330644,1.0653069449774475,1.2597765971438644,1.3033535994978935,351146.4775558187,2507428.023713359,3907541.885012746,3.4566389875855785,8.392386588997834,5.922451495619329,,,,218.6590256961111,155.91094044157367,152.48645956631296,6,159.79604174537428,195.50303992466246,359.88946717248183,0,3,8,14,15,27
7,7,7,8,1.386394985625721,170.0159131234604,8.52636167972101e-05,18.353016640971788,5.0,4.0,1.0,224.291625972618,285.87000051003014,303.28220913725033,3.1312269218724147,3.9908928292399386,4.233976253270522,1.4952775064841206,1.9058000034002025,2.0218813942483367,3907541.885012746,1500332.7342896548,2026062.8507142523,5.922451495619329,5.426471121317014,3.2647123821972905,,,,152.48645956631296,123.52129533240873,178.21962723388083,4,224.29162597294422,303.282209137233,414.3494882482515,0,0,10,11,15,27
8,8,8,9,0.808319222465146,170.01562378147733,-0.0001893589974334,18.35470633440437,12.0,11.0,6.0,90.94615160926728,164.78078562106649,245.8760496350397,1.26965524069273,2.300424859405855,3.432556622309497,0.6063076773951158,1.0985385708071107,1.6391736642335997,712330.9968107266,1432305.8201317373,1076665.8252912404,7.197364994037152,10.05340803180436,6.581802884758146,,,57.75345642935997,128.97467270997075,118.9111594798416,154.22255797290174,7,90.94615160756526,245.87604963625535,365.34576835371087,1,2,11,26,27,33
9,9,9,10,1.2966694743004088,170.01754240677798,0.0016316673767864,18.353577076796974,7.0,2.0,3.0,188.9664895715795,287.87160406092204,328.3322886193713,2.6380697759553824,4.018836248430422,4.5836882986013485,1.2597765971438644,1.919144027072815,2.188881924129144,2592700.4886641493,2199383.085930108,351146.4775558187,3.514381992597765,6.460193098679208,3.4566389875855785,,,,176.92431453688943,173.28935377939945,218.6590256961111,5,188.96648957250744,328.33228861937096,352.4986335733207,0,1,7,14,15,27
