res_pc,mean_dist_nn,mean_dist_nn2,mean_dist_nn3,5th_nn,5th_nn2,5th_nn3,16th_nn,16th_nn2,16th_nn3,50th_nn,50th_nn2,50th_nn3,84th_nn,84th_nn2,84th_nn3,95th_nn,95th_nn2,95th_nn3,mean_beam_sep,mean_beam_sep2,mean_beam_sep3
60,148.44171048485686,311.2991702257737,420.78563935407226,28.944080561097703,62.458511459232916,96.44120506407253,48.5255493527812,106.3633471575179,150.503892638374,88.17602698162163,219.65107968329121,316.20637119883435,215.22553775932826,475.53010400194773,644.2150676363264,516.9247355212574,852.7754309441066,1253.0651190047915,2.474028508080955,5.188319503762911,7.01309398923456
90,213.6086716306237,338.8296133674742,482.06941505125656,62.268576634930234,138.37524554602862,184.82052559231659,96.72498801643843,174.82713969392486,238.27333685317998,174.461310704061,282.83424723013076,410.01262772440606,307.54985125595925,509.4038123523813,670.6553981843736,605.8569199110455,705.2521826663822,1037.2843206352397,2.3734296847847087,3.7647734818608263,5.356326833902854
120,255.37514830034885,394.02301993574434,579.0153560233668,103.25811888884101,165.8813691477087,261.3933733301086,131.37981657226734,245.34035263351637,296.2010573903896,229.35427054609943,364.51708038021997,502.304252913239,375.32768936550616,581.4830075121366,726.5191990314269,555.1128477275813,716.7679955427036,1471.0089013565498,2.1281262358362425,3.283525166131206,4.825127966861395
150,322.5264682496375,505.5230932277782,624.4986755562032,157.1079688411998,259.29110782463835,276.04925381379945,184.31364657946236,283.575105477072,386.6729789917975,259.12919141622615,423.0664888184131,515.5654026019371,405.89473347615296,630.2045844381255,797.5088760725724,560.5193593566812,1396.2084430802652,1581.056563291966,2.1501764549975833,3.3701539548518546,4.163324503708021
