cloudnum,RGAL_KPC,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
1,2.5007180813309557,86.75515846730568,-0.002152372467153648,-34.262551748535735,2.0,3.0,4.0,220.03034996602932,469.916312147739,509.38974793489916,3.618942984275732,7.728935309634975,8.378173533040322,1.8335862497169129,3.9159692678978284,4.2449145661241605,3265916.9581108605,5265414.1646107305,3330039.4500696864,2.707458461839637,5.26863546637621,3.3979142170750127,41.62752473794735,92.16891883762233,57.895171932764406,133.0136034601024,184.06482746870708,135.25638224291856
2,2.3783546128765285,86.75617607928524,-0.001311360708087073,-34.26188552288041,1.0,3.0,4.0,220.03034996602932,325.58719134550364,493.11197427315767,3.618942984275732,5.355086160030952,8.110445309175377,1.8335862497169129,2.713226594545865,4.1092664522763185,2830492.402488231,5265414.1646107305,3330039.4500696864,2.681263134445803,5.26863546637621,3.3979142170750127,,92.16891883762233,57.895171932764406,144.29298216661917,184.06482746870708,135.25638224291856
3,2.0349197376471766,86.75581695318864,-0.0016081985427407635,-34.26032587914211,4.0,2.0,5.0,299.61351552660136,325.58719134550364,422.4848552787905,4.927884858505137,5.355086160030952,6.9488077586114025,2.496779296055013,2.713226594545865,3.5207071273232566,3330039.4500696864,3265916.9581108605,1353321.3357037604,3.3979142170750127,2.707458461839637,,57.895171932764406,41.62752473794735,,135.25638224291856,133.0136034601024,128.28388903568202
4,2.1256263651901732,86.75405214922039,-0.003066791433768284,-34.2602422850587,6.0,3.0,8.0,202.5209049853169,299.61351552660136,448.50826819313187,3.3309568810799943,4.927884858505137,7.376827109613693,1.6876742082109757,2.496779296055013,3.737568901609436,4225800.982379396,5265414.1646107305,3148739.412713294,5.141718229906554,5.26863546637621,6.97645894453609,84.31285004791256,92.16891883762233,76.01650535055879,173.18280553064514,184.06482746870708,163.01475456965983
5,1.6165562483638585,86.75637747936106,-0.0011449575375339026,-34.258318500627524,3.0,8.0,4.0,422.4848552787905,557.5009641665118,557.6561179232759,6.9488077586114025,9.16948140703702,9.172033294081746,3.5207071273232566,4.645841368054269,4.6471343160273015,5265414.1646107305,3148739.412713294,3330039.4500696864,5.26863546637621,6.97645894453609,3.3979142170750127,92.16891883762233,76.01650535055879,57.895171932764406,184.06482746870708,163.01475456965983,135.25638224291856
6,2.1053057426140245,86.75335558756686,-0.003642526810586121,-34.259439936187405,4.0,8.0,3.0,202.5209049853169,257.27515981578,455.0375075860984,3.3309568810799943,4.2315259453410965,7.484216590644289,1.6876742082109757,2.1439596651315016,3.791979229884156,3330039.4500696864,3148739.412713294,5265414.1646107305,3.3979142170750127,6.97645894453609,5.26863546637621,57.895171932764406,76.01650535055879,92.16891883762233,135.25638224291856,163.01475456965983,184.06482746870708
7,1.0423357473865624,86.75605908411573,-0.0014081631794627982,-34.25536621892926,9.0,10.0,11.0,103.54308642667245,143.82495969683248,227.73257550881561,1.7030219978830865,2.365556974021772,3.745625121970279,0.8628590535556043,1.198541330806938,1.8977714625734652,1312391.57351431,1431767.2055707816,1790701.2855047432,6.291510585079671,6.711353025197219,7.594247526378151,,,,71.00706280485008,81.91738357467017,84.21467956079319
8,1.9995236648753127,86.75309122750075,-0.003861076315337764,-34.25820458481106,6.0,4.0,5.0,257.27515981578,448.50826819313187,557.5009641665118,4.2315259453410965,7.376827109613693,9.16948140703702,2.1439596651315016,3.737568901609436,4.645841368054269,4225800.982379396,3330039.4500696864,1353321.3357037604,5.141718229906554,3.3979142170750127,,84.31285004791256,57.895171932764406,,173.18280553064514,135.25638224291856,128.28388903568202
9,0.9425729817194692,86.75617415565185,-0.0013130600320668175,-34.25487035605502,7.0,10.0,11.0,103.54308642667245,143.63714108354299,231.3730930403589,1.7030219978830865,2.3624678326692936,3.8055024315411874,0.8628590535556043,1.1969761756961923,1.9281091086696591,1839756.3124516895,1431767.2055707816,1790701.2855047432,3.5628412472210833,6.711353025197219,7.594247526378151,60.33422368446339,,,138.21538763885619,81.91738357467017,84.21467956079319
10,0.9715786165450656,86.75689378281376,-0.0007182548690313253,-34.255240192686685,11.0,9.0,7.0,89.80457752248434,143.63714108354299,143.82495969683248,1.4770582596038109,2.3624678326692936,2.365556974021772,0.7483714793540367,1.1969761756961923,1.198541330806938,1790701.2855047432,1312391.57351431,1839756.3124516895,7.594247526378151,6.291510585079671,3.5628412472210833,,,60.33422368446339,84.21467956079319,71.00706280485008,138.21538763885619
