cloudnum,RGAL_KPC,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
1,2.0779415437978974,86.7557523959144,-0.0013990848049575387,-34.260531920160304,10.0,6.0,5.0,229.09258547977836,291.8152551773544,318.40390292860224,3.270181105454045,4.165515578628225,4.5450551141990045,1.5272839031985237,1.9454350345156972,2.122692686190684,2016255.6607814045,4733923.937740448,1869653.6926089863,4.692567687318985,9.860478691873787,4.020702791801702,,57.0167027850234,66.90179934161195,139.5193004398341,188.64050709208772,175.44952673288103
2,2.454231282903616,86.75540327382839,-0.0016875933215715904,-34.26233113441066,6.0,1.0,3.0,260.3391053078717,373.6896167304875,405.6943687634309,3.7162094155323984,5.334230793096843,5.791082485453826,1.735594035385813,2.491264111536586,2.7046291250895425,4733923.937740448,4961049.155390207,1548289.877258991,9.860478691873787,5.113301116981672,1.1843773174765735,57.0167027850234,88.86903640824292,87.02742827620625,188.64050709208772,201.74418624756,197.05272406845407
3,2.485207903775295,86.75314623489041,-0.003552992962686381,-34.261672496744325,5.0,2.0,11.0,360.9898508832392,405.6943687634309,445.14247442808227,5.152948041276716,5.791082485453826,6.354184296541835,2.406599005888264,2.7046291250895425,2.9676164961872185,1869653.6926089863,2405989.952463031,2255055.31015591,4.020702791801702,1.450105363455195,5.317557193586848,66.90179934161195,109.45261002226468,,175.44952673288103,215.64499814759566,133.55653671100097
4,0.9137608139911616,86.75633586375014,-0.0009169190104573564,-34.25480957134113,15.0,9.0,16.0,100.54079326268851,127.46955677975801,234.97897834861303,1.4351691119397962,1.8195636285163008,3.3542063946122656,0.6702719550845906,0.8497970451983876,1.5665265223240883,1966640.8587105493,2055864.6996564353,2635512.3827887774,9.005786769680663,5.575822568713376,7.45061093876567,,31.259240750427516,,119.18745320329315,131.81823414206468,133.02330118066234
5,2.1033790926141203,86.75396731791605,-0.0028744438105944357,-34.26004826516189,11.0,1.0,3.0,198.05046649669063,318.40390292860224,360.9898508832392,2.8270705143401735,4.5450551141990045,5.152948041276716,1.3203364433112719,2.122692686190684,2.406599005888264,2255055.31015591,4961049.155390207,1548289.877258991,5.317557193586848,5.113301116981672,1.1843773174765735,,88.86903640824292,87.02742827620625,133.55653671100097,201.74418624756,197.05272406845407
6,2.372852905559528,86.75673591556776,-0.0005862111636428044,-34.26169984661989,10.0,2.0,1.0,207.39411398318916,260.3391053078717,291.8152551773544,2.960446369356956,3.7162094155323984,4.165515578628225,1.3826274265545957,1.735594035385813,1.9454350345156972,2016255.6607814045,2405989.952463031,4961049.155390207,4.692567687318985,1.450105363455195,5.113301116981672,,109.45261002226468,88.86903640824292,139.5193004398341,215.64499814759566,201.74418624756
7,1.7278805996415851,86.75670247292179,-0.0006138719549321615,-34.258782885848134,13.0,1.0,8.0,242.99437903301705,393.1733711821468,393.2446187557341,3.468622196485064,5.6123515604612075,5.613368583637524,1.6199625268867817,2.621155807880981,2.6216307917048964,2600592.559052436,4961049.155390207,1594420.3773435433,4.513688099545402,5.113301116981672,5.465358045103954,61.19818561545629,88.86903640824292,107.36885529482255,166.23125195784058,201.74418624756,212.6573783662972
8,1.7322223726914825,86.75448099074491,-0.0024499507814058305,-34.25822986951887,14.0,11.0,13.0,280.76308901911017,362.3746960663935,379.708033925144,4.007751481333951,5.172716007762607,5.4201406629142665,1.87175392679407,2.415831307109292,2.531386892834295,3464305.6188311987,2255055.31015591,2600592.559052436,6.1042148479174605,5.317557193586848,4.513688099545402,82.03733513722935,,61.19818561545629,181.9517243166139,133.55653671100097,166.23125195784058
9,1.0479942393755741,86.75602198853169,-0.001176342321503744,-34.25537441728407,15.0,4.0,16.0,118.00229908941,127.46955677975801,237.24972946232936,1.684423300187459,1.8195636285163008,3.3866202214138297,0.7866819939294006,0.8497970451983876,1.5816648630821974,1966640.8587105493,314412.75928753975,2635512.3827887774,9.005786769680663,2.618004524825756,7.45061093876567,,,,119.18745320329315,102.55161484837669,133.02330118066234
10,2.1873276027885042,86.7570826176314,-0.0002996740979179418,-34.2607299859176,6.0,1.0,7.0,207.39411398318916,229.09258547977836,404.4692519171174,2.960446369356956,3.270181105454045,5.77359456041078,1.3826274265545957,1.5272839031985237,2.696461679447452,4733923.937740448,4961049.155390207,1855879.2892686753,9.860478691873787,5.113301116981672,2.994879738221017,57.0167027850234,88.86903640824292,,188.64050709208772,201.74418624756,178.57852728491898
11,2.1828016996149437,86.75300111430764,-0.003673026142959271,-34.259505198139,5.0,14.0,8.0,198.05046649669063,211.04455081999257,362.3746960663935,2.8270705143401735,3.0125545139543366,5.172716007762607,1.3203364433112719,1.4069636721332848,2.415831307109292,1869653.6926089863,3464305.6188311987,1594420.3773435433,4.020702791801702,6.1042148479174605,5.465358045103954,66.90179934161195,82.03733513722935,107.36885529482255,175.44952673288103,181.9517243166139,212.6573783662972
12,1.3041943454353502,86.75576525162279,-0.001388523714733054,-34.25665585290493,13.0,9.0,15.0,238.9428668505291,266.3700636395589,336.1442600280467,3.4107889036268872,3.8022983037553,4.798289763714676,1.5929524456701956,1.7758004242637278,2.2409617335203134,2600592.559052436,2055864.6996564353,1966640.8587105493,4.513688099545402,5.575822568713376,9.005786769680663,61.19818561545629,31.259240750427516,,166.23125195784058,131.81823414206468,119.18745320329315
13,1.4680068063880614,86.75658835300871,-0.0007082024020992733,-34.257601748594716,12.0,7.0,8.0,238.9428668505291,242.99437903301705,379.708033925144,3.4107889036268872,3.468622196485064,5.4201406629142665,1.5929524456701956,1.6199625268867817,2.531386892834295,2283607.42422311,1855879.2892686753,1594420.3773435433,2.591177348656893,2.994879738221017,5.465358045103954,72.92080353888402,,107.36885529482255,178.3378320805485,178.57852728491898,212.6573783662972
14,2.087593249866899,86.75285317906744,-0.0037953401828722585,-34.25848338965608,11.0,8.0,17.0,211.04455081999257,280.76308901911017,315.64219633192346,3.0125545139543366,4.007751481333951,4.505633145511747,1.4069636721332848,1.87175392679407,2.104281308879492,2255055.31015591,1594420.3773435433,2180162.00699969,5.317557193586848,5.465358045103954,8.269280438532311,,107.36885529482255,52.22646723368008,133.55653671100097,212.6573783662972,176.30432718971144
15,0.9667726552857964,86.75668714889905,-0.0006265639624300385,-34.25520460234184,4.0,9.0,16.0,100.54079326268851,118.00229908941,139.80624228673815,1.4351691119397962,1.684423300187459,1.9956635916136063,0.6702719550845906,0.7866819939294006,0.932041615244922,314412.75928753975,2055864.6996564353,2635512.3827887774,2.618004524825756,5.575822568713376,7.45061093876567,,31.259240750427516,,102.55161484837669,131.81823414206468,133.02330118066234
16,1.0594973632436169,86.75740795061718,-3.0793382313312906e-05,-34.25553597962437,15.0,4.0,9.0,139.80624228673815,234.97897834861303,237.24972946232936,1.9956635916136063,3.3542063946122656,3.3866202214138297,0.932041615244922,1.5665265223240883,1.5816648630821974,1966640.8587105493,314412.75928753975,2055864.6996564353,9.005786769680663,2.618004524825756,5.575822568713376,,,31.259240750427516,119.18745320329315,102.55161484837669,131.81823414206468
17,2.1115424177882938,86.75226484389933,-0.0042816772928044615,-34.25702309972817,19.0,14.0,20.0,263.4793285491672,315.64219633192346,411.81450159880114,3.7610345184011194,4.505633145511747,5.878444294737974,1.7565288569944495,2.104281308879492,2.7454300106586764,900086.7004949384,3464305.6188311987,1538273.4164287795,3.823031482553539,6.1042148479174605,4.806661782853396,,82.03733513722935,,115.06619360344695,181.9517243166139,114.81490430220707
18,1.5738407471658526,86.75367689829712,-0.0031146481194082518,-34.25531879007682,20.0,21.0,19.0,212.13308072848955,286.6086094274723,305.16932706936853,3.0280927293532907,4.091193336734631,4.356138219211217,1.4142205381899315,1.9107240628498168,2.0344621804624587,1538273.4164287795,2032450.229861373,900086.7004949384,4.806661782853396,5.208880708049829,3.823031482553539,,,,114.81490430220707,137.4157937769181,115.06619360344695
