cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,RGAL_KPC_nn,RGAL_KPC_nn2,RGAL_KPC_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
11,55.514395176698635,0.007777545141001137,-47.2387809918659,12.0,10.0,8.0,484.8012411046148,1152.8951535474484,1518.2237909033456,4.152854040023204,9.875810724460457,13.005250954693327,3.232008274030765,7.685967690316322,10.121491939355638,4.058645077522663,4.56527210547309,4.609209560080495,996403.6651307235,270873.51650048036,1721211.7141031933,4.2526972741930615,,4.098255370963715,93.8541102351857,45.41472710939992,84.40265055507336,195.38249074734233,166.60619441173156,202.21534155256438
12,55.51761038411309,0.009960624902154436,-47.23807717486784,11.0,10.0,28.0,484.8012411046148,1588.1612027913802,1823.5800656651886,4.152854040023204,13.60434154869888,15.620962161211292,3.232008274030765,10.587741351942537,12.157200437767925,3.954625777884671,4.56527210547309,4.555923956095243,1417510.0837957761,270873.51650048036,1797624.2194383496,3.18944998029392,,5.364713875865544,121.35610692224773,45.41472710939992,88.2635222039115,267.80793055883873,166.60619441173156,191.51137969141402
13,55.50574803121045,0.0019071018102286184,-47.22519846118248,16.0,7.0,29.0,230.53363884608564,318.99818672927717,459.20366922779135,1.9747733138262047,2.7325691359624384,3.933582778379484,1.5368909256405712,2.126654578195181,3.0613577948519426,0.47501985517326367,0.6552174658657995,0.24674900454928445,8431423.418107368,8697145.827229403,55024990.50598772,12.274921699736982,11.615775455436484,17.86104816650315,64.79160848527066,72.28075750346588,152.97845054835622,167.40841885621373,188.17440605583147,280.2168450076003
14,55.472182797185184,-0.02088571884484481,-47.2301529157659,21.0,19.0,20.0,782.5287678986177,843.0632096719906,1019.2636751484216,6.70321665802192,7.221760506025093,8.73111063318342,5.216858452657451,5.620421397813272,6.795091167656143,6.100749868151889,5.754763519069822,5.123240002811675,1806150.2241205638,1943451.5935506858,472982.46329862974,5.969428459709681,3.3814812617506496,2.730010000499631,146.15180638450988,120.20345430769532,43.042846967682344,291.0333251790081,234.43999849285072,161.99921922858988
15,55.496964240600825,-0.004058120263771611,-47.22536882468121,2.0,23.0,1.0,371.71493119666815,553.6186625017949,680.5420847972005,3.184145837250284,4.742350687808371,5.829588925590245,2.478099541311121,3.6907910833453,4.536947231981336,1.2909283713692348,2.1479869863673957,1.024715720658866,4833223.418115378,5113084.6859843545,8835167.063261747,24.084189507665005,11.4859991123514,26.977789604094657,93.85765134277014,65.17343245143975,108.29393331969878,195.30484827838032,176.11534990702276,218.06756171176147
16,55.5054564151704,0.0017090945295630089,-47.22412586588965,13.0,7.0,29.0,230.53363884608564,259.0912441707066,259.71579258932536,1.9747733138262047,2.219400506560946,2.2247504483588285,1.5368909256405712,1.727274961138044,1.7314386172621687,0.698044146504527,0.6552174658657995,0.24674900454928445,29946951.25512099,8697145.827229403,55024990.50598772,19.257880548935894,11.615775455436484,17.86104816650315,113.63960750167645,72.28075750346588,152.97845054835622,242.51659341750522,188.17440605583147,280.2168450076003
17,55.50193831579956,-0.000680156677040827,-47.224411831205074,1.0,7.0,37.0,252.45301427065147,261.81878482435667,352.17357125181366,2.162536791038613,2.242764882025476,3.0167526692591475,1.6830200951376764,1.7454585654957115,2.347823808345425,1.024715720658866,0.6552174658657995,0.7234470674890808,8835167.063261747,8697145.827229403,3933758.316982984,26.977789604094657,11.615775455436484,10.543235994326674,108.29393331969878,72.28075750346588,117.35114066329146,218.06756171176147,188.17440605583147,233.6664841051272
18,55.50387146408474,0.000632738727016618,-47.22113841465308,62.0,5.0,45.0,301.6218752105093,314.17001557928364,377.5335131381889,2.583721980936601,2.6912105577119187,3.2339883695589764,2.010812501403396,2.0944667705285576,2.516890087587926,0.2793355122051639,0.45835528775146833,0.7442353706066664,23898008.61578323,4676485.357105199,5243008.434055899,19.90531803257707,12.560545123310593,33.87682944726048,123.32291162387787,97.03449285116145,162.7306186282136,236.72857065433047,199.3364014218191,291.3160498771959
19,55.470522737082796,-0.022014579974743514,-47.226327222024096,21.0,22.0,20.0,373.93827047997115,375.6938507965857,580.1981642598927,3.203191175302575,3.2182296450759313,4.970033255217683,2.492921803199808,2.504625671977238,3.8679877617326164,6.100749868151889,5.427113293625665,5.123240002811675,1806150.2241205638,1090269.0564231481,472982.46329862974,5.969428459709681,4.535618335441449,2.730010000499631,146.15180638450988,45.425027427698055,43.042846967682344,291.0333251790081,146.27792032874345,161.99921922858988
20,55.474409870389366,-0.019375087461413816,-47.225573207339174,22.0,19.0,27.0,292.224599243366,580.1981642598927,768.6947449500493,2.5032240115493023,4.970033255217683,6.584713087443521,1.9481639949557727,3.8679877617326164,5.1246316330003285,5.427113293625665,5.754763519069822,4.7883853247457235,1090269.0564231481,1943451.5935506858,3172418.8408931713,4.535618335441449,3.3814812617506496,10.435637076751108,45.425027427698055,120.20345430769532,180.31940052391724,146.27792032874345,234.43999849285072,324.4608792600502
