cloudnum,RGAL_KPC,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
1,4.73589643524626,165.828928378592,-0.018367642651411692,-23.08982118583984,3.0,2.0,5.0,281.3979663125446,451.42920382129967,710.7172719201398,4.740593421119644,7.605038308484497,11.973155555070964,2.3065407074798765,3.700239375584428,5.825551409181481,1491881.4291135252,1696781.029067621,10557597.515723279,2.837670003550682,5.0397322950479575,5.279963517587274,,,85.54175904150712,112.68219358346383,115.14069480395008,172.30564397996423
2,4.500862237375121,165.8306491840647,-0.016784809782265847,-23.088853023123537,3.0,5.0,4.0,181.9867057204644,259.3616304917513,266.2686869238608,3.065853641996311,4.3693565213418815,4.485716801803158,1.4916943091841364,2.125915004030751,2.182530220687386,1491881.4291135252,10557597.515723279,2264175.664935763,2.837670003550682,5.279963517587274,2.2578307201457726,,85.54175904150712,,112.68219358346383,172.30564397996423,103.68552002625387
3,4.507198278618863,165.83010216782998,-0.01728793762077767,-23.089406522051892,2.0,1.0,5.0,181.9867057204644,281.3979663125446,436.0890274555793,3.065853641996311,4.740593421119644,7.346608796320296,1.4916943091841364,2.3065407074798765,3.5745002250457363,1696781.029067621,2183540.531277484,10557597.515723279,5.0397322950479575,5.925029926413379,5.279963517587274,,,85.54175904150712,115.14069480395008,130.97860836540545,172.30564397996423
4,4.4341836788417215,165.83163291254328,-0.015879952844148133,-23.08823742040724,5.0,2.0,3.0,21.709283443977327,266.2686869238608,445.2582267913211,0.3657271856664183,4.485716801803158,7.501078448740147,0.17794494626210947,2.182530220687386,3.6496575966501767,10557597.515723279,1696781.029067621,1491881.4291135252,5.279963517587274,5.0397322950479575,2.837670003550682,85.54175904150712,,,172.30564397996423,115.14069480395008,112.68219358346383
5,4.39504358348545,165.83165545870952,-0.01585920234019635,-23.08832420293221,4.0,2.0,3.0,21.709283443977327,259.3616304917513,436.0890274555793,0.3657271856664183,4.3693565213418815,7.346608796320296,0.17794494626210947,2.125915004030751,3.5745002250457363,2264175.664935763,1696781.029067621,1491881.4291135252,2.2578307201457726,5.0397322950479575,2.837670003550682,,,,103.68552002625387,115.14069480395008,112.68219358346383
6,3.9094302917931,165.83262086493622,-0.014970824620348537,-23.091009708471432,7.0,9.0,8.0,191.57263618324365,292.2639292361096,410.21283243547987,3.227343788789656,4.923647737483712,6.9106834004002495,1.5702675096987202,2.395605977345164,3.362400265864593,902258.2255816633,2607077.591304376,4454833.151152322,2.4856779692050615,2.919275926238178,2.896009186196878,,72.74431670553591,48.249648576444066,118.79379492821889,157.05214056386808,130.12056979310245
7,3.704300660831709,165.83341446700769,-0.014240834803691526,-23.09071456827313,9.0,6.0,8.0,109.20894866937826,191.57263618324365,260.3734692938617,1.8397973175628024,3.227343788789656,4.386402544919716,0.8951553169621179,1.5702675096987202,2.134208764703787,2607077.591304376,1083578.6630743598,4454833.151152322,2.919275926238178,1.5971393580255124,2.896009186196878,72.74431670553591,,48.249648576444066,157.05214056386808,100.02606365108657,130.12056979310245
8,3.6767097374009086,165.83443928181626,-0.0132980728494582,-23.091221010691104,14.0,7.0,9.0,143.61960393295018,260.3734692938617,261.87796394923373,2.4194991828482197,4.386402544919716,4.4117481348641885,1.1772098683028718,2.134208764703787,2.146540688108476,920935.9254950221,902258.2255816633,2607077.591304376,2.1444243554166196,2.4856779692050615,2.919275926238178,60.96285641165978,,72.74431670553591,140.00450100959853,118.79379492821889,157.05214056386808
9,3.588191947037761,165.83372515999392,-0.013955068909293256,-23.090368418266557,7.0,14.0,8.0,109.20894866937826,250.83188451264104,261.87796394923373,1.8397973175628024,4.2256594712094016,4.4117481348641885,0.8951553169621179,2.0559990533823056,2.146540688108476,902258.2255816633,920935.9254950221,4454833.151152322,2.4856779692050615,2.1444243554166196,2.896009186196878,,60.96285641165978,48.249648576444066,118.79379492821889,140.00450100959853,130.12056979310245
10,1.235580133446022,165.84432903208466,-0.004200766178564532,-23.088257073246428,19.0,11.0,31.0,135.65453359687922,267.48641811272364,306.02069472954736,2.285314986250314,4.506231407996878,5.155402191322382,1.1119224065317979,2.1925116238747866,2.5083663502421945,3483097.5875092265,5719810.575244753,4516012.699437927,5.347057011861556,4.218336901335607,5.28250693609214,36.74257355029907,55.461114684520375,63.5766902279213,115.6016401640149,149.0554374116475,150.6372838373657
11,0.9024908042380516,165.84532846834924,-0.003281397590164035,-23.087654184818625,31.0,19.0,34.0,50.83323130571663,190.42751574633903,219.87252016044633,0.8563661104589531,3.2080524254556715,3.704100055221832,0.41666583037472704,1.5608812766093383,1.802233771806939,4516012.699437927,3483097.5875092265,2467688.642240057,5.28250693609214,5.347057011861556,5.383448216420364,63.5766902279213,36.74257355029907,,150.6372838373657,115.6016401640149,108.24567196188642
12,3.191344423464816,165.83655707875818,-0.011349995494784085,-23.09068716235231,13.0,14.0,40.0,159.1167105147925,398.09613394460297,403.3243990418962,2.6805724324916604,6.706558466932381,6.79463685445196,1.3042353320884643,3.2630830651197003,3.305937697064727,1522045.293028581,920935.9254950221,3432075.9720163327,3.005110406614605,2.1444243554166196,0.47414448179958624,53.482618838045376,60.96285641165978,78.6074351847909,131.6958133823531,140.00450100959853,165.26657050405603
13,3.103164160106082,165.8372680332854,-0.010695998959760864,-23.09068650976676,12.0,40.0,20.0,159.1167105147925,335.9517315732172,354.45019674869695,2.6805724324916604,5.659637805416322,5.9712736834606215,1.3042353320884643,2.753702717813259,2.9053294815467003,205867.8404482312,3432075.9720163327,2901707.9753707633,1.4165026666485359,0.47414448179958624,3.63346745432736,,78.6074351847909,73.04663420414094,71.98424622176981,165.26657050405603,162.12311801343196
14,3.4662806610927905,165.83477868663368,-0.01298590901524765,-23.090720002571835,8.0,9.0,7.0,143.61960393295018,250.83188451264104,305.32491457624906,2.4194991828482197,4.2256594712094016,5.143680675134849,1.1772098683028718,2.0559990533823056,2.5026632342315525,4454833.151152322,2607077.591304376,902258.2255816633,2.896009186196878,2.919275926238178,2.4856779692050615,48.249648576444066,72.74431670553591,,130.12056979310245,157.05214056386808,118.79379492821889
