cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,mlum_nn,mlum_nn2,mlum_nn3
11,139.4692483617996,128.98898055534326,-22.353338821395987,14.0,19.0,21.0,93.9294808465688,102.55773841308641,162.79775120233896,2.4800356574762583,2.7078489726781867,4.298376018901391,1.0436608982952096,1.1395304268120716,1.808863902248212,2351031.8750073034,661020.9001277691,189832.40802044334
12,139.47557522638348,128.9965338580445,-22.35150050578849,20.0,22.0,31.0,1001.8929122525676,1024.5326516390292,1047.003816316193,26.453144688597146,27.05090548157022,27.644215368541907,11.13214346947298,11.383696129322553,11.633375736846595,305599.46691247064,1137681.5476618665,429867.4394585179
13,139.46241414584708,128.98251397380426,-22.353496444250755,30.0,34.0,32.0,582.1379640981872,662.3123851269796,802.7317427044119,15.370285191849606,17.487143724195928,21.19465930560097,6.468199601090973,7.359026501410887,8.919241585604581,1129311.2392538004,1679348.6341775258,1365846.8870950958
14,139.46869995957172,128.9888600227589,-22.352921151190547,19.0,11.0,7.0,46.307393719670245,93.9294808465688,113.27797194958187,1.222661794726288,2.4800356574762583,2.9908970762912577,0.5145265968852252,1.0436608982952096,1.2586441327731324,661020.9001277691,552477.3860391874,932111.7372972311
15,139.45618825034376,128.98198262650487,-22.347849470725823,13.0,10.0,9.0,1225.5410601876774,1342.2831316669967,1391.8119584130045,32.35816382219176,35.44052409275776,36.74824191783237,13.617122890974205,14.914257018522193,15.464577315700055,907355.3354604298,1073909.7585321364,652558.6570885015
16,139.4816679992793,129.00345319343714,-22.35011317390308,8.0,12.0,3.0,232.45742510256167,1524.8282785114466,1658.449754268459,6.137611939335326,40.26029387316331,43.78832385368987,2.5828602789173534,16.942536427904972,18.42721949187177,712717.2366121415,2978006.0136610656,620721.9527871127
17,139.47032445599027,128.98901571822688,-22.354375842947704,27.0,29.0,40.0,91.00548783443509,128.1610847001424,150.83903247108913,2.4028329851422288,3.383858370050798,3.9826279853348647,1.0111720870492793,1.4240120522238051,1.6759892496787692,1557724.1048264147,1249053.410530846,1707804.9835819353
18,139.46738538471766,128.98740533343135,-22.353179206563834,24.0,19.0,21.0,161.9724808284395,273.58278821196166,282.6822636904492,4.27658626837916,7.223451720613072,7.463706680478575,1.7996942314271065,3.039808757910687,3.1409140410049923,330920.94691925496,661020.9001277691,189832.40802044334
19,139.46855097057926,128.98865745237498,-22.35299112337586,14.0,11.0,24.0,46.307393719670245,102.55773841308641,135.09323400175535,1.222661794726288,2.7078489726781867,3.5668890574984573,0.5145265968852252,1.1395304268120716,1.5010359333528382,2351031.8750073034,552477.3860391874,330920.94691925496
20,139.4752389498526,128.99322012280714,-22.35474389299469,22.0,31.0,35.0,58.36725259507375,150.0502001123881,326.56518109064336,1.5410802482892063,3.961800313769797,8.6223546249332,0.6485250288341531,1.667224445693202,3.6285020121182616,1137681.5476618665,429867.4394585179,1119616.4910676382
