cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3
1,139.4745740413369,129.00423731686905,-22.342176917315374,2.0,3.0,5.0,682.9864538213694,1704.627109315276,5828.750862168864,12.076687273784124,30.141518038071386,103.06500365470428,4.553243025475796,11.364180728768508,38.85833908112576,3068724.5616808464,2312957.475492723,2867760.2265351377,2.019324038594425,4.032744862461718,3.231693686052374
2,139.4712658501374,129.00107821328,-22.342284183153023,1.0,3.0,5.0,682.9864538213694,1757.462513675099,5242.667693669182,12.076687273784124,31.075763002766386,92.70177741090768,4.553243025475796,11.716416757833994,34.951117957794544,1787023.1451599232,2312957.475492723,2867760.2265351377,4.800550072899536,4.032744862461718,3.231693686052374
3,139.4816872074683,129.00354289397146,-22.350035466630587,1.0,2.0,5.0,1704.627109315276,1757.462513675099,5016.6140767957095,30.141518038071386,31.075763002766386,88.70465737607496,11.364180728768508,11.716416757833994,33.44409384530472,1787023.1451599232,3068724.5616808464,2867760.2265351377,4.800550072899536,2.019324038594425,3.231693686052374
4,139.45862188182605,128.9769990191763,-22.355665139318987,7.0,5.0,6.0,789.1738765788175,897.7403321069216,1110.321315074119,13.954312063962185,15.874003332361811,19.6328978716083,5.261159177192116,5.984935547379477,7.402142100494126,1028085.1399774973,2867760.2265351377,5694977.205864758,1.1135644663370392,3.231693686052374,6.449007963503812
5,139.4635236887534,128.98113118060127,-22.356098511559548,7.0,4.0,6.0,259.59888244398485,897.7403321069216,1663.571676347708,4.590273353678866,15.874003332361811,29.415568611014656,1.7306592162932324,5.984935547379477,11.090477842318053,1028085.1399774973,1163907.1132998066,5694977.205864758,1.1135644663370392,1.8187146882010568,6.449007963503812
6,139.46062871628854,128.97463199224885,-22.360226181376387,8.0,11.0,13.0,265.926098962331,555.324438085954,1090.446739506804,4.7021523152278935,9.819344932436968,19.281472111283588,1.7728406597488735,3.7021629205730266,7.269644930045358,6422955.328532252,1674743.002459107,1747739.6112257289,7.695437623605715,7.310380044416564,5.41137646106058
7,139.46365624961356,128.98038324292335,-22.357038759055122,5.0,4.0,6.0,259.59888244398485,789.1738765788175,1420.769120522386,4.590273353678866,13.954312063962185,25.12229087531181,1.7306592162932324,5.261159177192116,9.471794136815907,2867760.2265351377,1163907.1132998066,5694977.205864758,3.231693686052374,1.8187146882010568,6.449007963503812
8,139.45964371555738,128.97343943184515,-22.360530314781798,6.0,11.0,15.0,265.926098962331,303.21654466914316,1215.5652822113366,4.7021523152278935,5.361528571640411,21.4938403126439,1.7728406597488735,2.021443631127621,8.103768548075577,5694977.205864758,1674743.002459107,521085.29227621836,6.449007963503812,7.310380044416564,2.792886539196428
9,139.47438227834346,128.98340607695624,-22.364486103379523,10.0,12.0,13.0,304.0304718466797,360.54749361595503,1200.8318684423655,5.375920575949934,6.375264550833074,21.233321484535985,2.026869812311198,2.4036499574397,8.005545789615773,2344888.0192342657,520421.29226478725,1747739.6112257289,,,5.41137646106058
10,139.47476274852306,128.9845353800899,-22.363646727802664,9.0,12.0,13.0,304.0304718466797,653.7953880729176,1445.384929200242,5.375920575949934,11.560525686303023,25.557551958061662,2.026869812311198,4.358635920486116,9.635899528001614,2311195.687082688,520421.29226478725,1747739.6112257289,7.929567518851703,,5.41137646106058
11,139.45937251479646,128.9723591743404,-22.361426045817925,8.0,6.0,15.0,303.21654466914316,555.324438085954,1237.0514976802224,5.361528571640411,9.819344932436968,21.87376337475304,2.021443631127621,3.7021629205730266,8.247009984534815,6422955.328532252,5694977.205864758,521085.29227621836,7.695437623605715,6.449007963503812,2.792886539196428
12,139.47310392756953,128.98180107944756,-22.364942574312497,9.0,10.0,13.0,360.54749361595503,653.7953880729176,870.263766877652,6.375264550833074,11.560525686303023,15.388157846298324,2.4036499574397,4.358635920486116,5.8017584458510125,2311195.687082688,2344888.0192342657,1747739.6112257289,7.929567518851703,,5.41137646106058
13,139.46800432336232,128.97786166035178,-22.364104106341482,15.0,12.0,6.0,307.51695081710574,870.263766877652,1090.446739506804,5.437569113745783,15.388157846298324,19.281472111283588,2.0501130054473715,5.8017584458510125,7.269644930045358,521085.29227621836,520421.29226478725,5694977.205864758,2.792886539196428,,6.449007963503812
14,139.46658941261524,128.97328148749685,-22.36763631990939,15.0,13.0,11.0,943.1346610317703,1249.7564658024028,1356.5825380127017,16.676673885139813,22.098414868170654,23.987332370929614,6.2875644068784675,8.33170977201602,9.043883586751344,521085.29227621836,1747739.6112257289,1674743.002459107,2.792886539196428,5.41137646106058,7.310380044416564
15,139.4677938948833,128.97679469462858,-22.36504598214863,13.0,14.0,12.0,307.51695081710574,943.1346610317703,1081.969126234004,5.437569113745783,16.676673885139813,19.131569453989503,2.0501130054473715,6.2875644068784675,7.213127508226693,1747739.6112257289,2077868.0024465877,520421.29226478725,5.41137646106058,2.3278680740986775,
