cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3
11,169.55650226966912,-0.01133338426613058,-32.789848135305,7.0,20.0,37.0,103.91480504375956,112.52360225543669,176.6424542128159,3.1939549761958284,3.458557413564767,5.429332667302623,1.6494413499009457,1.786088924689471,2.8038484795685057,1342547.713993434,4567830.1941426685,2112245.0915241293,6.746018357263671,5.532811893056924,4.951499756617446,90.90008364226719,81.49889214681387,76.66260505412126,38.25732622595223,33.190177926940876,34.067974121646124
12,169.56170402992996,-0.006960700448042284,-32.78676415642693,10.0,5.0,6.0,85.30785682164752,151.28380912495902,183.38960078761727,2.6220465283013588,4.649902145984347,5.636714881690981,1.3540929654229763,2.4013303035707785,2.9109460442478925,490595.24493933935,529014.6713287029,1392699.9877394652,2.219381863663336,2.58732519321811,3.3107339830754445,61.776451731565956,79.45593984572987,66.6282813650834,18.67756192881729,32.82680086963106,26.07173678606027
13,169.55892620140474,-0.009296037240649112,-32.78638762252259,6.0,4.0,5.0,111.62375381598352,165.68138560026273,202.54175022866528,3.4308994162293236,5.092430147736279,6.2253807891747295,1.7718056161267228,2.629863263496234,3.21494841632802,1392699.9877394652,632153.2242820708,529014.6713287029,3.3107339830754445,8.828610767586046,2.58732519321811,66.6282813650834,105.94396082800048,79.45593984572987,26.07173678606027,53.16292494223999,32.82680086963106
14,169.5670237457123,-0.002488489870487955,-32.785676181631665,23.0,31.0,43.0,106.61228842922834,151.81238459567857,291.2645288986815,3.2768655920469136,4.666148591852084,8.952389325789762,1.6922585464956883,2.4097203904075957,4.623246490455261,732382.0309659647,2029914.5948304532,4098561.910749517,1.7831071543211403,2.322446285444781,6.275178857043329,73.40190256692102,84.92071731307082,87.82311064167672,31.429780755653315,41.4968547796438,43.7369099854619
15,169.55562024857932,-0.012075651279259627,-32.78406635368252,9.0,13.0,2.0,86.52208189160568,446.2298820006277,458.00562403791764,2.6593672950850857,13.715448453596196,14.077391007042378,1.3733663792318362,7.083014000009962,7.269930540284407,611929.5954368089,331539.3708453941,693534.1952306542,2.7894041159712026,1.5912889286117249,0.87856246352919,73.97245614073199,48.62471458172759,76.22303196089592,29.9494328433037,,
16,169.5599663473644,-0.008421416514746575,-32.78823523127512,30.0,5.0,1.0,110.1575297145682,114.12598281667756,117.50848052829832,3.3858331356068305,3.5078086378266,3.611774048659567,1.7485322176915588,1.81152353677266,1.865213976639656,258431.63360824191,529014.6713287029,706242.5077619216,7.255310438442877,2.58732519321811,6.945085525421548,54.43442354470644,79.45593984572987,80.5945830029504,,32.82680086963106,
17,169.5566667417575,-0.011195362726800023,-32.787909695915,8.0,7.0,2.0,73.19086339134708,145.41263346791186,196.81556164128875,2.2496151750698075,4.469444022639472,6.049379029602691,1.1617597363705885,2.308137039173204,3.1240565339887105,753795.7139595195,1342547.713993434,693534.1952306542,3.504486050519632,6.746018357263671,0.87856246352919,55.036002020707485,90.90008364226719,76.22303196089592,,38.25732622595223,
18,169.56195952834022,-0.0067454731128825645,-32.79245919185611,35.0,41.0,48.0,105.15382240030495,118.00176136276121,133.313063272538,3.232037765745063,3.626935668558015,4.097548194907598,1.6691082920683329,1.8730438311549398,2.1160803694053647,1034576.013040193,1932443.6662083487,1256666.9190552935,2.992879088843269,6.194095797329164,5.661530977965469,59.29610221086991,89.22715491562299,57.77296372793995,16.677394693921958,43.941599448410024,
19,169.55970572446537,-0.008640195366195992,-32.79153986230113,24.0,27.0,39.0,127.05896501569408,141.25408523595252,143.05913921259338,3.905320453724305,4.341625702491311,4.397106354440437,2.016808968503081,2.242128337078612,2.2707799875014816,1438204.118115035,754840.6704610003,574512.8529334737,3.7838071186186055,1.977281237647422,2.6651719815793093,118.67231085186947,70.4049951406146,60.00519729835311,65.13100377723975,22.00738102433597,16.771074069733427
20,169.55677343423582,-0.01110531595153839,-32.79073238776487,37.0,11.0,28.0,70.11310396638993,112.52360225543669,119.18762588348015,2.1550162868099885,3.458557413564767,3.6633847374414072,1.1129064121649197,1.786088924689471,1.8918670775155573,2112245.0915241293,1748577.370028813,2597594.90981328,4.951499756617446,5.61831181589593,5.197054365550653,76.66260505412126,92.48439160199977,67.3180507812042,34.067974121646124,44.13196000262472,25.893793429549337
