cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
11,169.56094867200534,-0.00752983077128791,-32.79342312728909,4.0,25.0,12.0,196.10120266781482,200.6135392378622,288.74964139356086,2.565588573237845,2.624623392939218,3.7777064618045375,1.3073413511187653,1.3374235949190816,1.9249976092904064,3037430.0243622116,4212701.51055174,4535109.460038815,5.6135344815163295,9.696615618380559,12.279743467283565,125.21712474048915,176.6981876758174,138.94957857006796
12,169.5634415685201,-0.005434294308390431,-32.792374283864305,4.0,20.0,11.0,163.28151909654002,214.57963869293403,288.74964139356086,2.136209232355485,2.8073416256026453,3.7777064618045375,1.0885434606436004,1.4305309246195606,1.9249976092904064,3037430.0243622116,1611520.7612456763,4333010.047822831,5.6135344815163295,4.296252843015435,9.103976495991935,125.21712474048915,203.49555662152014,154.1952698872805
13,169.56779145132802,-0.001777703375286195,-32.78792797206233,21.0,9.0,6.0,103.88225281487783,164.43401507789318,239.84302478366558,1.3590896800134626,2.151287316937511,3.1378620599187514,0.6925483520991857,1.096226767185955,1.5989534985577711,2729305.1643329435,3334808.4515362405,627707.676751246,3.6206097556913477,6.667955355177633,3.645781747018056,148.60638263827798,102.96260273282226,78.24227585548078
14,169.56020493353472,-0.008154581389757219,-32.7984099837536,16.0,30.0,24.0,244.69255331815293,328.182813781249,337.6315339250655,3.2013083561393185,4.293609960141295,4.41722739900913,1.6312836887876865,2.187885425208328,2.2508768928337712,3898378.0126042585,8847505.183127347,7105528.950106257,6.604649626946729,5.400238642308584,7.677108439253983,148.09290415050341,179.01822336174854,205.49835112285226
15,169.5583604054243,-0.009705496091479693,-32.79439486805748,24.0,10.0,11.0,254.42967115863246,264.84115290383255,293.6108491989532,3.328698896982261,3.46491212888787,3.841305557720212,1.6961978077242168,1.7656076860255507,1.957405661326355,7105528.950106257,5232376.797619668,4333010.047822831,7.677108439253983,6.22167748139497,9.103976495991935,205.49835112285226,159.0298104102136,154.1952698872805
16,169.5623628593822,-0.006340610922628636,-32.799218049689514,14.0,29.0,30.0,244.69255331815293,291.78601492683987,298.1108776441203,3.2013083561393185,3.817431283147213,3.9001793504410185,1.6312836887876865,1.9452400995122656,1.9874058509608024,6032506.419291272,4566414.24143393,8847505.183127347,6.122656545252232,4.100206869151922,5.400238642308584,187.30167723873492,189.29218538578183,179.01822336174854
17,169.56560572619696,-0.0036149115704380962,-32.79503239757139,23.0,19.0,12.0,211.6615596509557,362.3687949010792,396.9092581496753,2.769164449001712,4.740864547735703,5.1927568187640025,1.4110770643397048,2.415791966007196,2.646061720997836,2469733.9859966524,1679065.7770681465,4535109.460038815,2.885554749472322,3.713060590608307,12.279743467283565,130.42967656100618,119.9796306811024,138.94957857006796
18,169.57281146922932,0.0024427052647856165,-32.78150468524266,6.0,9.0,13.0,870.4805772631184,926.8779594226927,947.037663862806,11.388482028000743,12.126327983357953,12.390077040721055,5.80320384842079,6.179186396151287,6.313584425752042,627707.676751246,3334808.4515362405,1546106.7826525082,3.645781747018056,6.667955355177633,5.953192127165951,78.24227585548078,102.96260273282226,84.98559616823972
19,169.56736016442517,-0.002140045758597439,-32.797576646850125,26.0,22.0,23.0,195.1563625543618,232.593741409298,239.58920987686906,2.5532272467103483,3.0430198134846687,3.134541403973067,1.3010424170290789,1.5506249427286536,1.5972613991791271,4669476.690720305,4428321.394083607,2469733.9859966524,3.1507119223145197,4.519020312547304,2.885554749472322,160.79211595302675,149.10790975509644,130.42967656100618
20,169.5650563687659,-0.004076880746112214,-32.791283406800176,12.0,8.0,4.0,214.57963869293403,298.0637575415643,339.2061129995868,2.8073416256026453,3.899562878970968,4.437827589249138,1.4305309246195606,1.9870917169437623,2.261374086663912,4535109.460038815,5804463.726267692,3037430.0243622116,12.279743467283565,11.021997007669075,5.6135344815163295,138.94957857006796,166.26885301019755,125.21712474048915
