cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3
1,169.5560597144016,-0.012088843366935458,-32.788726717093766,8.0,4.0,3.0,120.1696639553264,149.52497820702555,270.54904065922767,2.0774455414582773,2.5849285842083187,4.677144628383682,1.0014138662943874,1.2460414850585473,2.2545753388268994,1141939.2670972343,1277440.9517049743,12683265.02508881,4.110650784637249,12.538466510535441,6.675393882637756
2,169.558720459466,-0.009852108663347169,-32.78798381139535,8.0,5.0,1.0,205.99832548134566,259.6509558221796,290.41552980157667,3.5612174381896016,4.488742855340725,5.020588621940532,1.716652712344549,2.1637579651848315,2.420129415013141,1141939.2670972343,2462415.9817166463,1381273.7263011616,4.110650784637249,3.0240728410031683,4.001074928468207
3,169.55676898385113,-0.011492306529770159,-32.790839781445165,1.0,4.0,8.0,270.54904065922767,296.2184834851401,358.2760957354746,4.677144628383682,5.120907786198905,6.1937352007028785,2.2545753388268994,2.46848736237617,2.9856341311289576,1381273.7263011616,1277440.9517049743,1141939.2670972343,4.001074928468207,12.538466510535441,4.110650784637249
4,169.55471481107185,-0.01321940198941955,-32.7891675850282,1.0,8.0,3.0,149.52497820702555,258.56465585140757,296.2184834851401,2.5849285842083187,4.469963331818004,5.120907786198905,1.2460414850585473,2.1547054654283992,2.46848736237617,1381273.7263011616,1141939.2670972343,12683265.02508881,4.001074928468207,4.110650784637249,6.675393882637756
5,169.56027855472632,-0.008542407371245687,-32.78633304873324,6.0,2.0,12.0,168.0856839228897,259.6509558221796,376.2377884234438,2.905798711215378,4.488742855340725,6.504249827801586,1.4007140326907486,2.1637579651848315,3.135314903528701,478480.45622606034,1871869.2905513293,2461923.7108823378,1.9359751525653905,7.673431499047607,2.6169627398884616
6,169.5618759949154,-0.007199465494889456,-32.78609368095247,5.0,10.0,12.0,168.0856839228897,330.2381770592156,398.8581555243903,2.905798711215378,5.709026770733247,6.895301772471088,1.4007140326907486,2.751984808826798,3.323817962703256,2462415.9817166463,2385804.6886235303,2461923.7108823378,3.0240728410031683,2.9728908275876362,2.6169627398884616
7,169.56702524725438,-0.002870521485241075,-32.7853986499007,16.0,19.0,14.0,202.71090636325675,336.00682962831826,490.7159935396669,3.5043858388908173,5.8087529509142914,8.48330368370032,1.6892575530271408,2.800056913569321,4.0892999461638935,2335085.388198641,4388557.9659022,1832128.4743955925,5.063283821667705,6.965735317098292,5.4750706679337044
8,169.55673279479169,-0.011523105654203171,-32.787932337155794,1.0,2.0,4.0,120.1696639553264,205.99832548134566,258.56465585140757,2.0774455414582773,3.5612174381896016,4.469963331818004,1.0014138662943874,1.716652712344549,2.1547054654283992,1381273.7263011616,1871869.2905513293,1277440.9517049743,4.001074928468207,7.673431499047607,12.538466510535441
9,169.56438971495277,-0.00508584542458546,-32.792048574691364,28.0,18.0,30.0,97.1755855953306,122.05997578990028,228.14488523265263,1.6799330245998312,2.110124503547755,3.944078389112255,0.8097965466277556,1.0171664649158365,1.9012073769387736,1035375.6568376336,3751047.8475850928,731456.2045637164,15.725937964344679,9.824002846338603,
10,169.56353415050413,-0.005805307924595646,-32.788382582283305,14.0,24.0,12.0,95.1366575200382,139.1542770159014,264.4769129882071,1.6446848438198218,2.4056440106964367,4.572172090871912,0.7928054793336523,1.1596189751325126,2.203974274901728,1832128.4743955925,1231160.699758576,2461923.7108823378,5.4750706679337044,6.365571552390128,2.6169627398884616
