res_pc,mean_dist_nn,mean_dist_nn2,mean_dist_nn3,90th_nn,90th_nn2,90th_nn3,75th_nn,75th_nn2,75th_nn3,mean_beam_sep,mean_beam_sep2,mean_beam_sep3
60,180.03637056604333,241.93165837579429,292.95992110764223,31626115.702725038,43865075.29241004,52035552.81156117,26009115.451038025,33855145.062150136,40202897.4122752,2.884579541944043,3.87627849920141,4.693863758637853
90,252.2146541744854,339.06680867134986,403.90795850744195,46830920.583019674,62476640.52459018,72254052.61824071,36687371.05358665,46286325.6899454,55652831.16644603,2.802385046383173,3.7674089852372235,4.487866205638247
120,324.01238584451966,422.32946536862806,512.5539368560447,60973050.7923211,77081205.57168388,88932709.53813493,47806756.94955674,62021236.75502461,72529989.17087033,2.700103215370999,3.519412211405237,4.2712828071337094
150,380.1746259191216,492.7031987662617,590.051213735204,69773064.50667703,87680533.00940008,105545905.92248619,58250120.93308253,72457226.12915006,83302625.94380482,2.5344975061274777,3.284687991775079,3.933674758234694
