cloudnum,x,corr_x,y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr,nearest_neighbor2,nearest_neighbor2_corr,min_distance2,min_distance_corr2,true_dist2_corr,nearest_neighbor3,nearest_neighbor3_corr,min_distance3,min_distance_corr3,true_dist3_corr
35,169.56756224209946,-166.764460041555,-32.788270894859025,31.0,31.0,210.5708100883437,264.18058643181735,25946586.638817027,32552396.37094448,22.0,22.0,416.0357224403428,420.66398573004255,51834319.044483915,25.0,56.0,449.92542130696637,539.5123245173221,66478840.37167961
36,169.56539740016072,-166.76117075087203,-32.79555498296316,46.0,46.0,381.90303687027404,387.06466170087316,47058185.460865185,47694202.132919684,56.0,56.0,415.08667040326367,453.52616630215937,55883604.9592655,33.0,33.0,429.4288699855804,498.6385172882986,61442359.86385795
37,169.55852895970435,-166.75073336805943,-32.794283130723684,48.0,48.0,258.20172354775025,265.1104997735949,31815679.42637856,32666980.519995812,30.0,30.0,299.29995395534735,432.8159090827421,53331682.007407404,28.0,28.0,336.9791664994648,505.3330583149692,62267262.84391843
38,169.56252495494678,-166.75680599624926,-32.79911758076908,39.0,55.0,304.2750751586137,418.850589169953,37492849.0626183,51610871.87753254,55.0,39.0,330.86728907538674,445.7291230229973,54922851.382430665,57.0,57.0,351.7524071733331,460.0199922434646,56683775.77749422
39,169.56021482500103,-166.75329542795888,-32.79824520713562,38.0,57.0,304.2750751586137,347.5864053212045,37492849.0626183,42829681.74153802,57.0,38.0,346.35297972161464,445.7291230229973,54922851.382430665,48.0,48.0,350.94029363735734,460.29829562999737,56718068.38874228
40,169.54508564361797,-166.73029863686907,-32.79513732822419,29.0,29.0,505.4171674893332,528.5343668142891,62277626.79692235,65126133.74278119,49.0,65.0,546.0869896509813,639.5242404217659,78802333.07154638,41.0,63.0,558.1172123677471,744.5600464853886,91744870.74362153
41,169.54928641166413,-166.73668494575418,-32.793443437744,49.0,49.0,290.7391427756464,291.868524596931,35824948.16902113,35964110.87282594,34.0,34.0,307.7168124145656,344.60203390672183,42461946.7670855,40.0,63.0,558.1172123677471,644.0125228195311,79355380.32460219
42,169.5386724811983,-166.72054737440746,-32.78460172269546,45.0,45.0,760.6780193354815,770.9078980801278,93730931.29409184,94991459.45106287,29.0,29.0,1042.731899012245,1284.750383330565,158307255.95990464,27.0,74.0,1301.8224233107067,1588.3995945613387,195722985.91650343
43,169.55419780176712,-166.74415059840456,-32.79595833104633,75.0,75.0,116.51622299285232,116.7458116626747,14357157.449522102,14385447.421481356,28.0,28.0,346.16493911656914,417.9787874751555,51503448.25981249,64.0,64.0,355.2115680656821,445.01677368463044,54835075.52300701
44,169.56504509057788,-166.76063542711398,-32.79137890582096,33.0,33.0,230.74710215229456,307.844780256958,28432714.27382847,37932708.99653012,56.0,56.0,241.96405054223317,335.4877126329421,41338877.87408498,25.0,25.0,310.3473234263237,343.3618020773879,42309125.09822014
