,Unnamed: 0,Unnamed: 0.1,cloudnum,RGAL_KPC,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3,clouds_r400pc,nn_dist,nn3_dist,nn5_dist,clouds_r100pc,clouds_r200pc,clouds_r600pc,clouds_r800pc,clouds_r1000pc,clouds_r1500pc
0,0,0,1,0.1296269091708562,70.36690962843234,-0.0002304544995028,-2.858301867340056,65.0,4.0,59.0,124.79593318227856,140.91119764191998,345.6128323030409,1.8653517815956224,2.1062301219720654,5.165949691142133,1.0399661098523216,1.1742599803493334,2.880106935858674,6174279.488251761,54804293.7711316,7398701.563052856,9.413652059142828,19.73551421939968,9.975071534993708,78.2246248380349,87.30492920956488,65.02106110543022,166.17346000066186,175.73499804128738,143.69990538039244,7,124.79593318243113,345.6128323030895,372.8779517587843,0,2,11,13,20,44
1,1,1,2,2.4196481780802337,70.3637173278582,-0.0034187509952734,-2.8692162439683875,9.0,7.0,13.0,321.36816689629273,329.09567892873014,500.837051632903,4.803559438051024,4.919064230310196,7.486119641318562,2.678068057469107,2.742463991072752,4.17364209694086,730359.9789688821,829603.671438505,798530.3213838282,2.0158577256980816,,,53.20221680576038,,49.3916199982169,134.05992402564857,107.22686132772408,127.5467818467326,2,321.3681668962052,500.83705163298777,640.4461277352398,0,0,4,7,8,18
2,2,2,3,1.2716747035936395,70.36372903674642,-0.0034070756370704,-2.8628838277098443,16.0,12.0,20.0,353.22415436113937,410.9139505659599,421.91031327792086,5.279717766746288,6.142019617347229,6.3063846271097495,2.943534619676164,3.4242829213830004,3.5159192773160086,1848622.8518129687,2963163.516797292,1952199.426523816,2.0208785275028034,2.953294474303221,2.8121347141061737,72.16211710180966,80.57942421060568,84.01390781185218,152.9299531291477,172.2910944790888,170.47926686277515,1,353.22415436114943,421.9103132780121,535.3375368292235,0,0,5,14,28,46
3,3,3,4,0.0311895403325987,70.36752827245111,0.0003874199758427,-2.857994615139274,65.0,1.0,59.0,76.04591263877677,140.91119764191998,205.5960303626493,1.136674689684125,2.1062301219720654,3.0730882949991454,0.6337159386564734,1.1742599803493334,1.7133002530220784,6174279.488251761,13278780.479966618,7398701.563052856,9.413652059142828,9.98438916390239,9.975071534993708,78.2246248380349,96.12870294657388,65.02106110543022,166.17346000066186,187.6511464495072,143.69990538039244,5,76.04591263882567,205.59603036266924,256.7440013088544,1,2,8,14,16,44
4,4,4,5,2.0329906900044774,70.36181936775209,-0.0053143463756219,-2.8660812651712364,6.0,10.0,8.0,315.67373961626714,335.8689427242798,340.68176249985333,4.718443602934443,5.0203056679601845,5.092243925192911,2.6306144968022265,2.7989078560356666,2.8390146874987794,1065252.6690627302,2383915.980701996,2236590.2377410345,1.482250003898754,2.5390206656849355,1.383169551261322,39.05772193073582,58.68046194632719,85.7862311539111,144.051104610146,138.63623048400746,177.64818368036177,3,315.67373961618716,340.6817624998587,463.4175492624582,0,0,8,13,16,28
5,5,5,6,2.3511268822571467,70.36097842828633,-0.0061542269572651,-2.867379086260069,8.0,5.0,7.0,235.8151110513436,315.67373961626714,421.1281068495639,3.524779424376768,4.718443602934443,6.294692818590796,1.965125925427864,2.6306144968022265,3.509400890413034,2236590.2377410345,4576316.58340193,829603.671438505,1.383169551261322,4.665736051282641,,85.7862311539111,91.04602004181956,,177.64818368036177,181.5360590569664,107.22686132772408,2,235.81511105128442,421.12810684956986,615.7354502718069,0,0,4,10,13,20
6,6,6,7,2.1966649816676376,70.36300592803123,-0.0041292642318338,-2.8677697150809127,10.0,9.0,2.0,231.69203091995143,237.5484084526528,329.09567892873014,3.463150854657912,3.5506873951985787,4.919064230310196,1.9307669243329293,1.9795700704387744,2.742463991072752,2383915.980701996,730359.9789688821,4312804.976034234,2.5390206656849355,2.0158577256980816,1.6311738716940367,58.68046194632719,53.20221680576038,97.38376296414164,138.63623048400746,134.05992402564857,188.84388541607564,4,231.69203092003883,329.0956789287291,421.12810684956986,0,0,7,8,11,23
7,7,7,8,2.327834258083604,70.3602073393246,-0.0069243557236206,-2.8665185778307296,6.0,5.0,11.0,235.8151110513436,340.68176249985333,397.3684064896124,3.524779424376768,5.092243925192911,5.9395514428547855,1.965125925427864,2.8390146874987794,3.3114033874134376,1065252.6690627302,4576316.58340193,1982753.0050462044,1.482250003898754,4.665736051282641,1.249544711251405,39.05772193073582,91.04602004181956,82.91677345786206,144.051104610146,181.5360590569664,173.77502582257438,3,235.81511105128442,397.3684064896982,625.3390908482497,0,0,4,9,14,24
8,8,8,9,2.0981626112576017,70.36416906747614,-0.0029675815929334,-2.867708537232004,13.0,7.0,10.0,179.58908043211846,237.5484084526528,267.0380901858931,2.6843567943025115,3.5506873951985787,3.991476040766391,1.4965756702676545,1.9795700704387744,2.2253174182157767,798530.3213838282,829603.671438505,2383915.980701996,,,2.5390206656849355,49.3916199982169,,58.68046194632719,127.5467818467326,107.22686132772408,138.63623048400746,5,179.58908043228854,267.03809018603,331.74944231165466,0,1,6,7,11,23
9,9,9,10,1.9671156181018832,70.36334991283823,-0.003785713789572,-2.866688363862117,13.0,7.0,9.0,229.6550731156381,231.69203091995143,267.0380901858931,3.4327040061715803,3.463150854657912,3.991476040766391,1.913792275963652,1.9307669243329293,2.2253174182157767,798530.3213838282,829603.671438505,730359.9789688821,,,2.0158577256980816,49.3916199982169,,53.20221680576038,127.5467818467326,107.22686132772408,134.05992402564857,5,229.6550731156274,267.03809018603,380.16925000700326,0,0,7,10,15,27
10,10,10,11,2.156743916950127,70.35973855023214,-0.0073925704427297,-2.864629803335341,22.0,15.0,8.0,220.98715119654003,323.6676376896432,397.3684064896124,3.3031427041145247,4.8379301249133775,5.9395514428547855,1.8415595933045008,2.69723031408036,3.3114033874134376,279171.3233955496,768008.0943169245,2236590.2377410345,4.440784513200722,4.460107570786231,1.383169551261322,,,85.7862311539111,87.43292826632344,74.3196678748757,177.64818368036177,3,220.98715119636876,397.3684064896982,479.3886937927175,0,0,7,10,15,28
11,11,11,12,1.676608692060237,70.36194306314559,-0.0051908159824885,-2.8638152391363394,18.0,16.0,22.0,161.98150848544947,362.5845232994141,366.8548526204702,2.421172611430789,5.419629224036328,5.483458759213544,1.3498459040454127,3.0215376941617853,3.0571237718372526,1347572.5145880033,1848622.8518129687,279171.3233955496,3.4450411800791603,2.0208785275028034,4.440784513200722,,72.16211710180966,,124.72551643806304,152.9299531291477,87.43292826632344,3,161.98150848537693,366.85485262047524,463.4175492624582,0,1,7,16,24,38
12,12,12,13,1.9185926508243112,70.36445977041826,-0.002677244637348,-2.866878382711953,14.0,9.0,10.0,174.1703805409966,179.58908043211846,229.6550731156381,2.6033623160523858,2.6843567943025115,3.4327040061715803,1.4514198378416387,1.4965756702676545,1.913792275963652,545515.9894303379,730359.9789688821,2383915.980701996,,2.0158577256980816,2.5390206656849355,18.624384299488923,53.20221680576038,58.68046194632719,101.93585908785178,134.05992402564857,138.63623048400746,4,174.17038054095985,229.6550731156274,500.83705163298777,0,2,6,8,13,24
13,13,13,14,1.795315379146742,70.3651987310911,-0.0019392095448348,-2.866450847867984,13.0,9.0,10.0,174.1703805409966,331.7494423115802,380.16925000701553,2.6033623160523858,4.958730605070199,5.682471934182866,1.4514198378416387,2.764578685929836,3.1680770833917973,798530.3213838282,730359.9789688821,2383915.980701996,,2.0158577256980816,2.5390206656849355,49.3916199982169,53.20221680576038,58.68046194632719,127.5467818467326,134.05992402564857,138.63623048400746,3,174.17038054095985,380.16925000700326,552.8263755212722,0,1,5,9,13,26
14,14,14,15,2.155288321003375,70.35899590038707,-0.0081343022206224,-2.8632290401441827,19.0,22.0,11.0,139.31848565551823,249.97323889457752,323.6676376896432,2.0824235117272933,3.736404020811817,4.8379301249133775,1.1609873804626525,2.08311032412148,2.69723031408036,3083451.921772768,279171.3233955496,1982753.0050462044,3.2960584517682845,4.440784513200722,1.249544711251405,62.97858235726484,,82.91677345786206,141.1511218868777,87.43292826632344,173.77502582257438,3,139.31848565552113,323.6676376895682,597.8234893863361,0,1,5,10,15,30
15,15,15,16,1.4147041094200303,70.3622065638294,-0.0049276519346385,-2.862059245637392,23.0,18.0,29.0,222.9843639254709,253.8017352133901,330.42168215497435,3.3329954743702284,3.793629382624676,4.938884287081305,1.8582030327122585,2.115014460111585,2.753514017958121,1541460.6819594,1347572.5145880033,1444507.9658755187,2.3036865290680857,3.4450411800791603,5.557675334459415,,,,102.01039091855108,124.72551643806304,95.7141152163274,6,222.98436392546833,330.421682154977,360.9998487488896,0,0,11,17,27,41
