,Unnamed: 0,Unnamed: 0.1,cloudnum,RGAL_KPC,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,clouds_r400pc,nn_dist,nn3_dist,nn5_dist,clouds_r100pc,clouds_r200pc,clouds_r600pc,clouds_r800pc,clouds_r1000pc,clouds_r1500pc
0,0,0,1,4.910512347754416,191.9479267228444,0.0079074817248982,13.745826291227784,2.0,8.0,4.0,165.7407019931098,225.87008731164588,294.75109805106695,3.040679862718903,4.143813908231387,5.407505323559104,1.8415633554790027,2.509667636796072,3.27501220056742,4,165.7407019931083,294.75109805111697,511.30801028819303,0,1,6,7,9,12
1,1,1,2,4.9295196264783545,191.94739489617533,0.0073908984487782,13.745460319082568,1.0,4.0,7.0,165.7407019931098,204.29498215442064,351.05026382154824,3.040679862718903,3.747996906138897,6.440370139428487,1.8415633554790027,2.2699442461602355,3.900558486906102,5,165.7407019931083,351.0502638215391,391.52833840178874,0,1,6,6,7,11
2,2,2,3,4.982685477721069,191.94614053214343,0.0061724782750057,13.74470134323654,7.0,4.0,2.0,95.0243426441434,366.31551196117584,375.80680257457806,1.743317131347493,6.720426468739211,6.894553740389024,1.0558260293793738,4.070172355124187,4.175631139717545,3,95.02434264368588,375.8068025743194,766.6711032944953,1,1,4,5,6,9
3,3,3,4,4.741780203275431,191.94677553666108,0.0067892624288207,13.745957289109697,2.0,7.0,1.0,204.29498215442064,294.58769877203474,294.75109805106695,3.747996906138897,5.404507599455361,5.407505323559104,2.2699442461602355,3.273196653022617,3.27501220056742,4,204.2949821547151,294.75109805111697,482.76872477088983,0,0,5,6,7,11
4,4,4,5,4.934001423008435,191.9492068713385,0.0091509376417,13.746551457862196,8.0,1.0,10.0,155.6604830536532,376.85012624819234,420.6546481386141,2.855748108645136,6.913694562447258,7.717332570531548,1.7295609228183737,4.187223624979926,4.673940534873502,2,155.66048305396106,420.65464813815396,542.1410722597223,0,1,5,8,11,12
5,5,5,6,4.7380043562918255,191.9501016780148,0.0100200406508208,13.74826137680443,10.0,14.0,19.0,165.298328183488,178.34199347164372,207.8419805340388,3.0325640702881023,3.271863227953004,3.813070158612812,1.8366480909276488,1.981577705240491,2.309355339267104,4,165.2983281834849,207.84198053357923,502.1611741464805,0,2,6,7,8,17
6,6,6,7,4.889229282292978,191.94607766966763,0.0061114065911821,13.74505913472574,3.0,4.0,2.0,95.0243426441434,294.58769877203474,351.05026382154824,1.743317131347493,5.404507599455361,6.440370139428487,1.0558260293793738,3.273196653022617,3.900558486906102,3,95.02434264368588,351.0502638215391,732.1250054289658,1,1,4,5,6,10
7,7,7,8,4.889129365505292,191.94862955109443,0.0085901611909362,13.746353836370195,5.0,1.0,2.0,155.6604830536532,225.87008731164588,391.52833840206193,2.855748108645136,4.143813908231387,7.182981126219882,1.7295609228183737,2.509667636796072,4.350314871134033,3,155.66048305396106,391.52833840178874,513.2017284275645,0,1,5,9,10,12
8,8,8,9,4.189640815047935,191.9507480230091,0.0106476889911474,13.752184518193408,21.0,27.0,25.0,183.1355104758373,206.4066002451251,280.9930975086669,3.359805118212754,3.786736663657391,5.155100967251437,2.0348390052870866,2.293406669390285,3.122145527874085,3,183.13551047583695,280.9930975086669,509.95696393375715,0,1,5,7,9,11
9,9,9,10,4.646057537023016,191.9494640410213,0.0094006773392086,13.748138713279008,6.0,14.0,19.0,165.298328183488,257.23343555236943,302.82465973263913,3.0325640702881023,4.719206073681326,5.555622932151084,1.8366480909276488,2.8581492839152234,3.364718441473777,3,165.2983281834849,302.82465973228267,513.2017284275645,0,1,6,8,10,16
10,10,10,11,4.668041619598087,191.95092883967573,0.0108234450548889,13.749526632476387,20.0,19.0,14.0,210.1245687986652,223.92526763290053,271.3689301995753,3.8549465359158144,4.108134235328673,4.978535938985725,2.334717431096286,2.488058529254457,3.0152103355508446,4,210.1245687991107,271.36893019929704,520.3546965165975,0,0,5,7,10,16
11,11,11,12,4.62155836643128,191.9371125081073,-0.0025970026641837,13.746236538616971,17.0,13.0,18.0,579.9302781209534,719.6966417865596,1212.6949412130523,10.63940418531993,13.203558689149189,22.248108298231447,6.443669756899499,7.996629353184017,13.474388235700616,0,579.930278121399,1212.6949412135154,1487.0968655258246,0,0,1,2,2,5
12,12,12,13,3.847175903670608,191.93815012526127,-0.00158908791829,13.748794139346954,17.0,18.0,24.0,147.75927583690333,553.0991204624868,679.3742965977265,2.710792516046406,10.147159614104543,12.4638047146645,1.6417697315211526,6.145545782916536,7.548603295530314,1,147.7592758369013,679.3742965977254,769.1304072691843,0,1,2,5,6,6
13,13,13,14,4.596886392835465,191.95004857573468,0.0099684308740479,13.748940635216789,19.0,6.0,10.0,47.50071979148631,178.34199347164372,257.23343555236943,0.8714484758284065,3.271863227953004,4.719206073681326,0.5277857754609604,1.981577705240491,2.8581492839152234,4,47.50071979092324,257.2334355527608,457.4476377071808,1,2,5,7,10,18
