cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3
1,55.50174781187967,37.69203116731844,-47.22552919011437,22.0,11.0,2.0,112.75905898025078,342.5770504785531,399.0098654749853,1.1517190117462934,3.4990758666514163,4.075479629732978,0.9396588248354233,2.8548087539879425,3.3250822122915444
2,55.4993389510727,37.690170094940726,-47.22584589097818,27.0,22.0,15.0,82.21735228283407,305.328859853549,398.22779976404706,0.839766565772487,3.11862351378564,4.067491624548577,0.6851446023569506,2.5444071654462417,3.3185649980337257
3,55.495657205375544,37.67826776597487,-47.23906861136394,8.0,4.0,9.0,1246.8484264476656,1348.3578908058719,1427.8863000774911,12.735287528048973,13.77210338152293,14.58440513147019,10.390403553730549,11.2363157567156,11.89905250064576
4,55.486056029483336,37.67189145032244,-47.23886845055739,7.0,3.0,18.0,742.2431376512112,1348.3578908058719,1882.994490410701,7.581258133068004,13.77210338152293,19.232872047995382,6.185359480426761,11.2363157567156,15.69162075342251
5,55.503449004275,37.69529350720232,-47.22256593080951,56.0,49.0,53.0,230.34315931221047,270.4607357251957,313.27180379448936,2.3527209095638377,2.7624811175495414,3.1997526011401054,1.9195263276017542,2.253839464376631,2.6105983649540785
6,55.50409881941773,37.69464272813523,-47.22410182418226,12.0,17.0,49.0,205.3523495934506,230.276713262932,321.66326809398873,2.0974652260531155,2.3520422308048845,3.2854628674151765,1.711269579945422,1.9189726105244336,2.680527234116573
7,55.481117649930574,37.670942208164185,-47.235487416699684,4.0,18.0,13.0,742.2431376512112,1143.4930070433495,1290.3795701282756,7.581258133068004,11.679617122748667,13.179913851055085,6.185359480426761,9.529108392027913,10.7531630844023
8,55.506090745482325,37.682266795650925,-47.24340544994691,9.0,3.0,10.0,301.23370495805335,1246.8484264476656,2177.4325737935706,3.0767956749242473,12.735287528048973,22.24025736568932,2.510280874650445,10.390403553730549,18.145271448279757
9,55.50786363685995,37.683665399632105,-47.24313129594137,8.0,3.0,10.0,301.23370495805335,1427.8863000774911,1887.7991646291725,3.0767956749242473,14.58440513147019,19.28194690453201,2.510280874650445,11.89905250064576,15.731659705243107
10,55.515021843810516,37.6915329259778,-47.238903133902554,9.0,8.0,2.0,1887.7991646291725,2177.4325737935706,2774.762125569943,19.28194690453201,22.24025736568932,28.34137072438835,15.731659705243107,18.145271448279757,23.12301771308286
11,55.503928049407996,37.693641671201846,-47.22534654654491,17.0,6.0,1.0,335.4573925918127,337.60970505832904,342.5770504785531,3.426355808330209,3.4483394893694377,3.4990758666514163,2.79547827159844,2.813414208819409,2.8548087539879425
12,55.5058533574468,37.6954521342927,-47.22463925108925,6.0,38.0,11.0,205.3523495934506,321.0303202172809,410.8232116706333,2.0974652260531155,3.2789979491226555,4.196140936495493,1.711269579945422,2.6752526684773414,3.4235267639219447
13,55.4717092827536,37.668544656983805,-47.22987274455534,18.0,14.0,24.0,148.77959639951305,263.74391042230025,564.8452564007089,1.5196321367250067,2.6938755840351285,5.769319346708504,1.2398299699959423,2.1978659201858357,4.707043803339241
14,55.470272878458395,37.668453725746886,-47.22862821621048,13.0,24.0,18.0,263.74391042230025,313.0557156314196,401.59035224985644,2.6938755840351285,3.197545480507214,4.101836675499913,2.1978659201858357,2.6087976302618303,3.346586268748804
15,55.49621916027027,37.68832596579421,-47.22545972954502,40.0,29.0,27.0,44.653221920969635,46.70295235268604,316.6790787270726,0.45608721008495146,0.47702312005539727,3.2345544463629357,0.372110182674747,0.38919126960571704,2.6389923227256054
16,55.50366292618037,37.6965846608774,-47.220954369792324,104.0,76.0,53.0,116.9819349954597,244.08957133376677,252.03153102118654,1.1948513918401655,2.493126516099603,2.5742455503062116,0.9748494582954976,2.0340797611147234,2.100262758509888
17,55.50221754519332,37.6936083172904,-47.223759754743305,6.0,49.0,11.0,230.276713262932,238.0762873766497,335.4573925918127,2.3520422308048845,2.431706941308244,3.426355808330209,1.9189726105244336,1.983969061472081,2.79547827159844
18,55.472881101116826,37.668914878245054,-47.230471440077444,13.0,14.0,24.0,148.77959639951305,401.59035224985644,709.7033858143323,1.5196321367250067,4.101836675499913,7.248897689774452,1.2398299699959423,3.346586268748804,5.914194881786103
19,55.4744446702157,37.673419405592085,-47.22562741379367,23.0,26.0,21.0,238.4120897815668,644.3736976248794,703.6827171075158,2.4351368210662945,6.581621423018551,7.18740268728174,1.9867674148463903,5.369780813540662,5.864022642562633
20,55.493122738210836,37.68658954377351,-47.224944344085834,29.0,40.0,15.0,377.3167994164683,381.39663655900273,382.8338152019612,3.8539070409883514,3.895578424594954,3.9102577415504185,3.144306661803903,3.1783053046583563,3.190281793349677
21,55.47120211916099,37.670331971671494,-47.226873253114306,26.0,25.0,31.0,181.9089726998684,331.18007356457827,509.4672868592009,1.8580149937431656,3.3826673482852128,5.203689756237794,1.5159081058322368,2.759833946371486,4.245560723826674
