res_pc,mean_dist_nn,mean_dist_nn2,mean_dist_nn3,5th_nn,5th_nn2,5th_nn3,16th_nn,16th_nn2,16th_nn3,50th_nn,50th_nn2,50th_nn3,84th_nn,84th_nn2,84th_nn3,95th_nn,95th_nn2,95th_nn3,mean_beam_sep,mean_beam_sep2,mean_beam_sep3
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,82.51882797840848,138.12464646898465,182.03405800086705,13.44142938206863,26.867513178005638,37.690591760718966,24.487837935017392,49.33196992317256,70.52475941370616,64.22765273755533,93.92445999674995,129.32172331575316,139.1147997503978,207.25124673943372,270.22021362568523,200.24814060462768,381.2706247394216,506.3210519045555,0.6876568998200712,1.1510387205748729,1.5169504833405598
150,109.2415870453797,167.02398089016808,223.5231238941162,12.362041613928028,27.764851810646597,37.23768042897862,29.199439376757823,59.58108015683082,76.0892336984568,78.07158616885698,129.70682021374068,168.49324766014672,175.39291058791343,270.04154853105473,358.242700403709,264.6946026733693,393.89729066318824,571.3940439817561,0.7282772469691989,1.1134932059344553,1.4901541592941099
