,Unnamed: 0,Unnamed: 0.1,cloudnum,RGAL_KPC,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,clouds_r400pc,nn_dist,nn3_dist,nn5_dist,clouds_r100pc,clouds_r200pc,clouds_r600pc,clouds_r800pc,clouds_r1000pc,clouds_r1500pc
0,0,0,1,4.610377062457646,214.5913773870853,-0.0131990523362766,-43.37456087870751,2.0,3.0,5.0,128.95332787599432,270.0474707645701,1510.6240395558211,1.9149979491110345,4.010290864102961,22.43324763521476,0.8596888525066291,1.8003164717638014,10.070826930372144,2,128.95332787561807,1510.624039554382,1602.408928590376,0,1,2,2,2,2
1,1,1,2,4.510361287264792,214.59218043270027,-0.0126153040717996,-43.374708636843096,1.0,3.0,7.0,128.95332787599432,142.93587255012147,1435.6682546548425,1.9149979491110345,2.12264318646432,21.32013038012992,0.8596888525066291,0.9529058170008102,9.571121697698954,2,128.95332787561807,1435.668254654851,1524.0912390360909,0,2,2,2,2,4
2,2,2,3,4.380190867714263,214.5929943405208,-0.0120236312255263,-43.375017528216375,2.0,1.0,7.0,142.93587255012147,270.0474707645701,1298.4034093090256,2.12264318646432,4.010290864102961,19.2817037520474,0.9529058170008102,1.8003164717638014,8.65602272872684,2,142.93587255011488,1298.403409309039,1419.5669530501746,0,1,2,2,2,7
3,3,3,4,3.706562530474616,214.5934470639504,-0.0116932169317268,-43.38197241440277,6.0,5.0,8.0,187.9482822257891,223.48019501492703,253.38605304641248,2.791091792120628,3.3187520025234507,3.762863509686512,1.2529885481719276,1.489867966766181,1.6892403536427505,5,187.94828222578099,253.38605304641266,380.84385631319634,0,1,6,7,8,13
4,4,4,5,3.496737686480761,214.5944767978129,-0.0109449471273724,-43.38124501621486,9.0,4.0,6.0,196.73761055883827,223.48019501492703,327.61240762916924,2.9216161144400834,3.3187520025234507,4.865148492456846,1.3115840703922557,1.489867966766181,2.184082717527796,5,196.73761055883645,327.61240762917225,363.83084099940453,0,1,6,6,11,14
5,5,5,6,3.632915480973676,214.5940316343329,-0.0112682138230167,-43.38274028440916,8.0,13.0,4.0,69.26680594428603,168.00973664544648,187.9482822257891,1.0286341074682168,2.494998046239713,2.791091792120628,0.4617787062952404,1.1200649109696437,1.2529885481719276,5,69.26680594429936,187.94828222578099,341.651072380814,1,3,6,8,8,12
6,6,6,7,3.0385212349943487,214.59893084870333,-0.0077079952942801,-43.37927608171799,11.0,14.0,10.0,219.37791195129844,239.19501931490143,472.7080411621185,3.257831793771055,3.55212214349438,7.019864816705268,1.462519413008657,1.5946334620993436,3.151386941080791,2,219.3779119512988,472.7080411621177,811.3661635719305,0,0,3,4,6,14
7,7,7,8,3.576429741430074,214.5943789498608,-0.0110157545432511,-43.38294247816821,6.0,13.0,4.0,69.26680594428603,112.981982970641,253.38605304641248,1.0286341074682168,1.6778183955309345,3.762863509686512,0.4617787062952404,0.7532132198042736,1.6892403536427505,5,69.26680594429936,253.38605304641266,363.83084099940453,1,2,7,8,8,12
8,8,8,9,3.272690333962535,214.5957340443504,-0.0100311652423631,-43.381339780193066,5.0,13.0,4.0,196.73761055883827,341.4825224127037,380.84385631320015,2.9216161144400834,5.071124110162078,5.6556524425073285,1.3115840703922557,2.2765501494180254,2.538959042088002,3,196.73761055883645,380.84385631319634,402.81381100792953,0,1,6,9,11,13
9,9,9,10,2.5747131777952545,214.60038887826505,-0.0066480533585433,-43.38121229285983,14.0,11.0,7.0,242.5906372035745,400.6455010894388,472.7080411621185,3.602548149553152,5.949713167888433,7.019864816705268,1.6172709146904976,2.6709700072629263,3.151386941080791,1,242.59063720357506,472.7080411621177,896.4665449958893,0,0,3,4,7,17
10,10,10,11,2.9061822894921328,214.6003373590296,-0.0066857037885424,-43.37934182452805,14.0,7.0,10.0,181.5782432877513,219.37791195129844,400.6455010894388,2.696494687082514,3.257831793771055,5.949713167888433,1.2105216219183423,1.462519413008657,2.6709700072629263,2,181.57824328775249,400.6455010894388,999.0431472805357,0,1,3,3,5,14
11,11,11,12,3.3943749030765504,214.59562213459407,-0.0101120841011274,-43.38383963090211,13.0,8.0,15.0,223.9990319107306,272.69731659525246,292.43698895198054,3.3264568955087825,4.049641917812075,4.342782333045166,1.4933268794048713,1.8179821106350167,1.9495799263465377,4,223.9990319107289,292.43698895198116,471.28559140528534,0,0,8,8,9,14
12,12,12,13,3.425865461064996,214.5950971694708,-0.0104937807517467,-43.382865779819966,8.0,6.0,12.0,112.981982970641,168.00973664544648,223.9990319107306,1.6778183955309345,2.494998046239713,3.3264568955087825,0.7532132198042736,1.1200649109696437,1.4933268794048713,6,112.98198297063107,223.9990319107289,341.48252241270535,0,2,7,8,11,12
13,13,13,14,2.791015409558854,214.5999168134436,-0.0069912745224069,-43.38013274282989,11.0,7.0,10.0,181.5782432877513,239.19501931490143,242.5906372035745,2.696494687082514,3.55212214349438,3.602548149553152,1.2105216219183423,1.5946334620993436,1.6172709146904976,3,181.57824328775249,242.59063720357506,879.5539542742091,0,1,3,4,6,14
14,14,14,15,3.4476778802403927,214.59611543818065,-0.0097533546349333,-43.38515722856156,16.0,12.0,13.0,183.5735830777148,292.43698895198054,515.7002108696408,2.7261261178373224,4.342782333045166,7.658312216038071,1.2238238871847655,1.9495799263465377,3.438001405797607,2,183.57358307619373,515.70021086964,610.8555954047958,0,1,4,6,8,15
15,15,15,16,3.59222637273394,214.59608700724385,-0.0097738787200395,-43.38601419481645,15.0,12.0,13.0,183.5735830777148,471.2855914067897,691.6402426713945,2.7261261178373224,6.99874098524597,10.271077668596892,1.2238238871847655,3.1419039427119326,4.610934951142632,1,183.57358307619373,691.6402426699088,770.6948023033584,0,1,2,5,7,13
16,16,16,17,1.2380084358320134,214.60784247543825,-0.001230711721137,-43.38454767963475,26.0,20.0,27.0,321.40684915333856,414.0615936149428,445.5126380401639,4.772993974616624,6.148946410601874,6.616004427356714,2.1427123276889244,2.76041062409962,2.970084253601094,1,321.4068491533214,445.51263804014957,531.7373238999783,0,0,6,11,14,29
17,17,17,18,2.123509207164552,214.60323206029184,-0.0045812055335482,-43.38681375030074,19.0,17.0,22.0,462.8605939100537,866.2142883122567,952.4684858737336,6.873627091767937,12.863557792039302,14.144460070042438,3.0857372927336923,5.774761922081714,6.349789905824894,0,462.8605939100557,952.4684858739301,1041.6075405786473,0,0,1,1,4,26
18,18,18,19,1.4379545194966163,214.60618945083613,-0.0024319820591887,-43.38658497029881,18.0,17.0,22.0,462.8605939100537,506.4864048610823,513.9227837929425,6.873627091767937,7.521484265177711,7.631916858410349,3.0857372927336923,3.3765760324072165,3.426151891952951,0,462.8605939100557,513.9227837934502,614.9508139910931,0,0,4,11,15,30
19,19,19,20,0.8180556176189856,214.6094826981382,-3.866258633416639e-05,-43.38606998739096,23.0,29.0,22.0,144.90747153904516,176.60006686192838,283.94038508399905,2.15192205876988,2.622567183211259,4.216605062170543,0.9660498102603016,1.177333779079523,1.8929359005599944,5,144.90747153903817,283.9403850855128,363.91193393963533,0,2,11,14,23,36
20,20,20,21,2.3335804287519752,214.60755914501487,-0.0014367141562199,-43.38078224739674,24.0,26.0,17.0,247.5167747564948,777.6016395433561,807.5803561541156,3.675702859604161,11.547631763197897,11.992825243445198,1.650111831709966,5.184010930289043,5.38386904102744,1,247.51677475531994,807.580356154115,994.0572122251428,0,0,1,2,5,18
21,21,21,22,0.8637237578465581,214.60930064261368,-0.0001709662062882,-43.38738925295527,28.0,30.0,29.0,109.99904264314478,225.50089752626687,233.9442952188496,1.6335207825606897,3.3487600777605664,3.474147220001467,0.7333269509542988,1.5033393168417797,1.5596286347923314,7,109.99904264206188,233.9442952199323,283.9403850855128,0,1,11,18,23,37
22,22,22,23,0.6960483974083054,214.6103974634424,0.0006261342006179,-43.38619612406866,29.0,20.0,31.0,87.84642310413984,144.90747153904516,204.38866008749392,1.304547333923319,2.15192205876988,3.035236634338663,0.5856428206942659,0.9660498102603016,1.36259106724996,6,87.84642310414029,204.388660087495,346.33446454909625,1,2,10,18,23,38
23,23,23,24,2.0676562764551183,214.6085775208132,-0.0006965432456247,-43.38166995267861,21.0,26.0,17.0,247.5167747564948,539.8687237558565,626.7977338869478,3.675702859604161,8.01722232229507,9.308145781667704,1.650111831709966,3.599124825039045,4.17865155924632,1,247.51677475531994,626.7977338884446,746.5993163343702,0,0,2,5,6,20
24,24,24,25,4.192390004436468,214.5974643454063,-0.0087723362892534,-43.38996941129429,32.0,16.0,15.0,452.5860160639024,873.7509253036907,1051.7344354540996,6.721046341604728,12.975479249356551,15.6185910055834,3.017240107092684,5.8250061686912735,7.011562903027333,0,452.5860160638963,1051.7344354540999,1343.6924148251373,0,0,1,1,2,5
25,25,25,26,1.3061175313162663,214.60978277226693,0.0001794198216734,-43.38403383419788,27.0,33.0,17.0,160.2024496420041,309.72880634908046,321.40684915333856,2.379057350129174,4.599571323273415,4.772993974616624,1.0680163309466943,2.0648587089938704,2.1427123276889244,3,160.2024496420076,321.4068491533214,472.8370924157805,0,1,7,13,16,29
26,26,26,27,1.2166365899726157,214.61069561561573,0.0008428386234727,-43.38437951760837,26.0,33.0,23.0,160.2024496420041,163.8495107825979,391.7879637687817,2.379057350129174,2.4332173684827585,5.818175920400379,1.0680163309466943,1.0923300718839863,2.6119197584585456,3,160.2024496420076,391.7879637687817,445.51263804014957,0,2,7,12,19,31
27,27,27,28,0.8093706761288986,214.609798689394,0.0001909761304541,-43.387753716481626,22.0,30.0,31.0,109.99904264314478,127.74040026916268,227.2226836649723,1.6335207825606897,1.896985588222323,3.374329149755353,0.7333269509542988,0.8516026684610849,1.5148178910998156,9,109.99904264206188,227.22268366497045,288.68584622357236,0,2,10,18,26,36
28,28,28,29,0.6436094404632068,214.61034660109183,0.000589166515826,-43.38660466103366,23.0,31.0,20.0,87.84642310413984,133.93590006252768,176.60006686192838,1.304547333923319,1.988990731427475,2.622567183211259,0.5856428206942659,0.8929060004168515,1.177333779079523,6,87.84642310414029,176.6000668619192,260.42879561870734,1,3,12,18,23,38
29,29,29,30,0.9111012721743622,214.609909599479,0.0002715742270031,-43.38834474054452,28.0,36.0,22.0,127.74040026916268,168.19893315237582,225.50089752626687,1.896985588222323,2.4978076745658395,3.3487600777605664,0.8516026684610849,1.1213262210158392,1.5033393168417797,8,127.74040026916096,225.5008975248788,293.58271158689524,0,2,11,16,28,37
30,30,30,31,0.52299732257605,214.61091792326263,0.0010043587478232,-43.38707239120275,29.0,23.0,28.0,133.93590006252768,204.38866008749392,227.2226836649723,1.988990731427475,3.035236634338663,3.374329149755353,0.8929060004168515,1.36259106724996,1.5148178910998156,6,133.93590006253277,227.22268366497045,309.7962455552496,0,1,13,22,26,40
31,31,31,32,4.217128004318885,214.59939986216816,-0.0073656143640447,-43.39154660537933,25.0,18.0,16.0,452.5860160639024,1175.9426126891992,1292.159740379409,6.721046341604728,17.463121957873117,19.18898328184254,3.017240107092684,7.839617417927998,8.614398269196062,0,452.5860160638963,1292.1597403808037,1460.7207201702229,0,0,1,1,1,7
