cloudnum,RGAL_KPC,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
1,9.112150949404336,146.45437347782925,0.04000494556621458,-31.193057614024312,3.0,4.0,9.0,132.2443303307668,205.26473220980077,1146.519992312629,1.9320268348710303,2.9988202132374284,16.750112358871988,1.033158830709116,1.603630720389069,8.957187439942418,1947650.0425273476,7777243.19113637,2909293.6646141605,6.646415157381707,4.806190830007004,4.1896306629065485,10.086854247854685,104.10005062866267,,114.51388192127577,203.32658237163545,130.5771172000467
2,3.9630084380322117,146.42834748983685,0.01774060953583343,-31.198405154493948,24.0,52.0,25.0,712.537915963772,754.4322320403412,766.3420947799667,10.4098404147978,11.021896468059614,11.195893904131427,5.566702468466972,5.894001812815168,5.9870476154684935,1724958.7050702474,1415794.9619381477,2473574.8519736025,8.008651346854403,2.753685917901969,8.814794686851629,163.86885893059747,,107.44047678717166,306.9959932553955,134.76652803261786,210.27286265337392
3,9.210629564184421,146.45480862415087,0.040377347691969635,-31.192668078239237,1.0,4.0,9.0,132.2443303307668,243.98011115130524,1014.8679243353506,1.9320268348710303,3.5644335053165777,14.826738195592716,1.033158830709116,1.9060946183695733,7.928655658869929,2555306.243778655,7777243.19113637,2909293.6646141605,5.660340581767282,4.806190830007004,4.1896306629065485,45.07806935161412,104.10005062866267,,146.14124759887568,203.32658237163545,130.5771172000467
4,8.969682495677132,146.45366758206967,0.03940134436868195,-31.19247851840616,1.0,3.0,75.0,205.26473220980077,243.98011115130524,1021.6702830680232,2.9988202132374284,3.5644335053165777,14.926117424774576,1.603630720389069,1.9060946183695733,7.9817990864689365,2555306.243778655,1947650.0425273476,944748.2412352957,5.660340581767282,6.646415157381707,1.2349372046520168,45.07806935161412,10.086854247854685,,146.14124759887568,114.51388192127577,122.36771984507992
5,3.420740131274421,146.42335546352234,0.013470296226273958,-31.200093839406208,102.0,44.0,23.0,94.92125803215876,155.31529903547366,289.4587103836096,1.3867544813388653,2.2690827262841182,4.228854232537085,0.7415723283762407,1.2134007737146384,2.2613961748719507,8184504.147934742,6494710.728674662,6304719.157628182,7.500800921311703,6.266388003558623,9.04301354007472,38.96210807138948,39.4753304172965,38.53725372178126,137.03981735128502,130.56565401133898,126.14544544011167
6,3.4358009584246827,146.42728350199815,0.016831073348175428,-31.195165198709702,45.0,28.0,27.0,251.11815362892867,297.90497831814383,358.822387391801,3.6687169145237952,4.352250194112266,5.242224597905213,1.9618605752260063,2.3273826431105,2.8032999014984465,2223606.361661776,2787788.5939838914,3901509.5791046047,6.272572864826828,3.9980494555691486,4.308926102247946,,41.55678313037253,77.74167003553826,145.99505517609495,135.30391619686011,163.99881621948882
7,3.22795805735604,146.42667794683769,0.016313352498325922,-31.193565022225066,45.0,54.0,28.0,245.55779547544026,270.61927190346114,303.8998464683858,3.5874827237107447,3.9536189872414265,4.439832369535679,1.9184202771518781,2.114213061745791,2.374217550534265,2223606.361661776,1836481.2655406892,2787788.5939838914,6.272572864826828,4.635379407318161,3.9980494555691486,,46.909890764269825,41.55678313037253,145.99505517609495,133.75906975335155,135.30391619686011
8,4.046524461826529,146.43062396450185,0.01968912654904171,-31.192305695474648,37.0,31.0,12.0,600.1908526747188,806.2614359678598,826.8880155079062,8.768503197916706,11.77909651260982,12.080441039693113,4.688991036521243,6.298917468498907,6.46006262115552,4020493.8834338738,1142081.1898526177,1544228.1826092498,3.4004923110707796,3.1930337783886262,4.191639324062177,129.12800952349698,56.51639869810191,,234.8659397867624,159.15918153953663,122.13780529182303
9,10.071663780714108,146.45848227640278,0.04352113771209674,-31.18998099333034,38.0,15.0,3.0,822.6934895814512,879.1386253168639,1014.8679243353506,12.019161008789675,12.843797623954899,14.826738195592716,6.42729288735509,6.868270510288003,7.928655658869929,3903730.132915444,1358846.1210206724,1947650.0425273476,3.3697659772058257,3.839010929362149,6.646415157381707,62.443478614862336,,10.086854247854685,148.11943012920224,120.78408997089825,114.51388192127577
10,9.481911476014576,146.45477055474583,0.04034749554721827,-31.18630242468571,21.0,39.0,40.0,117.94291846911419,184.1643476900796,227.73466844023525,1.7230900023872004,2.6905536205129303,3.3270953057609245,0.9214290505399548,1.4387839663287476,1.7791770971893386,1153631.5602800306,2159535.5790315797,4161768.1729810415,5.72558627952685,4.4142588278082275,3.446989008537141,,,33.05980141500391,97.27098037508027,126.03949451382526,125.82930008358329
