cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,RGAL_KPC_nn,RGAL_KPC_nn2,RGAL_KPC_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
26,139.45618218517652,-0.012458276061459429,-22.34783382104462,18.0,38.0,19.0,715.6828327089837,1499.118485605591,1540.6588442201846,15.089843412186756,31.608223881068586,32.48408323961656,7.952031474544269,16.656872062284354,17.1184316024465,3.794679444848587,3.063425333976673,2.1013878297951494,918661.3271575827,1725960.2145819128,983131.2604508048,3.5258025872882697,5.004123507924846,3.4289772396180345,28.831734516548,48.40136947863778,,89.37986853447605,108.40252316381586,70.00631289797539
27,139.47555338401241,0.005457859030113221,-22.35149638794593,37.0,50.0,42.0,749.9292292253075,861.9312716249054,870.2616468896284,15.811912934110186,18.17342449260005,18.34906662423204,8.33254699139231,9.577014129165619,9.66957385432921,1.3598185085658163,1.5518850617931426,1.1922774234461653,550426.1395058004,1002936.4053446297,470642.4915293465,5.465919541107763,4.7424294219350625,3.4870532282475404,,48.15906200547567,74.97553064922097,74.55671053905544,111.90115981258556,143.69255013996283
28,139.4624466512681,-0.006664045976946152,-22.353515741963005,36.0,39.0,48.0,198.3659575649224,291.9957293394256,524.405187022064,4.182454994250676,6.156595675323215,11.056842214237065,2.2040661951658045,3.2443969926602865,5.826724300245157,1.88548990242885,1.7561290491090238,1.9063884192728446,778343.8430438145,764125.0830002415,1692569.6966473358,5.775277738593801,5.4314847039900505,5.128658589271111,127.88379123977384,53.71169101803614,44.151370407081,234.13721492854825,123.45374240018258,102.30780987116358
29,139.48166457147622,0.011110012585096621,-22.350116491873887,22.0,40.0,35.0,375.37954920809904,718.9835525437868,980.9533118982613,7.91470517218732,15.159437572027285,20.68294947802643,4.170883880089991,7.988706139375411,10.899481243314018,3.5180453278929322,3.130430978480325,3.49394925909275,1318142.4044732105,2054643.4219948114,408859.7326105082,2.39249940476208,4.000612116138146,,81.57472418521051,49.25191232085836,28.28068132568865,152.9947179117112,112.02371432314953,92.60850052156144
30,139.4703227753563,0.000620222034974566,-22.35438931545084,60.0,44.0,31.0,96.89951190613549,181.94336484886867,240.98511405436162,2.043081648118113,3.8361921789623055,5.0810603098914235,1.0766612434015057,2.0215929427652086,2.677612378381796,0.07573447270062152,0.18958143391704754,0.357188773714934,657502.4520694506,244195.43456087174,739124.82585564,6.102776842425848,4.582807522821098,4.018065056395995,,,40.19292930641785,70.45586718343199,80.58917190009356,103.38920804129046
31,139.46931735479367,-0.0003096416303180608,-22.353773482269894,34.0,32.0,30.0,216.45816697486012,219.81746142958733,240.98511405436162,4.563920909735988,4.634750088501372,5.0810603098914235,2.4050907441651144,2.4424162381065275,2.677612378381796,0.6158240780697442,0.5927200360579888,0.06872663919419271,970467.1079593147,876592.5262875133,1300327.0564797001,4.5708519948033715,4.944346482975866,8.952090755419862,40.65482584886102,20.400505989420697,19.400059579703008,103.48567961572317,94.46083687953899,81.17251462124807
32,139.46874940556086,-0.000834916506272899,-22.35290224309938,34.0,21.0,31.0,61.0891061669025,70.31105456734021,219.81746142958733,1.288035710958363,1.4824762521561092,4.634750088501372,0.6787678462989171,0.7812339396371137,2.4424162381065275,0.6158240780697442,0.6362375157256611,0.357188773714934,970467.1079593147,1468188.4954480696,739124.82585564,4.5708519948033715,4.940941222439862,4.018065056395995,40.65482584886102,44.33795359020234,40.19292930641785,103.48567961572317,103.6644989960736,103.38920804129046
33,139.46736755402898,-0.00211292999181753,-22.353185293994073,34.0,32.0,21.0,231.79164761411312,282.8342472301308,310.1379341364848,4.887220297726491,5.9634300380680525,6.539115720554992,2.5754627512679247,3.1426027470014537,3.4459770459609436,0.6158240780697442,0.5927200360579888,0.6362375157256611,970467.1079593147,876592.5262875133,1468188.4954480696,4.5708519948033715,4.944346482975866,4.940941222439862,40.65482584886102,20.400505989420697,44.33795359020234,103.48567961572317,94.46083687953899,103.6644989960736
34,139.4685231023946,-0.0010442135939487825,-22.353092318669173,32.0,21.0,31.0,61.0891061669025,121.95877403272631,216.45816697486012,1.288035710958363,2.5714446662498616,4.563920909735988,0.6787678462989171,1.3550974892525154,2.4050907441651144,0.5927200360579888,0.6362375157256611,0.357188773714934,876592.5262875133,1468188.4954480696,739124.82585564,4.944346482975866,4.940941222439862,4.018065056395995,20.400505989420697,44.33795359020234,40.19292930641785,94.46083687953899,103.6644989960736,103.38920804129046
35,139.48357205364442,0.012873813330163457,-22.354299801795765,40.0,22.0,29.0,339.4633568131568,733.9206962268797,980.9533118982613,7.157428772039225,15.474380377557544,20.68294947802643,3.771815075701745,8.15467440252089,10.899481243314018,3.130430978480325,3.5180453278929322,3.1352405908763035,2054643.4219948114,1318142.4044732105,3694206.6155893207,4.000612116138146,2.39249940476208,5.387736935102986,49.25191232085836,81.57472418521051,41.896335242851016,112.02371432314953,152.9947179117112,101.92004980998763
36,139.46343264283644,-0.005752151234150554,-22.353409559965357,39.0,28.0,25.0,118.35567269136526,198.3659575649224,480.97849100639917,2.495474931397374,4.182454994250676,10.141210299042749,1.315063029904059,2.2040661951658045,5.34420545562666,1.7561290491090238,2.1422819900358365,1.627985960279567,764125.0830002415,2110658.048172518,923845.532450378,5.4314847039900505,7.4392268423165735,5.260200942097164,53.71169101803614,73.28476770819945,56.2321791962045,123.45374240018258,146.6626862955141,140.59164585148935
37,139.47554085532934,0.00544613598559909,-22.354967109615306,50.0,42.0,56.0,171.22571697531762,173.80154742118182,263.2813429212179,3.610215502189616,3.6645257026136053,5.551166042356224,1.90250796639242,1.9311283046797991,2.9253482546802005,1.5518850617931426,1.1922774234461653,1.5156416112473896,1002936.4053446297,470642.4915293465,1286745.5613107767,4.7424294219350625,3.4870532282475404,4.075855204481838,48.15906200547567,74.97553064922097,49.54626826333515,111.90115981258556,143.69255013996283,109.11130584372597
38,139.45892610730522,-0.009919983097329737,-22.35429088860114,45.0,47.0,28.0,307.4824168684646,590.0061001165558,723.1783071418238,6.4831253601308,12.440007299454185,15.247882043717818,3.416471298538497,6.555623334628401,8.035314523798045,3.1412465597954347,3.252389763810695,2.1422819900358365,1303771.733495407,700548.849040308,2110658.048172518,4.023282771451722,3.546383737343083,7.4392268423165735,36.551620716786104,35.42099158932224,73.28476770819945,94.05989748304343,94.17467509182008,146.6626862955141
39,139.4638826092838,-0.0053359836066407896,-22.35376571520619,36.0,28.0,48.0,118.35567269136526,291.9957293394256,454.764484674553,2.495474931397374,6.156595675323215,9.588500030366408,1.315063029904059,3.2443969926602865,5.052938718606146,1.88548990242885,2.1422819900358365,1.9063884192728446,778343.8430438145,2110658.048172518,1692569.6966473358,5.775277738593801,7.4392268423165735,5.128658589271111,127.88379123977384,73.28476770819945,44.151370407081,234.13721492854825,146.6626862955141,102.30780987116358
40,139.4821713076027,0.011578407660276568,-22.35341088239525,35.0,22.0,29.0,339.4633568131568,588.3125312664595,718.9835525437868,7.157428772039225,12.404299179058206,15.159437572027285,3.771815075701745,6.536805902960664,7.988706139375411,3.49394925909275,3.5180453278929322,3.1352405908763035,408859.7326105082,1318142.4044732105,3694206.6155893207,,2.39249940476208,5.387736935102986,28.28068132568865,81.57472418521051,41.896335242851016,92.60850052156144,152.9947179117112,101.92004980998763
