cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3
21,169.5591061842843,142.5546183046439,-32.781970453777056,18.0,19.0,20.0,365.2500840677898,397.1010223777898,439.954189754762,4.509712794166517,4.90297371392624,5.432078252488435,3.043750700564918,3.309175186481584,3.6662849146230196
22,169.56088510996275,142.55817402425143,-32.78068474726933,29.0,19.0,17.0,84.14187079599573,321.6987153487923,452.96399924304376,1.0388927691071568,3.971987620969639,5.59270930189316,0.7011822566332984,2.6808226279066045,3.7746999936920345
23,169.56118925572775,142.56258871933775,-32.77808901059932,26.0,17.0,43.0,108.87806206190892,343.29134170993615,453.1289499029696,1.3443084913664696,4.238590005494853,5.5947459341457515,0.9073171838492418,2.860761180916137,3.77607458252475
24,169.55988779477005,142.54500348526182,-32.788380502456214,28.0,55.0,25.0,311.9205333454809,366.98386013476903,373.65433825904313,3.851257210745181,4.53111958489028,4.6134794305204965,2.59933777787901,3.058198834456411,3.113786152158695
25,169.5561127134422,142.54197237921656,-32.78829157327312,30.0,24.0,33.0,300.0916219774099,373.65433825904313,447.08951950526273,3.70520661345702,4.6134794305204965,5.520177582974716,2.500763516478418,3.113786152158695,3.7257459958771926
26,169.56290695024106,142.56336920597843,-32.77850325563248,23.0,43.0,17.0,108.87806206190892,345.0499637372959,449.613647555583,1.3443084913664696,4.260303567251119,5.551342784734207,0.9073171838492418,2.875416364477468,3.746780396296528
27,169.56202143170773,142.54065868022244,-32.79221055990679,39.0,30.0,13.0,109.6018242234966,234.00862689548077,335.64768010169206,1.3532447233412714,2.889285299822202,4.1442143433045056,0.9133485351958058,1.9500718907956747,2.797064000847436
28,169.56407250940217,142.54744397974966,-32.78905281620775,24.0,14.0,70.0,311.9205333454809,333.64268661397176,443.9741998546861,3.851257210745181,4.119458853358842,5.481712987074674,2.59933777787901,2.7803557217831005,3.699784998789054
29,169.5623957127305,142.55863093870485,-32.7811922150808,22.0,19.0,17.0,84.14187079599573,404.6597349752284,488.5925695448275,1.0388927691071568,4.996300517656065,6.03261233364166,0.7011822566332984,3.372164458126906,4.071604746206899
30,169.56059090010868,142.5418397258142,-32.79072336629814,39.0,27.0,25.0,226.7098321327875,234.00862689548077,300.0916219774099,2.7991676802538947,2.889285299822202,3.70520661345702,1.8892486011065641,1.9500718907956747,2.500763516478418
