cloudnum,x,corr_x,y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr,nearest_neighbor2,nearest_neighbor2_corr,min_distance2,min_distance_corr2,true_dist2_corr,nearest_neighbor3,nearest_neighbor3_corr,min_distance3,min_distance_corr3,true_dist3_corr
15,169.58245842617018,-166.78708785640504,-32.8149189670833,25.0,462.0,60.77290453763002,64.11270201651669,7488452.137390819,7899982.798291442,462.0,25.0,60.91248379264251,83.33424431133307,10268465.933607768,29.0,29.0,66.26894476049439,91.85099609878668,11317902.16858143
16,169.58105520046493,-166.7849567295659,-32.81539305829464,9.0,9.0,63.88444955678594,75.14125387861587,7871857.474465968,9258923.651824702,460.0,460.0,69.44803915623893,88.87926135683516,10951724.288003972,2.0,2.0,114.42902615934922,160.69744863357448,19801178.861678787
17,169.5617009950646,-166.75555390021995,-32.82129499315684,1.0,1.0,49.33767645128431,74.35867473393854,6079400.540198778,9162494.058517903,509.0,509.0,102.98696556208625,109.70107946425064,13517393.799723495,21.0,8.0,117.8387578937337,169.5206856619191,20888380.282876313
18,169.57143622794743,-166.77034570877248,-32.817914829720415,561.0,561.0,27.78836796687264,41.339366907368735,3424089.4865783723,5093846.885073383,563.0,563.0,167.50439550178467,231.31467558856073,28502650.811242145,591.0,591.0,172.87557735389268,245.51634581974162,30252584.08506413
19,169.58893998348609,-166.79693048202753,-32.81211854851139,410.0,410.0,85.5801390225684,87.79644577751245,10545205.628355965,10818299.487904802,26.0,26.0,99.33627331955303,108.0313751616654,13311652.427830316,30.0,30.0,184.60077894745044,233.73824891466802,28801284.108302582
20,169.5800131487321,-166.78337407329667,-32.81555602001374,16.0,531.0,129.96250882463696,151.03772701710707,16014012.07319157,18610905.605269827,541.0,541.0,131.9097380873325,160.44694224894766,19770311.403793387,22.0,16.0,146.01802135175018,196.046366563039,24156881.160874408
21,169.5607480294927,-166.7541057284588,-32.82137509668246,3.0,3.0,60.404879718719705,76.17352594084149,7443104.029335931,9386120.467404837,1.0,1.0,68.82091100901,104.57033808828616,12885182.594490567,11.0,11.0,78.00636909787981,118.50502382470452,14602217.973672409
22,169.5789109234324,-166.7816999735237,-32.81599117914771,575.0,575.0,59.0367329381076,69.17784306613005,7274520.6489382535,8524110.715292303,14.0,14.0,69.26782167735668,100.37277053764893,12367957.295888152,28.0,28.0,110.61042812240088,114.4241801510816,14099375.419698747
23,169.5641070094807,-166.75921001433366,-32.82056679096484,528.0,528.0,103.00034040410938,103.00286323538843,12691727.09646525,12692037.96035151,489.0,489.0,130.38412764659813,166.65076662529341,20534748.1583717,520.0,519.0,174.18777899400644,225.23312823977167,27753281.06185845
24,169.5762419186618,-166.77764596834285,-32.816035228553446,481.0,481.0,74.85654210952661,81.06150177323286,9223841.398113154,9988418.043077257,6.0,6.0,84.46311408884971,86.9226224013056,10710626.758107819,539.0,539.0,106.61012805581827,125.65681289249659,15483463.169016238
25,169.58205357933025,-166.78647301066403,-32.81463727448388,462.0,2.0,40.09220188893313,51.04291006733645,4940170.906953885,6289519.842773325,2.0,462.0,42.812262845798486,54.5678099401613,6723858.865855555,15.0,29.0,60.77290453763002,71.24141582437765,8778384.654471768
26,169.58863839123103,-166.7964725379367,-32.812866177886235,410.0,410.0,54.945491676627455,82.89204795730498,6770396.901649816,10213978.390883567,30.0,19.0,98.34695129789115,108.0313751616654,13311652.427830316,19.0,30.0,99.33627331955303,140.9085556444004,17362786.635261137
27,169.55612730546216,-166.74708328402642,-32.823110843361434,477.0,477.0,116.63472823808046,177.1723641093953,14371759.694777159,21831221.969653867,5.0,413.0,224.92270093916505,300.3829498179753,37013260.42771852,404.0,420.0,265.571001702686,319.24679295027835,39337667.78488264
28,169.578702959046,-166.7813841036076,-32.8151179367921,541.0,22.0,96.16401570220916,114.4241801510816,11849353.497320522,14099375.419698747,7.0,541.0,102.19519581403605,133.9295796137969,16502835.504559262,22.0,7.0,110.61042812240088,141.83188190340908,17476559.12236518
29,169.58200685518676,-166.7864020496787,-32.81521106649551,2.0,2.0,40.028050709205885,45.301543566015845,4932266.182922682,5582067.260484175,15.0,25.0,66.26894476049439,71.24141582437765,8778384.654471768,25.0,15.0,70.93681671111024,91.85099609878668,11317902.16858143
