cloudnum,x,corr_x,y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr,nearest_neighbor2,nearest_neighbor2_corr,min_distance2,min_distance_corr2,true_dist2_corr,nearest_neighbor3,nearest_neighbor3_corr,min_distance3,min_distance_corr3,true_dist3_corr
11,169.5634530219267,-166.75821625810048,-32.82048296671265,276.0,276.0,102.41181629124542,104.573974506883,12619209.011565205,12885630.674878055,288.0,288.0,166.7793450618095,168.21849004183306,20727923.420583412,297.0,297.0,228.5536846919764,242.46395527978618,29876467.777361125
12,169.58256799839742,-166.7872542638039,-32.81488846648886,249.0,249.0,86.97128827826859,95.33822234520451,10716623.37935102,11747599.038218185,259.0,259.0,190.55130801654502,194.87316777261807,24012319.319432847,250.0,250.0,317.33581429437334,405.4601016248658,49960892.73237543
13,169.55606030632072,-166.74698145366136,-32.82270181235735,266.0,266.0,174.8861830248446,251.1020583785297,21549518.17814814,30940856.95054496,9.0,9.0,225.85112541195375,336.9054666105805,41513573.86541393,245.0,245.0,310.6062635741602,342.51110744535947,42204302.297928676
14,169.588369861249,-166.79606479289757,-32.812589913776904,8.0,8.0,141.95365577640672,202.6467425802887,17491564.128732167,24970181.10547969,15.0,15.0,151.30137590549356,229.74258096391011,28308936.927699585,226.0,226.0,213.55564022129278,277.8952629022114,34242322.154642284
15,169.58714200142006,-166.79420032797594,-32.81258077785949,226.0,226.0,147.44261057112843,147.52512738631026,18167914.47889725,18178082.22101391,14.0,218.0,151.30137590549356,207.60656744279302,25581331.936187595,218.0,14.0,172.62250201185898,229.74258096391011,28308936.927699585
16,169.55476758754202,-166.74501664276042,-32.788237588794885,30.0,30.0,209.33583207578513,302.84894555873433,25794412.34653767,37317121.02507156,18.0,33.0,256.2021659996296,338.0202221101579,41650934.31028635,33.0,18.0,335.39792520518046,360.2327500790928,44387967.43074268
17,169.55509017238637,-166.74550694832692,-32.784434953523515,22.0,22.0,362.3688019440847,367.577930611655,44651172.263154,45293042.36960016,30.0,30.0,412.1771348020763,447.1481517119023,55097704.44399315,16.0,16.0,470.24461553764957,472.4405338928729,58214237.95253264
18,169.55656311960735,-166.74774566247075,-32.78928602865657,24.0,24.0,211.45964225153682,216.66615318504574,26056108.755011488,26697656.30362737,30.0,30.0,216.50284383120794,219.21614996795554,27011867.529906623,16.0,33.0,256.2021659996296,346.9268331561075,42748409.09829245
19,169.5584892026052,-166.75067294648164,-32.78777576683026,26.0,20.0,244.65237020224916,327.0853874137948,30146124.798500683,40303541.308800094,20.0,26.0,251.85038267555933,355.8498814495081,43847909.28794329,30.0,18.0,268.86884478347974,405.87713105138204,50012279.20014606
20,169.5599692446718,-166.75292222005427,-32.78636614981605,19.0,26.0,251.85038267555933,275.86402151311626,31033065.653159842,33992032.09466485,26.0,19.0,271.34897850172206,327.0853874137948,40303541.308800094,21.0,21.0,297.87362302647057,452.6367058082189,55774005.420002915
