cloudnum,x,corr_x,y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr,nearest_neighbor2,nearest_neighbor2_corr,min_distance2,min_distance_corr2,true_dist2_corr,nearest_neighbor3,nearest_neighbor3_corr,min_distance3,min_distance_corr3,true_dist3_corr
1,169.5601309922227,-166.75316802776524,-32.82056331208871,9.0,5.0,165.47128148333658,180.1931592066024,20389411.71115881,22203445.079186067,5.0,9.0,170.1703735212954,234.1499022299102,28852008.130329214,177.0,177.0,245.17997076458153,301.98959362839025,37211231.4703676
2,169.57824197763404,-166.78068392801964,-32.81542662066448,220.0,220.0,45.9927634645856,56.524284931203795,5667239.545176389,6964936.192007575,228.0,228.0,155.63397556969707,179.29849618620068,22093204.483342513,11.0,11.0,233.98724122892597,335.67672366331385,41362167.859402396
3,169.54964308138264,-166.73722714450938,-32.823837336388216,4.0,4.0,126.69345624783574,191.90475060456637,15611198.616401264,23646550.231121454,164.0,164.0,307.2697329652222,365.5736117517899,45046069.71024872,163.0,163.0,441.26083065246144,665.7879014935675,82038547.8021927
4,169.55066479377388,-166.73878029015603,-32.82395254206158,3.0,3.0,126.69345624783574,191.90475060456637,15611198.616401264,23646550.231121454,163.0,163.0,321.1405492593683,478.2733181476422,58932955.052725226,164.0,164.0,401.5368324425292,527.5747597266183,65007890.72310991
5,169.5597107322161,-166.75252935632696,-32.82187884035568,1.0,1.0,170.1703735212954,180.1931592066024,20968434.979557313,22203445.079186067,9.0,9.0,212.96921931842095,309.7537519571131,38167932.955579065,8.0,177.0,271.9516535325045,385.54967601048406,47507525.22620238
6,169.5707806293436,-166.7693497181913,-32.81827606330366,229.0,229.0,146.40182356233126,221.76481381302642,18039668.449521285,27325914.51125987,238.0,238.0,189.6870040098362,222.4334919493563,27408309.194504365,226.0,226.0,362.5290824551191,461.9470890323926,56921233.114407755
7,169.58936756015825,-166.79757971659805,-32.8120623025012,12.0,12.0,195.16926761753749,289.7159527704037,24048804.814629067,35698870.44672018,150.0,150.0,260.9599112190345,379.4434276468816,46755111.81174159,162.0,162.0,346.0737522609802,464.3110754235619,57212524.09479448
8,169.5575346257717,-166.7492221897954,-32.82224704358147,185.0,185.0,191.98929325982294,192.9505266545219,23656967.59774682,23775411.01136724,165.0,165.0,269.0158699350247,270.946452103206,33386087.99114403,5.0,5.0,271.9516535325045,410.02772758238876,50523716.71823964
9,169.5613059365902,-166.75495355549288,-32.82121358920377,1.0,1.0,165.47128148333658,234.1499022299102,20389411.71115881,28852008.130329214,5.0,209.0,212.96921931842095,305.8152417903286,37682628.77107476,209.0,5.0,225.48548411596866,309.7537519571131,38167932.955579065
10,169.56331938382883,-166.758013188145,-32.82044050139017,193.0,193.0,104.23368400678717,108.63078802000231,12843699.996359989,13385512.226606485,203.0,203.0,168.0019460568324,174.50105056908276,21502062.062902857,209.0,209.0,240.03256405729888,252.1669512286168,31072073.307571128
