,Unnamed: 0,Unnamed: 0.1,cloudnum,RGAL_KPC,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,clouds_r400pc,nn_dist,nn3_dist,nn5_dist,clouds_r100pc,clouds_r200pc,clouds_r600pc,clouds_r800pc,clouds_r1000pc,clouds_r1500pc
0,0,0,1,1.4743397179119353,196.2874605661112,0.0046305377260812,-6.4932757840496205,5.0,3.0,2.0,161.40498288291462,185.3209702412805,238.1065206459001,2.82055095427014,3.238482667164562,4.16090979367668,1.3450415240242903,1.5443414186773392,1.984221005382504,5,161.4049828829135,238.10652064589127,321.44356543073394,0,2,7,8,8,16
1,1,1,2,1.8470998411616333,196.2881327581009,0.0052984241918567,-6.492658436690265,4.0,5.0,1.0,91.00966268216052,225.43833435015307,238.1065206459001,1.59039322294147,3.939533326190164,4.16090979367668,0.7584138556846719,1.878652786251278,1.984221005382504,5,91.0096626821599,238.10652064589127,382.4896182974491,1,1,6,7,8,11
2,2,2,3,1.3319548228070592,196.286755918676,0.0039304113250238,-6.493171339947266,6.0,5.0,1.0,178.6091208114023,183.0916631419328,185.3209702412805,3.1211931450183146,3.199525541094993,3.238482667164562,1.4884093400950211,1.5257638595161085,1.5443414186773392,6,178.609120811402,185.32097024127864,360.6788899621532,0,3,8,8,8,18
3,3,3,4,2.0186404174310097,196.28824944400017,0.0054143652333915,-6.492330709366542,2.0,5.0,1.0,91.00966268216052,272.4066882519269,321.44356543074275,1.59039322294147,4.76030498423895,5.617224072179806,0.7584138556846719,2.270055735432727,2.6786963785895264,4,91.0096626821599,321.44356543073394,446.5025956242307,1,1,6,7,8,9
4,4,4,5,1.6392984220062023,196.28726667613856,0.0044378966943298,-6.492690131984172,6.0,1.0,3.0,135.13770953130603,161.40498288291462,183.0916631419328,2.3615305349829683,2.82055095427014,3.199525541094993,1.1261475794275515,1.3450415240242903,1.5257638595161085,6,135.1377095313138,183.0916631419341,272.40668825191057,0,3,8,8,8,17
5,5,5,6,1.6347223683360472,196.28678785779908,0.0039621509329902,-6.49248984206911,5.0,8.0,3.0,135.13770953130603,160.05986723130815,178.6091208114023,2.3615305349829683,2.797045067605572,3.1211931450183146,1.1261475794275515,1.3338322269275695,1.4884093400950211,7,135.1377095313138,178.609120811402,325.30989426621534,0,3,8,8,8,18
6,6,6,7,0.1756246508686793,196.2825018974713,-0.0002963215056881,-6.493640793225839,12.0,13.0,9.0,15.781592546771584,73.43664442613834,81.15126650848116,0.2757832200880025,1.2833048510329923,1.4181178183127583,0.1315132712230967,0.611972036884487,0.6762605542373439,9,15.781592546685937,81.15126650845718,147.8429139642386,3,7,9,10,12,18
7,7,7,8,1.6976023045466029,196.28624848242887,0.0034262367491251,-6.492195587138597,6.0,10.0,3.0,160.05986723130815,202.8387864215337,287.53696791040664,2.797045067605572,3.544606383182579,5.024706516130049,1.3338322269275695,1.6903232201794498,2.396141399253392,5,160.05986723130576,287.5369679104084,322.648546967264,0,1,8,8,9,18
8,8,8,9,0.2683678738922888,196.2828065592696,6.385709379067791e-06,-6.493574063580317,12.0,7.0,13.0,65.49837508674607,81.15126650848116,154.5708367700571,1.14458364949042,1.4181178183127583,2.701124298438672,0.5458197923895513,0.6762605542373439,1.288090306417144,9,65.49837508677604,154.5708367700375,228.07014002416997,2,3,9,11,13,19
9,9,9,10,1.382435187137347,196.2855374765497,0.0027197886427254,-6.492513747650378,11.0,8.0,6.0,156.5830516584447,202.8387864215337,325.3098942662206,2.7362877396302947,3.544606383182579,5.68478814171253,1.304858763820374,1.6903232201794498,2.710915785551842,4,156.5830516584588,325.30989426621534,452.16374980189573,0,1,6,9,15,18
10,10,10,11,1.477584681347377,196.2850085364686,0.0021942420900612,-6.4922282161125455,10.0,8.0,6.0,156.5830516584447,322.64854696725064,467.8780496170179,2.7362877396302947,5.638281116156824,8.176165665756683,1.304858763820374,2.688737891393759,3.898983746808488,2,156.5830516584588,467.87804961702835,599.7064728605377,0,1,5,9,17,19
11,11,11,12,0.1972334720953227,196.2825592605248,-0.0002393264791739,-6.493621161740268,7.0,9.0,13.0,15.781592546771584,65.49837508674607,89.17134904140545,0.2757832200880025,1.14458364949042,1.5582687048437802,0.1315132712230967,0.5458197923895513,0.7430945753450464,9,15.781592546685937,89.17134904133938,163.5863609833175,3,6,9,10,12,18
12,12,12,13,0.093101535475642,196.2822281288716,-0.0005683336420048,-6.493709304201544,14.0,7.0,15.0,53.353491361292114,73.43664442613834,76.20520326654272,0.932351890783328,1.2833048510329923,1.3316853975302485,0.4446124280107682,0.611972036884487,0.6350433605545235,9,53.35349136131109,76.20520326655627,89.17134904133938,5,8,9,9,12,17
13,13,13,14,0.0808198566056295,196.28202346166523,-0.000771687740081,-6.4937227073858566,15.0,13.0,20.0,38.527915083695696,53.353491361292114,54.90444163727109,0.6732750483557716,0.932351890783328,0.9594547360784536,0.3210659590307979,0.4446124280107682,0.4575370136439263,9,38.527915083694786,54.90444163726837,115.92742418951104,4,8,9,10,12,17
14,14,14,15,0.0508753382486301,196.28197948307715,-0.0008153839449934,-6.493863236432491,20.0,14.0,19.0,16.74285898918358,38.527915083695696,42.21321140956741,0.2925813444892784,0.6732750483557716,0.7376755760411285,0.1395238249098633,0.3210659590307979,0.3517767617463955,9,16.742858989183123,42.21321140956953,90.75025201580594,5,8,9,10,12,17
15,15,15,16,0.1653163278067869,196.28164226923272,-0.0011504340137467,-6.493952124216952,17.0,19.0,20.0,51.22150312258123,55.03497431414959,87.1144434252282,0.8950954111271152,0.9617357936998292,1.5223242934945909,0.4268458593548441,0.4586247859512471,0.725953695210236,9,51.221503122602066,87.11444342521844,115.92742418951104,4,6,9,10,11,16
16,16,16,17,0.2242847418788376,196.2814489723019,-0.0013424906131088,-6.493989458679231,16.0,19.0,20.0,51.22150312258123,105.41221386421309,138.11620476311998,0.8950954111271152,1.8420777047640136,2.413579718461251,0.4268458593548441,0.8784351155351101,1.1509683730260014,9,51.221503122602066,138.11620476313132,164.9486094121381,1,5,9,10,10,15
17,17,17,18,1.172807669713368,196.27934213226703,-0.0034358222139375,-6.492578554043631,17.0,16.0,19.0,660.8912343716074,698.0621471593322,747.2930549148382,11.549069728087858,12.198631170751392,13.058940941671583,5.507426953096736,5.81718455966111,6.227442124290326,0,660.8912343714777,747.2930549147254,764.0374415237827,0,0,0,6,10,14
18,18,18,19,0.1340143966421452,196.2818534583633,-0.0009405998912561,-6.493964824520896,20.0,15.0,16.0,33.425256795110755,42.21321140956741,55.03497431414959,0.5841061302212981,0.7376755760411285,0.9617357936998292,0.2785438066259233,0.3517767617463955,0.4586247859512471,9,33.425256795122,55.03497431412806,105.41221386421275,4,7,9,10,11,17
19,19,19,20,0.0914650978533074,196.28197622291464,-0.00081862308632,-6.493927107361024,15.0,19.0,14.0,16.74285898918358,33.425256795110755,54.90444163727109,0.2925813444892784,0.5841061302212981,0.9594547360784536,0.1395238249098633,0.2785438066259233,0.4575370136439263,9,16.742858989183123,54.90444163726837,87.11444342521844,5,8,9,10,12,17
20,20,20,21,2.328268527161739,196.2739206054902,-0.0088225799727434,-6.492470842379842,23.0,22.0,18.0,115.22661958033568,160.2113662733734,1410.5317822924171,2.013584376452612,2.7996925123128897,24.649033093725983,0.9602218298361318,1.33509471894478,11.754431519103491,2,115.22661958034523,1410.5317822924203,2045.6572543737625,0,2,2,2,2,3
21,21,21,22,2.1217335462996423,196.27447837319693,-0.0082683851221821,-6.492730391940845,23.0,21.0,18.0,77.2238973603008,160.2113662733734,1265.786341063117,1.34948706973973,2.7996925123128897,22.11960751408503,0.6435324780025075,1.33509471894478,10.548219508859322,2,77.2238973603047,1265.786341063089,1890.7255777069458,1,2,2,2,2,3
22,22,22,23,2.1684291258651665,196.27419450263383,-0.008550433532546,-6.492816752204651,22.0,21.0,18.0,77.2238973603008,115.22661958033568,1340.453446490369,1.34948706973973,2.013584376452612,23.424414662561965,0.6435324780025075,0.9602218298361318,11.170445387419758,2,77.2238973603047,1340.4534464903413,1959.9852496865642,1,2,2,2,2,3
