,Unnamed: 0,Unnamed: 0.1,cloudnum,RGAL_KPC,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3,clouds_r400pc,nn_dist,nn3_dist,nn5_dist,clouds_r100pc,clouds_r200pc,clouds_r600pc,clouds_r800pc,clouds_r1000pc,clouds_r1500pc
0,0,0,1,3.480911263171708,189.2216885997665,-0.0144854892869363,14.214002281558775,2.0,4.0,3.0,3832.023485314309,3953.249392010426,3979.411196905845,57.31089211732039,59.12391985243504,59.515189995664,31.93352904428595,32.94374493342025,33.161759974215414,747290.7741258907,1005008.9490010332,3069668.354138187,,5.179770315195795,2.31526355672157,,83.38333096371473,87.45293774211255,131.24404445234975,169.28652605918657,177.8171168680187,0,4078.3677478134114,4235.2303797051545,4565.3685953172635,0,0,0,0,0,0
1,1,1,2,3.157207589115402,189.2299722881556,-0.0064550183266534,14.227473020019676,3.0,4.0,10.0,252.90588071398585,2022.5056483382127,2155.4864914149134,3.7824041791451335,30.24814525871185,32.236977211450785,2.1075490059498843,16.8542137361518,17.962387428457628,3069668.354138187,1005008.9490010332,685515.1764030382,2.31526355672157,5.179770315195795,1.9464732581343964,87.45293774211255,83.38333096371473,,177.8171168680187,169.28652605918657,98.77439439496132,1,269.1641090111836,2294.053421416658,2650.4081135582624,0,0,1,1,1,1
2,2,2,3,3.4482946872035165,189.229519726169,-0.0068936705574187,14.228410502934889,2.0,4.0,10.0,252.90588071398585,2258.369485310069,2382.25514117972,3.7824041791451335,33.77567241685048,35.62847876984878,2.1075490059498843,18.819745710917264,19.852126176497688,747290.7741258907,1005008.9490010332,685515.1764030382,,5.179770315195795,1.9464732581343964,,83.38333096371473,,131.24404445234975,169.28652605918657,98.77439439496132,1,269.1641090111836,2535.400049629965,2892.632729493534,0,0,1,1,1,1
3,3,3,4,1.188409487902068,189.2362666069256,-0.0003537700809076,14.22187953356276,10.0,7.0,5.0,234.99454421455505,419.4049747528418,502.4723773306797,3.51452620873867,6.272527648550173,7.514865271440293,1.958287868454628,3.4950414562736856,4.187269811089003,685515.1764030382,309148.25852726895,519133.876760037,1.9464732581343964,2.073567537694734,6.686856812889981,,,,98.77439439496132,103.38305601268108,52.338314534333,1,250.1013299396434,534.7741593250649,2152.5238134802594,0,0,3,3,3,3
4,4,4,5,1.2403529202556032,189.23827668398224,0.00159470597494,14.221222109562854,7.0,10.0,4.0,111.65589872602108,335.8142887598603,502.4723773306797,1.6699008215041202,5.022363915129413,7.514865271440293,0.9304658227168436,2.798452406332172,4.187269811089003,309148.25852726895,685515.1764030382,1005008.9490010332,2.073567537694734,1.9464732581343964,5.179770315195795,,,83.38333096371473,103.38305601268108,98.77439439496132,169.28652605918657,2,118.83377488784383,534.7741593250649,1723.233825357458,0,1,3,3,3,3
5,5,5,6,2.7246226463207712,189.2451108233946,0.0082194147532583,14.221070436987688,9.0,8.0,5.0,189.0676376514428,216.1297466367657,1619.1459176281771,2.8276535949856534,3.232388486217093,24.21558671626383,1.575563647095358,1.80108122197305,13.492882646901492,469041.7076788023,1258292.471301081,519133.876760037,,3.834399309524223,6.686856812889981,,,,142.1981635598284,110.58809497223416,52.338314534333,2,201.221980634754,1723.233825357458,2008.111052249129,0,0,2,2,2,2
6,6,6,7,1.276105250836595,189.238013927666,0.0013399997289592,14.221601497657044,5.0,10.0,4.0,111.65589872602108,229.2205433278868,419.4049747528418,1.6699008215041202,3.42817153393844,6.272527648550173,0.9304658227168436,1.9101711943990585,3.4950414562736856,519133.876760037,685515.1764030382,1005008.9490010332,6.686856812889981,1.9464732581343964,5.179770315195795,,,83.38333096371473,52.338314534333,98.77439439496132,169.28652605918657,2,118.83377488784383,446.36671170190084,1794.342363943909,0,1,3,3,3,3
7,7,7,8,2.611449564888541,189.24448350010573,0.0076112941159203,14.221712753317144,6.0,9.0,5.0,216.1297466367657,306.4978321827669,1475.0100170784945,3.232388486217093,4.583913502027602,22.059922201603857,1.80108122197305,2.5541486015230603,12.2917501423208,1088577.898273899,469041.7076788023,519133.876760037,0.2734835658904856,,6.686856812889981,48.59229393326723,,,135.89706658496914,142.1981635598284,52.338314534333,2,230.02379588897205,1569.8320494141958,1833.975975436876,0,0,2,2,2,2
8,8,8,9,2.9098980739544777,189.24576184965844,0.0088504728359111,14.221518193006926,6.0,8.0,5.0,189.0676376514428,306.4978321827669,1774.393802228694,2.8276535949856534,4.583913502027602,26.53743959631021,1.575563647095358,2.5541486015230603,14.786615018572466,1088577.898273899,1258292.471301081,519133.876760037,0.2734835658904856,3.834399309524223,6.686856812889981,48.59229393326723,,,135.89706658496914,110.58809497223416,52.338314534333,2,201.221980634754,1888.4619268807355,2158.9256494849687,0,0,2,2,2,2
9,9,9,10,1.3086401705229909,189.23722161721176,0.0005719700121246,14.222140160728754,7.0,4.0,5.0,229.2205433278868,234.99454421455505,335.8142887598603,3.42817153393844,3.51452620873867,5.022363915129413,1.9101711943990585,1.958287868454628,2.798452406332172,309148.25852726895,1005008.9490010332,519133.876760037,2.073567537694734,5.179770315195795,6.686856812889981,,83.38333096371473,,103.38305601268108,169.28652605918657,52.338314534333,3,243.95614343917396,357.40234103054206,2008.111052249129,0,0,3,3,3,3
