res_pc,mean_dist_nn,mean_dist_nn2,mean_dist_nn3,5th_nn,5th_nn2,5th_nn3,16th_nn,16th_nn2,16th_nn3,50th_nn,50th_nn2,50th_nn3,84th_nn,84th_nn2,84th_nn3,95th_nn,95th_nn2,95th_nn3,mean_beam_sep,mean_beam_sep2,mean_beam_sep3
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,263.62576737997176,691.4252288668971,770.435754736817,59.87481836786334,90.22017126044472,134.4389234805203,81.41990285132731,153.2677810383905,196.9168565993695,142.19358658222055,384.0459010273035,511.71192831222186,347.8662803275793,1400.0017286520083,1535.1138595616508,969.0170922665795,1888.7428077116263,1933.8819943078338,2.9291751931107988,7.682502542965527,8.560397274853527
120,561.9627153676416,1028.2684287716152,1514.5866584609907,111.65589872602109,222.0206051477702,373.4300974567019,145.7170638532066,231.76110371802082,455.95463188709044,222.67514498232623,321.1560604713136,1547.0779673533357,252.9058807139858,2154.589397042452,2282.476935283205,2221.42056324416,3190.5534339952637,3260.6909718290867,4.683022628063686,8.568903573096803,12.621555487174938
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
