res_pc,mean_dist_nn,mean_dist_nn2,mean_dist_nn3,5th_nn,5th_nn2,5th_nn3,16th_nn,16th_nn2,16th_nn3,50th_nn,50th_nn2,50th_nn3,84th_nn,84th_nn2,84th_nn3,95th_nn,95th_nn2,95th_nn3,mean_beam_sep,mean_beam_sep2,mean_beam_sep3
60,106.6319011406505,162.71066490123712,208.15685805202799,17.051600251993136,39.045047868550235,53.51477920313772,36.55780647372876,71.41420471129058,93.79576665465683,85.09103569075033,138.05490533815833,185.79138496221046,165.5265683979277,248.2644212075184,304.3787470743224,248.83157319790698,353.70334144341103,417.94950441095,1.748063953125419,2.6673879492006103,3.412407509049641
90,145.80205916616268,221.01896632960234,276.7220668805186,30.9847021705739,53.71617462939596,80.80167582362375,48.643172654299455,93.37359567471297,141.31734774894284,119.73247841353319,198.35194056066834,255.60557028599862,224.86822891981402,331.7719029639117,397.5802088662537,353.92367904192855,458.5131276651016,539.0508707370637,1.6200228796240326,2.455766292551141,3.0746896320057675
120,176.5316009411262,263.651308853835,327.3818045402319,12.594438989214288,30.695090737934315,49.772494051362195,38.812396248992336,80.07451104793509,116.13924262186373,136.820312610086,232.2687535883186,301.45955605047686,301.5614583924481,398.71933528149964,492.1192117749239,442.109750937407,624.390561800134,677.8135016127807,1.4710966745093865,2.1970942404486276,2.728181704501935
150,178.873258105006,272.6936233706722,343.0330730306706,21.411259732215235,53.827335697531225,72.19767440981306,46.3835499679105,104.94374673018419,146.15786902387987,152.88234209207255,238.37706109207244,308.3915726503582,293.70433764366874,416.9166773821653,502.25650410700143,427.58489704045104,613.9717673363895,687.9292478759876,1.1924883873667074,1.8179574891378156,2.2868871535378053
