cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3
11,259.2787253352314,0.014111730691530194,-62.82335163584678,28.0,39.0,26.0,233.3316775157894,272.9315068038275,318.44882404773955,4.673147770351549,5.4662499153921615,6.377867025659487,2.5925741946198864,3.032572297820311,3.5383202671971117,5466892.9683873,790630.0515571459,2906622.284741289,5.143573904597962,3.9263466158032267,4.072286768771082,85.17063526658295,,53.3076479353009
12,259.28634976899866,0.017588692370857827,-62.83235825773609,42.0,24.0,25.0,122.07601396122816,162.53426571135768,210.71382591187057,2.4449284320501827,3.2552229920147013,4.220159286668947,1.3564001551247598,1.8059362856817551,2.341264732354122,1209784.5129755347,2099089.8358641732,1954008.409837973,4.994925449589461,5.55194212639791,3.131513451453943,29.900524530491424,40.535458657517744,42.61216241701839
13,259.29015156089093,0.019329347246012943,-62.82509426902846,22.0,21.0,16.0,82.9502606390777,115.4196745833913,234.9920426165728,1.6613210417147688,2.3116158109203897,4.7064014269116194,0.9216695626564204,1.28244082870435,2.6110226957397016,1021395.3278170325,1140079.0260554354,2804252.6612457773,4.365390543425133,1.9665577496037614,4.3043941208796195,,,51.79373501273146
14,259.28608812656483,0.017469871413887113,-62.83127455069053,25.0,12.0,24.0,177.09130109406337,220.33967885632603,298.6328045648867,3.54677010711662,4.412945082854164,5.980993406743043,1.967681123267374,2.4482186539591826,3.3181422729431915,1954008.409837973,1930076.8143467847,2099089.8358641732,3.131513451453943,7.375911734279726,5.55194212639791,42.61216241701839,44.60716070480968,40.535458657517744
15,259.2968425004211,0.02238422862059444,-62.82631169659121,4.0,10.0,8.0,174.1074243689015,231.9675270471932,600.251067777487,3.48700926789559,4.645826676239444,12.021779335322714,1.9345269374322416,2.57741696719104,6.6694563086387575,1877073.539153062,1573729.3321976194,5734046.45619691,2.0163460962248436,3.661624933524585,3.2595063138464013,50.37876934821059,37.35230555706303,68.29399173874656
16,259.2883777647451,0.01851976517464075,-62.82425973597425,22.0,13.0,27.0,152.04910405773194,234.9920426165728,247.59749207892216,3.045227031221504,4.7064014269116194,4.9588623386764645,1.689434489530358,2.6110226957397016,2.7510832453213623,1021395.3278170325,1136701.0012698488,2244259.9523603343,4.365390543425133,3.788821552355607,3.8348007890852736,,,53.936604307847
17,259.29052801925394,0.019498646561835045,-62.829064656118824,19.0,8.0,20.0,186.53348163025586,294.52052400561155,502.1714143020559,3.7358773273181236,5.898632987741058,10.057448050195138,2.07259424033618,3.272450266729023,5.579682381133964,1395711.9285600414,5734046.45619691,1246092.3440725894,4.342763262868341,3.2595063138464013,3.2043919004663612,,68.29399173874656,68.03106931386985
18,259.2817649086683,0.015497007773099312,-62.829052019453314,43.0,50.0,30.0,143.23280385791375,156.12460537491654,241.3812615161114,2.868654891252457,3.126850838568353,4.834364180930077,1.5914755984212667,1.7347178374990757,2.682014016845687,1252550.1897185328,763735.6525823604,1065352.0454787798,5.077051105597148,5.867064647351208,5.323462923248324,31.83375457340133,36.73803213750329,
19,259.291908778747,0.020129626825166242,-62.8283911043643,8.0,17.0,20.0,175.6845729004806,186.53348163025586,439.2498878223149,3.518596269807765,3.7358773273181236,8.797260859555236,1.9520508100053435,2.07259424033618,4.88055430913684,5734046.45619691,2470171.015996616,1246092.3440725894,3.2595063138464013,3.044900187454265,3.2043919004663612,68.29399173874656,57.08343204744457,68.03106931386985
20,259.2889572840741,0.018782895012256443,-62.82668532652916,21.0,8.0,13.0,230.59574298764213,268.1403147103194,340.00462208520787,4.61835269719148,5.370292311660503,6.809584787300006,2.562174922084917,2.979336830114665,3.777829134280095,1140079.0260554354,5734046.45619691,1136701.0012698488,1.9665577496037614,3.2595063138464013,3.788821552355607,,68.29399173874656,
