cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,mlum_nn,mlum_nn2,mlum_nn3
1,55.50051777548322,37.691217648740704,-47.22549850694115,31.0,14.0,38.0,14.537103870938331,19.60648730547161,24.527577081772307,0.2855915546015252,0.3851831313552603,0.48186137566202497,0.1615233763437593,0.2178498589496845,0.2725286342419146,3358512.2341299113,2316239.383737561,3267848.899371115
2,55.50314442546682,37.69291146342707,-47.225625051899904,28.0,8.0,23.0,50.740876821157464,97.93744720013572,102.62427967213932,0.9968399498175616,1.9240495251263647,2.016125621143833,0.5637875202350828,1.0881938577792856,1.1402697741348813,2416003.055552992,1098763.8571245258,1692688.2191729369
3,55.503255027173395,37.69503623898774,-47.22274247377768,22.0,21.0,85.0,101.48100938352673,125.43718626360146,176.48120102619643,1.9936652781516264,2.4643010979291216,3.467096404241516,1.127566770928075,1.3937465140400165,1.960902233624405,2083863.1660669704,404068.7897547688,1387620.3103020466
4,55.48611567041645,37.67228848877753,-47.238366978932476,7.0,35.0,63.0,1237.6353973019447,2962.080566887351,3788.086894639583,24.314211433265616,58.1921407085414,74.41961169229451,13.751504414466055,32.912006298748345,42.089854384884255,1834784.2926108413,142728.61206952858,5176028.552724454
5,55.50456622072507,37.69400886008032,-47.22543964941418,29.0,19.0,11.0,26.92573279426557,49.989020207482795,64.91049529788008,0.5289748189027157,0.9820692017343728,1.2752119972903506,0.29917480882517306,0.5554335578609201,0.721227725532001,2669710.2761231298,5179758.259179392,262184.96152501676
6,55.50394161037393,37.69459003257021,-47.22402578246398,13.0,16.0,9.0,129.4395261343129,153.44361942410302,173.7083636816739,2.542929858916737,3.01450703001586,3.4126220787561983,1.4382169570479213,1.7049291047122563,1.9300929297963765,2316136.611096778,308728.8860948036,1007985.3640709405
7,55.49533058066425,37.67811240908959,-47.238975234939865,4.0,44.0,49.0,1237.6353973019447,3382.7119122899016,3444.509450410861,24.314211433265616,66.4557371521081,67.66979293235153,13.751504414466055,37.585687914332254,38.272327226787354,1038208.3293527324,715094.8704829732,739784.7788819306
8,55.503339206159666,37.69326047447507,-47.22532025291563,2.0,28.0,23.0,97.93744720013572,107.6177422061941,114.47208801181722,1.9240495251263647,2.114225678803607,2.2488840875061653,1.0881938577792856,1.1957526911799343,1.2719120890201916,2088726.185718546,2416003.055552992,1692688.2191729369
9,55.504532311216046,37.69441951131262,-47.22482976049532,13.0,11.0,10.0,91.17907348345548,109.75549937940693,114.18887522177592,1.7912765551138583,2.1562234109432907,2.2433201745212252,1.0131008164828388,1.2195055486600777,1.2687652802419551,2316136.611096778,262184.96152501676,1743332.4062153047
10,55.50533250778785,37.69460112858407,-47.22533857808407,15.0,29.0,9.0,59.33447291131514,100.60734264091114,114.18887522177592,1.16566714461474,1.976501485043837,2.2433201745212252,0.6592719212368349,1.1178593626767903,1.2687652802419551,1709389.2012391496,2669710.2761231298,1007985.3640709405
11,55.504228547779206,37.69399777772577,-47.22513273981538,19.0,5.0,29.0,31.68991479345159,64.91049529788008,71.39926787835616,0.6225705003831365,1.2752119972903506,1.4026884647605042,0.35211016437168435,0.721227725532001,0.7933251986484019,5179758.259179392,2619325.133757971,2669710.2761231298
12,55.50625227826607,37.69747627268174,-47.222173683159596,17.0,27.0,42.0,18.315354204131502,31.18054100551319,80.54009316385691,0.3598179201768244,0.612563496700552,1.5822663591474269,0.2035039356014612,0.3464504556168133,0.8948899240428547,3854269.117227889,1695461.6951102724,1264645.0027545071
13,55.50483982834549,37.69478793444864,-47.22460533943431,9.0,15.0,6.0,91.17907348345548,128.3681231794058,129.4395261343129,1.7912765551138583,2.5218813998692444,2.542929858916737,1.0131008164828388,1.4263124797711757,1.4382169570479213,1007985.3640709405,1709389.2012391496,1207859.6976033607
14,55.500373054842385,37.691179483788815,-47.22541395784503,31.0,1.0,38.0,10.692344704612584,19.60648730547161,29.654003561782144,0.2100585765662957,0.3851831313552603,0.5825736028686627,0.11880383005125095,0.2178498589496845,0.3294889284642461,3358512.2341299113,55282.111719289205,3267848.899371115
15,55.505564370117646,37.69485040276745,-47.22520946363796,10.0,18.0,9.0,59.33447291131514,87.91450773422062,121.38762794913,1.16566714461474,1.727141881818531,2.384744697648356,0.6592719212368349,0.9768278637135628,1.3487514216570002,1743332.4062153047,2857697.6846387894,1007985.3640709405
16,55.50263115242196,37.694016976869186,-47.2235800688489,48.0,6.0,52.0,115.98565610645308,153.44361942410302,172.98657412867175,2.2786191894205485,3.01450703001586,3.398442019071194,1.2887295122939233,1.7049291047122563,1.9220730458741309,655355.2591380279,1207859.6976033607,1451894.8305935098
17,55.506391322134114,37.697515912366036,-47.22225074022459,27.0,12.0,42.0,12.865322691650903,18.315354204131502,71.17210020538079,0.2527482461829378,0.3598179201768244,1.398225597228138,0.14294802990723227,0.2035039356014612,0.79080111339312,1695461.6951102724,2070549.0779387385,1264645.0027545071
