res_pc,mean_dist_nn,mean_dist_nn2,mean_dist_nn3,5th_nn,5th_nn2,5th_nn3,16th_nn,16th_nn2,16th_nn3,50th_nn,50th_nn2,50th_nn3,84th_nn,84th_nn2,84th_nn3,95th_nn,95th_nn2,95th_nn3,mean_beam_sep,mean_beam_sep2,mean_beam_sep3
60,106.72075242638833,159.12855806120425,206.5938992507513,12.536764671922487,22.211188021113184,32.23785111236833,18.503633503234166,37.750621417987496,52.65277362751915,45.97836854694914,74.99218504177469,104.20819789022019,92.33134183575041,123.07966815000992,158.99964356614498,153.07650632464072,341.422775908427,582.6193468329585,1.6169810973695222,2.4110387585030977,3.130210594708357
90,126.1499190367851,198.27260959210568,303.97908886541296,15.820949094818578,24.967245653668343,35.3812058319251,25.839025774699685,46.43922771981197,79.26361575917758,66.89975417748332,92.27449141928452,131.94924803941666,146.05966274509572,183.471195381112,216.66644235396126,274.6924179535563,561.0609174912319,841.5163091088125,1.4016657670753903,2.2030289954678413,3.3775454318379223
120,103.83996049951034,152.88348581842007,229.038063072265,22.029005637302014,44.0474272237315,66.32890745427757,37.035509398492316,72.84666918641878,86.77307569857477,73.99309511209668,113.13881768836843,152.92382913360134,140.9413033278565,172.06119850034676,227.18938119527925,240.5558746918826,289.5926407505208,463.0567286927503,0.8653330041625863,1.274029048486834,1.9086505256022086
150,175.82994830568225,236.80135035771147,302.1840145682415,20.962874426136477,78.41028510874344,99.62374164293249,43.09592515480324,99.80384763183608,166.19172352198066,94.12516656900524,168.31118039076821,232.5304430136257,231.837006315262,278.91430977971976,328.8743378097405,255.64279788952325,330.4121862206392,540.3327766513323,1.172199655371215,1.5786756690514099,2.0145600971216098
