cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_NOEX_nn,RAD_NODC_NOEX_nn2,RAD_NODC_NOEX_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
1,55.49533678254797,-0.005331457340835621,-47.238978712701645,15.0,17.0,6.0,2994.9327188249654,3033.9295268425903,3163.7517638842933,44.931451623264905,45.516500890613095,47.464157853522046,19.966218125499765,20.22619684561727,21.09167842589528,4363225.88727754,2541870.666840412,7892906.55328825,11.520872889236808,8.498997035956162,11.961440775143059,,,60.27952741316871,136.69447038111852,111.69674182512344,149.19404017363502,142.77598538928325,136.88752808648886,165.97709413612387
2,55.50335113769138,0.00010985790160143716,-47.22303289000601,8.0,10.0,5.0,43.09592515480324,173.6371023358738,200.995102271648,0.6465462359410201,2.6049890919316425,3.0154272439799463,0.2873061676986883,1.1575806822391588,1.3399673484776533,2160264.934843641,1677471.3678974365,2315509.06518851,12.607137160787438,11.25617722863443,11.045220767801545,74.52912458459932,,84.87570842507131,166.33452510917925,99.86432512582958,193.01500896921056,188.42332369969589,107.2919711538094,202.55606457514435
3,55.50457170254512,0.0009387623260719523,-47.225159941774685,12.0,6.0,4.0,40.75946707171354,137.7914629520501,155.2894755256431,0.6114935442160055,2.0672152041392056,2.329728983000368,0.2717297804780903,0.9186097530136672,1.0352631701709545,2943878.0333964084,7892906.55328825,4777055.605992694,9.133992606394928,11.961440775143059,7.704450666386214,50.95553234683119,60.27952741316871,31.71562368931656,115.80851198168232,149.19404017363502,122.50221825895487,147.3219033548746,165.97709413612387,135.71239262539996
4,55.505653532443475,0.0016734534110709265,-47.22516619985801,16.0,12.0,3.0,56.64984128100016,136.69940682595126,155.2894755256431,0.8498887427366122,2.050831641766909,2.329728983000368,0.3776656085400011,0.911329378839675,1.0352631701709545,4091431.073610235,2943878.0333964084,4227691.083415496,9.151826910236403,9.133992606394928,8.386784199935688,,50.95553234683119,,120.45278141460108,115.80851198168232,128.75181280177048,137.55226708007135,147.3219033548746,143.21457215518464
5,55.50467489375488,0.0010088878199412056,-47.22272292659051,25.0,8.0,38.0,119.19840627641355,157.91224234872325,182.22269501372443,1.7882730358230663,2.369077019064618,2.733794370139446,0.7946560418427571,1.0527482823248215,1.2148179667581631,12628825.239986518,2160264.934843641,2730669.102134421,11.768896447432137,12.607137160787438,4.201385230535771,57.65257396623769,74.52912458459932,52.54978015998869,141.86701697385766,166.33452510917925,128.39715754545978,157.48603136227982,188.42332369969589,148.65227149544822
6,55.50361509944071,0.0002891152409481417,-47.22510543408128,3.0,17.0,12.0,137.7914629520501,159.48721466131056,166.19172352198063,2.0672152041392056,2.3927055272531974,2.4932898621323933,0.9186097530136672,1.0632480977420704,1.1079448234798708,4227691.083415496,2541870.666840412,2943878.0333964084,8.386784199935688,8.498997035956162,9.133992606394928,,,50.95553234683119,128.75181280177048,111.69674182512344,115.80851198168232,143.21457215518464,136.88752808648886,147.3219033548746
7,55.50531015573425,0.0014402878550445516,-47.224132770531035,4.0,3.0,20.0,223.91550838455228,241.59851354253547,254.75468788311719,3.3592904339522387,3.6245795624244095,3.821954951599433,1.4927700558970152,1.6106567569502366,1.6983645858874477,4777055.605992694,4227691.083415496,21775463.156553052,7.704450666386214,8.386784199935688,14.705077437135667,31.71562368931656,,73.85452070674721,122.50221825895487,128.75181280177048,163.6627722871716,135.71239262539996,143.21457215518464,172.49888430651296
8,55.503632765954634,0.0003011250930987855,-47.22296223882229,2.0,5.0,10.0,43.09592515480324,157.91224234872325,187.55763615482888,0.6465462359410201,2.369077019064618,2.813831777420016,0.2873061676986883,1.0527482823248215,1.2503842410321924,2596861.8677552813,2315509.06518851,1677471.3678974365,6.497619687097845,11.045220767801545,11.25617722863443,,84.87570842507131,,130.37617763202695,193.01500896921056,99.86432512582958,144.77781114751926,202.55606457514435,107.2919711538094
9,55.50208456648603,-0.0007503134520379497,-47.2241479162152,15.0,2.0,6.0,286.99935537993423,297.6475888779985,298.7018979116839,4.305705290508523,4.465455319377021,4.481272581329269,1.9133290358662285,1.9843172591866567,1.9913459860778928,4363225.88727754,2596861.8677552813,7892906.55328825,11.520872889236808,6.497619687097845,11.961440775143059,,,60.27952741316871,136.69447038111852,130.37617763202695,149.19404017363502,142.77598538928325,144.77781114751926,165.97709413612387
10,55.50270111330521,-0.0003316080824313372,-47.2223400611102,11.0,28.0,2.0,149.53801259646215,153.35852789927432,173.6371023358738,2.243442711278416,2.3007599583154703,2.6049890919316425,0.9969200839764144,1.022390185995162,1.1575806822391588,1567732.879066827,970726.0496128987,2596861.8677552813,8.535173705068296,6.405984432623808,6.497619687097845,,47.538544527369396,,81.14886777794476,96.42834049727364,130.37617763202695,101.83674509190375,145.71035990183043,144.77781114751926
