cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_NOEX_nn,RAD_NODC_NOEX_nn2,RAD_NODC_NOEX_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
11,55.50666891439044,0.002603491480523701,-47.224727653474645,19.0,43.0,41.0,30.031164761346396,58.857516667747625,62.09646073838125,0.725147483323401,1.4212029545126712,1.4994121135682763,0.4550176478991884,0.8917805555719348,0.9408554657330503,1054066.4548388117,1498108.5921364094,1425053.0925858335,5.108137382060045,5.900537074884053,4.831936233080472,44.402560839049606,40.07673246041689,40.49219414653196,84.00137181897016,75.70562330055618,81.38582421499859,89.74925501111632,85.37653683974192,89.02323876629573
12,55.500385129936845,-0.0016639574778146596,-47.22547664917153,47.0,39.0,66.0,12.536764671922489,20.752522360930385,20.755196344914392,0.3027189728772523,0.5011007559057656,0.5011653232567778,0.1899509798776137,0.3144321569837941,0.31447267189264266,624144.2009261941,424806.69510565454,747531.6030474114,3.4918993438518253,3.195494716318255,4.352938472285708,36.61807434415935,31.87905166467119,25.02198064320445,62.15145395799369,63.50402633260767,59.54850645019614,81.26399525001335,85.72575294903596,72.51890381280062
13,55.50396644498795,0.0007681881747458023,-47.22403146701682,7.0,2.0,20.0,54.514619382741785,55.81841975819589,171.6378583726569,1.3163371905111545,1.3478194046886596,4.144453338091918,0.8259790815566947,0.8457336326999387,2.6005736117069262,918876.2901360688,191562.76521240253,622695.0474401073,3.505646647268735,4.326948791137375,3.8264464334556703,31.04848913806848,42.591261565467704,26.185098036821426,83.45752532388683,83.55693148037247,65.95298211246697,96.22239732784585,95.21881680708341,69.65744185447296
14,55.503282192465754,0.000303496685295347,-47.22275298874832,8.0,25.0,20.0,17.97562294452794,65.54131064151308,151.13409526763644,0.4340483575306528,1.5825931775574482,3.6493592472559233,0.2723579234019389,0.993050161235048,2.289910534358131,355168.01772447315,522528.7139020479,622695.0474401073,,3.536050655415918,3.8264464334556703,39.482875459062335,9.882349533558056,26.185098036821426,64.76250886263132,46.958862812381184,65.95298211246697,88.60606243275885,58.93353018209725,69.65744185447296
15,55.507448644651966,0.003133022008638433,-47.22478614866524,41.0,67.0,90.0,50.524568925127056,53.9526850992572,97.59602236915512,1.21999144199737,1.3027684450195889,2.3566022352372538,0.7655237715928351,0.8174649257463222,1.4787276116538672,1425053.0925858335,1837127.8011699924,713176.9554319596,4.831936233080472,6.949276819567384,,40.49219414653196,41.41613186020229,36.81905501443062,81.38582421499859,76.18202459446636,66.25652363853801,89.02323876629573,88.08521091539644,83.32637404133155
16,55.500017460389756,-0.0019136565183541696,-47.22522340158877,47.0,39.0,12.0,62.9249420438836,65.21275256930701,75.16907510875649,1.5194170364022646,1.5746596504672008,1.8150699805364017,0.9534082127861164,0.9880720086258652,1.1389253804357058,624144.2009261941,424806.69510565454,616734.1679318784,3.4918993438518253,3.195494716318255,5.823936458390087,36.61807434415935,31.87905166467119,,62.15145395799369,63.50402633260767,43.554485418520926,81.26399525001335,85.72575294903596,61.21817538313001
17,55.50551230108465,0.001817988434124559,-47.225267741332104,59.0,88.0,64.0,39.2515818408184,42.14093120754036,54.49183578823131,0.9477882730997972,1.0175559440633042,1.3157870464740642,0.5947209369820979,0.6384989576900063,0.8256338755792634,611823.5840726913,546686.9740830335,412272.8793367045,7.94556468241387,3.3411243916519417,4.650918254236084,42.84937277432617,,35.384257894181616,68.61144340474699,49.6615114799726,61.57770208967698,89.2425587841885,68.70589213093015,80.74532394721838
18,55.50457019221506,0.0011781887816295154,-47.225127455273295,40.0,28.0,48.0,30.147310329242412,31.559726624172693,34.832122729638805,0.7279519921371039,0.7620569004819154,0.8410738090558494,0.4567774292309462,0.4781776761238292,0.5277594352975583,804163.6519719012,954854.9076406218,1174706.7776541174,,,2.2449078959393853,61.801234490353686,38.88735584392215,52.09788141644883,86.40765004459006,77.2950938794854,76.19423407639809,116.66642842248721,89.83701163504603,101.87595053249522
19,55.50648384435487,0.002477802773374633,-47.22479391600997,11.0,43.0,41.0,30.031164761346396,38.00737076476722,88.77146976324215,0.725147483323401,0.9177449318677281,2.143520186489377,0.4550176478991884,0.5758692540116255,1.3450222691400344,498806.8662478906,1498108.5921364094,1425053.0925858335,2.0873926356282513,5.900537074884053,4.831936233080472,19.612193606351664,40.07673246041689,40.49219414653196,47.87713862117237,75.70562330055618,81.38582421499859,85.78767682248736,85.37653683974192,89.02323876629573
20,55.5040759142121,0.0008425452439007049,-47.22322281195623,25.0,8.0,14.0,110.84495645472091,138.60120701969805,151.13409526763644,2.6765176059934217,3.3467338764456804,3.6493592472559233,1.6794690371927437,2.100018288177246,2.289910534358131,522528.7139020479,355168.01772447315,1776891.164841779,3.536050655415918,,4.83421591373287,9.882349533558056,39.482875459062335,56.26268155918165,46.958862812381184,64.76250886263132,81.12443241752416,58.93353018209725,88.60606243275885,107.08959619894199
21,55.50632109756522,0.002367393098472227,-47.22220675694932,44.0,53.0,80.0,16.743965010084512,29.422907104305,32.237851112368325,0.4043081307171221,0.7104601905486806,0.7784312326099843,0.2536964395467354,0.4458016227925005,0.488452289581339,287797.9950134542,695776.308877279,1546265.4128301798,,3.0181648323745307,3.428217432794408,31.82371738405968,39.07966665186839,56.72633722932496,56.34922047496306,67.94533472180481,79.43699027048791,74.37120851890134,84.6349122504098,106.71358590981389
22,55.50399829435187,0.0007898032697320407,-47.22502984943168,71.0,29.0,18.0,71.0949700218134,83.96192102715025,84.64149823545412,1.7166946070179423,2.0273864237927244,2.0437958340251163,1.0771965154820229,1.2721503185931873,1.2824469429614278,776387.9748496774,1729630.5814664469,2031948.152856498,3.1327958759213033,6.625059337217437,5.731711661034328,30.195960777634077,46.73322427976533,41.93379598905244,63.94083030699566,76.06232983553288,84.32190211183905,89.06701638305415,92.8577573866025,91.30925185232235
23,55.50055968837742,-0.001545411113777102,-47.22551477858779,3.0,66.0,87.0,6.653950715263813,19.697974359059405,25.621170651016232,0.1606696128397243,0.4756371138633258,0.6186615659109335,0.10081743507975484,0.298454156955446,0.38819955531842826,69059.769138063,747531.6030474114,495796.93669212627,6.151810265689878,4.352938472285708,4.560886166303684,,25.02198064320445,,38.84695744322117,59.54850645019614,55.354435808460366,69.84122978135221,72.51890381280062,64.68151221635269
24,55.50529055001423,0.0016674313323284985,-47.22406071490014,62.0,111.0,30.0,91.90135679624686,126.53338659617785,133.24504002435057,2.2190959999187374,3.0553382652911667,3.217401196617849,1.3924447999431355,1.9171725241845152,2.0188642427931933,3204842.0921196104,2533696.2039422356,2237822.688940374,6.359303643775029,9.303432119606223,7.167285167414486,53.214752086056286,42.794367278644025,37.60722227492435,85.1510351782965,86.11004359750143,76.71291809606154,101.63050940342323,90.26627056956511,82.72038799992595
25,55.50373877466569,0.0006135844528069497,-47.222750993628395,14.0,8.0,20.0,65.54131064151308,66.35433028340003,110.84495645472091,1.5825931775574482,1.6022247553497837,2.6765176059934217,0.993050161235048,1.0053686406575777,1.6794690371927437,1776891.164841779,355168.01772447315,622695.0474401073,4.83421591373287,,3.8264464334556703,56.26268155918165,39.482875459062335,26.185098036821426,81.12443241752416,64.76250886263132,65.95298211246697,107.08959619894199,88.60606243275885,69.65744185447296
26,55.503396956585256,0.0003814181441751377,-47.22561304372015,38.0,54.0,10.0,22.924848547215692,24.00121016835445,41.214949874645036,0.5535548275163963,0.5795451920899107,0.995196736936654,0.34734619010932904,0.36365469952052254,0.6244689374946225,449436.82930224796,123919.76390479796,811443.7862835944,2.8362969629565375,10.429771625630528,4.330187062136056,30.61543655686757,64.1916527320067,50.09447794924414,65.00439529705042,72.77864416466446,79.52210513526042,78.63302086579115,122.26368715537275,97.578495981941
27,55.502143484832274,-0.00046983241204967617,-47.225466572473096,36.0,69.0,65.0,35.43467995145297,49.452556874445726,104.2081978902202,0.8556234562782997,1.1941061043216072,2.5162631234011528,0.5368890901735304,0.7492811647643303,1.5789120892457624,1032566.379678722,314523.9387986602,620331.9444483798,5.931180805095975,2.606325363995504,6.376208178642365,37.12582438336433,,,70.80159398001308,45.91245115294363,56.833114738605225,80.60801177750584,52.28983387519845,63.93668763265351
28,55.50466262193282,0.001240956429642703,-47.22526293974965,40.0,48.0,18.0,17.566992331867187,22.430255405789126,31.559726624172693,0.4241813589398674,0.5416121348294941,0.7620569004819154,0.2661665504828365,0.33985235463316904,0.4781776761238292,804163.6519719012,1174706.7776541174,2031948.152856498,,2.2449078959393853,5.731711661034328,61.801234490353686,52.09788141644883,41.93379598905244,86.40765004459006,76.19423407639809,84.32190211183905,116.66642842248721,101.87595053249522,91.30925185232235
