cloudnum,RGAL_KPC,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
1,7.231998062233392,49.89808771610143,-0.024133923688927875,-19.40705920847478,2.0,9.0,33.0,259.2707708073018,345.46686322712446,380.8573967343708,3.3304678142111896,4.437701424159278,4.8923112222735785,1.7284718053820125,2.303112421514164,2.5390493115624717,12500521.911113402,2906085.248278072,8691251.081961453,10.568320036188164,6.715735667148916,6.898094174140767,69.22266206517203,77.58642525736887,94.30648239410658,165.5795789217563,175.35538638544253,208.04480468430276
2,7.21225356749255,49.89833742041849,-0.023898516758082286,-19.406313209420407,1.0,30.0,6.0,259.2707708073018,343.2743963291795,367.46610136011566,3.3304678142111896,4.4095380472595505,4.7202930726931935,1.7284718053820125,2.2884959755278635,2.4497740090674376,4168828.2694800207,10065751.531321056,4814882.5779048335,8.89053497260457,7.331922876048684,6.778149501802721,33.67159354539441,99.3311389539954,68.69421733115803,136.6380008217152,205.61767421701077,165.21301654645285
3,7.456543748416867,49.8979713910499,-0.024243958508840285,-19.404918059615017,6.0,5.0,30.0,214.01907399732926,215.379283904875,248.1609415089782,2.749186247859582,2.766658851128924,3.187756282231568,1.4267938266488616,1.4358618926991666,1.6544062767265213,4814882.5779048335,2103537.019553865,10065751.531321056,6.778149501802721,0.6381225658862939,7.331922876048684,68.69421733115803,,99.3311389539954,165.21301654645285,97.68195377663154,205.61767421701077
4,0.7965413850340695,49.91834714448088,-0.005025494189388445,-19.41051721913228,27.0,48.0,62.0,120.30725663609027,144.63630819585816,167.0890078442049,1.5454092445320096,1.857928557518175,2.1463451549160637,0.8020483775739351,0.9642420546390544,1.113926718961366,3338163.507020278,1658526.9125300848,967621.1846901925,7.867821431889807,3.8689072283803183,1.602479248173784,79.74602866867208,71.99812077958941,,180.0400673224249,175.74781033217826,98.987864717787
5,7.594521018657165,49.89738795118885,-0.024794202870500902,-19.405263767234747,3.0,6.0,30.0,215.379283904875,370.5285549342929,392.5416560558244,2.766658851128924,4.7596318806488895,5.042401606476278,1.4358618926991666,2.47019036622862,2.616944373705496,5450133.041190876,4814882.5779048335,10065751.531321056,8.612057361965244,6.778149501802721,7.331922876048684,36.952644012771074,68.69421733115803,99.3311389539954,144.9888464666009,165.21301654645285,205.61767421701077
6,7.244594669370773,49.89857258695133,-0.02367686910091019,-19.40522688850052,30.0,3.0,10.0,37.29239818978229,214.01907399732926,275.10680120441157,0.4790402385085194,2.749186247859582,3.533889855879138,0.24861598793188194,1.4267938266488616,1.834045341362744,10065751.531321056,5450133.041190876,9090570.768339267,7.331922876048684,8.612057361965244,9.931172806574196,99.3311389539954,36.952644012771074,41.079561284166665,205.61767421701077,144.9888464666009,139.51252083181137
7,7.4355952996140715,49.898601587348615,-0.02364975475360689,-19.403585778513374,31.0,42.0,11.0,67.45810171906156,70.94568441503749,107.1297512999744,0.8665343798051907,0.9113341923030696,1.3761373391148404,0.44972067812707706,0.4729712294335832,0.7141983419998292,2094701.59240125,1077186.1255071328,3445893.2987284265,3.697722410768163,3.1595005911032135,4.126279638521745,,,,157.294508728139,164.78191428409022,151.33429353062255
8,0.6808103384193169,49.91865597443874,-0.004734196059619443,-19.411257405578546,41.0,19.0,4.0,97.79942758942256,167.67243617211554,263.6402639978582,1.2562844813576513,2.1538395950411693,3.3865962254094524,0.6519961839294838,1.1178162411474368,1.7576017599857214,1896503.2538099668,2238476.13600036,5246343.307312202,6.707035582337961,13.397956472778862,8.611239531640159,93.444676191227,53.39518666714446,79.4299338555338,200.41118034663802,154.56876001684327,183.18807911991965
9,6.918446295760834,49.898984253422185,-0.023288238820352608,-19.40766852209501,33.0,1.0,40.0,243.52880295489555,345.46686322712446,352.9033136856143,3.12825405482158,4.437701424159278,4.533226495600455,1.623525353032637,2.303112421514164,2.352688757904096,8691251.081961453,4168828.2694800207,4398132.5056707645,6.898094174140767,8.89053497260457,6.000363110678738,94.30648239410658,33.67159354539441,65.23379723221886,208.04480468430276,136.6380008217152,173.32602272182655
10,7.267497746690028,49.89880483072074,-0.023457934020760327,-19.404426242658964,42.0,6.0,7.0,248.98914948476929,275.10680120441157,285.72479099727167,3.1983950441647253,3.533889855879138,3.670283453763824,1.6599276632317947,1.834045341362744,1.9048319399818117,1077186.1255071328,4814882.5779048335,1613643.995273089,3.1595005911032135,6.778149501802721,0.7156786931609016,,68.69421733115803,88.19108769993836,164.78191428409022,165.21301654645285,199.34697434716472
