,Unnamed: 0,Unnamed: 0.1,cloudnum,RGAL_KPC,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3,clouds_r400pc,nn_dist,nn3_dist,nn5_dist,clouds_r100pc,clouds_r200pc,clouds_r600pc,clouds_r800pc,clouds_r1000pc,clouds_r1500pc
0,0,0,1,4.612685726777166,187.9275981901453,0.011228268514023,3.94069655793018,2.0,6.0,3.0,1295.2320932726527,1414.134246965588,1589.4813486285066,24.184354551180377,26.40447545209413,29.67852687358344,14.233319706292905,15.539936779841645,17.466828006906685,2919632.4267942314,1793274.6475271978,7181713.746776539,3.6005138795337994,8.265526883311779,7.271370165934917,72.05908222742988,31.96847845049102,54.18396828398949,138.3367257460824,97.88379142570793,116.62532181439089,0,1295.232093272865,1589.4813486286057,2090.4891654325,0,0,0,0,0,2
1,1,1,2,3.5345751360855844,187.92529775716133,0.0089332267398905,3.945132000567999,6.0,3.0,4.0,141.7735679723336,311.2098445307978,822.902760806862,2.6471720795348053,5.810857574516717,15.365101152036535,1.557951296399272,3.4198884014373427,9.0428874813941,1793274.6475271978,7181713.746776539,1274528.4432605666,8.265526883311779,7.271370165934917,4.947285081770723,31.96847845049102,54.18396828398949,,97.88379142570793,116.62532181439089,75.57966829498017,2,141.77356797212065,822.9027608067792,1039.8891370542776,0,1,2,2,4,6
2,2,2,3,3.320587848466348,187.92439708951943,0.0080346856339387,3.945927276722572,6.0,2.0,4.0,176.52504248984798,311.2098445307978,512.0330236683992,3.2960457333556734,5.810857574516717,9.560594005218784,1.939835631756574,3.4198884014373427,5.626736523828571,1793274.6475271978,2919632.4267942314,1274528.4432605666,8.265526883311779,3.6005138795337994,4.947285081770723,31.96847845049102,72.05908222742988,,97.88379142570793,138.3367257460824,75.57966829498017,2,176.52504249011,512.0330236684065,729.4929828593697,0,1,3,5,5,5
3,3,3,4,3.1605273836926813,187.9229955314981,0.0066364389545601,3.9473210353636383,8.0,5.0,3.0,117.37151336876956,218.08967748879056,512.0330236683992,2.1915410436957123,4.07213356720865,9.560594005218784,1.289796850206261,2.396589862514185,5.626736523828571,178008.8133437577,260053.3496294512,7181713.746776539,3.5540023585912035,,7.271370165934917,,27.034381330412103,54.18396828398949,54.41836455903098,85.86289327528594,116.62532181439089,2,117.37151336885611,512.0330236684065,822.9027608067792,0,1,3,4,5,5
4,4,4,5,3.182150835161073,187.9224549537474,0.0060971388438547,3.947966210213128,8.0,4.0,3.0,100.82015587951952,218.08967748879056,729.4929828593727,1.882496896393924,4.07213356720865,13.620969578890312,1.1079138008738425,2.396589862514185,8.016406405048063,178008.8133437577,1274528.4432605666,7181713.746776539,3.5540023585912035,4.947285081770723,7.271370165934917,,,54.18396828398949,54.41836455903098,75.57966829498017,116.62532181439089,2,100.82015587941933,729.4929828593697,1039.8891370542776,0,1,2,3,4,5
5,5,5,6,3.403818268430039,187.92481383379848,0.0084504474770407,3.9453883914813934,2.0,3.0,4.0,141.7735679723336,176.52504248984798,687.4516871563603,2.6471720795348053,3.2960457333556734,12.835981617000272,1.557951296399272,1.939835631756574,7.554414144575398,2919632.4267942314,7181713.746776539,1274528.4432605666,3.6005138795337994,7.271370165934917,4.947285081770723,72.05908222742988,54.18396828398949,,138.3367257460824,116.62532181439089,75.57966829498017,2,141.77356797212065,687.4516871566063,905.2677495037194,0,2,2,3,5,6
6,6,6,7,4.854729202468043,187.91586419597425,-0.0004779759190698,3.9532939065818833,9.0,5.0,8.0,120.14579748486425,2194.838961633858,2293.194477060534,2.2433420074286405,40.98166182462254,42.81813937138613,1.3202834888446635,24.119109468503968,25.19993930835756,129182.02384643447,260053.3496294512,178008.8133437577,,,3.5540023585912035,,27.034381330412103,,38.85128041169221,85.86289327528594,54.41836455903098,1,120.14579748495711,2293.1944770604423,2919.714668120448,0,1,1,1,1,1
7,7,7,8,3.16350935073128,187.92269485840416,0.0063364765420784,3.947659892300321,5.0,4.0,3.0,100.82015587951952,117.37151336876956,629.2185702463103,1.882496896393924,2.1915410436957123,11.748662708452716,1.1079138008738425,1.289796850206261,6.914489782926495,260053.3496294512,1274528.4432605666,7181713.746776539,,4.947285081770723,7.271370165934917,27.034381330412103,,54.18396828398949,85.86289327528594,75.57966829498017,116.62532181439089,2,100.82015587941933,629.2185702464002,939.9048624114272,0,2,2,3,5,5
8,8,8,9,4.68920863768287,187.91616702917423,-0.0001758633601771,3.9529427291494255,7.0,5.0,8.0,120.14579748486425,2076.731662013487,2174.865043430209,2.2433420074286405,38.776382304498526,40.60871220260322,1.3202834888446635,22.82122705509329,23.899615861870465,2982150.948914937,260053.3496294512,178008.8133437577,5.61470178584707,,3.5540023585912035,24.7165909704848,27.034381330412103,,84.41659532337346,85.86289327528594,54.41836455903098,1,120.14579748495711,2174.865043430039,2800.9201185063307,0,1,1,1,1,1
9,9,9,10,2.891601464675228,187.92084683016955,0.0044928865451971,3.9377558826906656,16.0,11.0,1.0,1733.192750792292,1803.388696756352,1906.09736119469,32.36188186534756,33.67256869442458,35.59032750317893,19.046074184530703,19.817458206113784,20.946124848293323,142837.11011588105,1249954.3518715885,7149483.164276367,2.112435055040512,2.606072156328325,5.404716728319312,,43.44873026408107,62.74704327604361,55.67508181473198,102.21617191763356,132.8359885397817,0,1733.1927507922662,1906.097361194644,1963.7218688841451,0,0,0,0,0,0
