res_pc,mean_dist_nn,mean_dist_nn2,mean_dist_nn3,5th_nn,5th_nn2,5th_nn3,16th_nn,16th_nn2,16th_nn3,50th_nn,50th_nn2,50th_nn3,84th_nn,84th_nn2,84th_nn3,95th_nn,95th_nn2,95th_nn3,mean_beam_sep,mean_beam_sep2,mean_beam_sep3
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,78.56090402161591,119.97572397829441,155.3089944511276,10.488828570260017,23.889163452275632,49.36495112152562,30.816210898129693,48.096203258138836,75.83480945299756,65.52608075752745,99.09848993778678,128.32940474189138,117.31520722515886,193.88781982251686,233.58278159931737,208.90272889344254,257.5296652580361,327.95921091170186,0.8728989335735126,1.3330635997588305,1.7256554939014228
120,84.17510761242062,118.4740806781231,159.41622561124643,43.315411301749364,69.17377011662066,85.10576321117104,57.75984212402872,80.89658906932048,99.64603095641279,73.61585384550372,134.21875741245242,149.1896737568499,104.14825429859029,141.36635373762135,200.83186144966794,148.6307653706964,184.91042280376772,264.2750552692409,0.7014592301035055,0.9872840056510265,1.3284685467603876
150,86.71342868417611,141.67010325243595,189.52756461226102,17.46016746964478,68.65435461625636,134.28004309449693,23.27662218879292,73.71271247314718,151.14504471161894,77.91653597888575,125.18340719730753,167.25700694623592,122.48027158207879,185.9181745856685,209.9981915177179,181.46662252934428,267.3361952244899,294.7654739020741,0.5780895245611745,0.9444673550162404,1.2635170974150745
