res_pc,mean_dist_nn,mean_dist_nn2,mean_dist_nn3,5th_nn,5th_nn2,5th_nn3,16th_nn,16th_nn2,16th_nn3,50th_nn,50th_nn2,50th_nn3,84th_nn,84th_nn2,84th_nn3,95th_nn,95th_nn2,95th_nn3,mean_beam_sep,mean_beam_sep2,mean_beam_sep3
60,135.02549116568582,186.9987449849296,228.91096642899166,39.285173054360264,84.14322272576112,106.55941220962629,79.84013350587902,122.4346403993324,148.81495954406097,126.29019470313126,176.81195180679197,211.7048502376353,183.5791389239647,246.07703800385542,301.59095436259565,253.69097949297102,316.0910665623507,405.64655695994077,2.2323725132467933,3.091644805081744,3.7845783416539436
90,199.07717076311164,255.99327678097305,312.0905545016203,95.60732160196962,148.88678083764788,183.916245907468,135.85082783053647,186.5933509202125,225.55520237466442,192.72846740833313,242.7649614734677,289.5273026121396,261.94455459508833,320.9207003753468,392.1465031443065,319.2408789934775,415.414520347104,525.4222244356415,2.2119685640345774,2.8443697420108167,3.4676728277957873
120,247.64416199326578,325.06035465896406,389.39351137008725,142.79038461524493,209.4107349795413,235.2396022684544,183.73172794407355,235.91039507271898,288.8514695764253,245.9237055481407,306.9055719755164,359.8367570892402,313.1556945406684,402.95616175108114,481.4932638851646,370.32743659293817,498.9474633415251,623.9234249144417,2.0637013499438837,2.7088362888247035,3.244945928084064
150,294.2184489909446,373.7900213466619,457.76072705481295,163.32227444182968,225.79201794117753,290.0441023419362,218.75351111561855,283.02800764627284,345.07426484949303,297.04554904070847,357.07875091364747,433.05978870636466,361.14701655218664,475.261093487164,566.6252855642815,426.53501271210683,556.1488184875021,711.2437759860859,1.9614563266062983,2.491933475644414,3.0517381803654215
