source,1_2,1_3,2_3
ngc1433,0.959953249636257,0.7206752063865736,0.8373578054496307
ngc2835,0.6730294715105991,0.4437056480669016,0.7789035672510324
ngc3621,0.9094017132244152,0.8774744698903036,0.956167690029613
ngc6300,0.9060397842416947,0.8553186604838836,0.9472549016512852
