source,first_second,pval_first_second,first_third,pval_first_third,second_third,pval_second_third
ngc1433,0.4107658298463215,1.14919261163143e-09,0.3520473347569924,2.594100323769381e-07,0.40948929511980786,1.3080278143650772e-09
ngc3621,0.26730783726172525,2.585111851398523e-09,0.23377736968939597,2.150573612727069e-07,0.26950830570452,1.8910223745127984e-09
ngc6300,0.23865321523931177,2.5698874951256947e-11,0.20324257439824409,1.5438191398866664e-08,0.2869350791024772,6.8703033171206875e-16
ngc2835,0.16485035448744717,0.06089264284624707,0.10011815186663994,0.25706825726150107,0.20623012487849696,0.018570659613313556
