source,1_2,1_3,2_3
ngc1433,0.9283200350210371,0.6821350285587476,0.7702072208896626
ngc2835,0.6972554986197872,0.6018087807405699,0.9487162391046071
ngc3621,0.7840431217730303,0.7742304101136162,0.964521979569762
ngc6300,0.8177182523182231,0.7516773316233571,0.9493476951614732
