source,MLUM_1_2,MLUM_1_3,MLUM_2_3,SIGV_1_2,SIGV_1_3,SIGV_2_3
ngc2835,0.16485035448744717,0.10011815186663994,0.20623012487849696,,,
ngc2835,0.15077899407630677,0.039321510773856636,0.12924491198653795,,,
ngc2835,0.6734695165408928,-0.22606218394329222,-0.12510615103131553,0.2047001009871768,-0.2866822109224991,-0.3209794177975166
ngc2835,0.0767149264212177,0.22707389009428527,-0.17834756682574818,,,
