cloudnum,RGAL_KPC,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3
1,7.240887631727832,287.46512862167435,0.01296269361970326,-63.81455522285215,2.0,4.0,11.0,303.9967776139347,772.2812136578133,891.1019192004491,3.4377756325595503,8.733413421796248,10.07710834305216,2.0266451840929,5.148541424385427,5.940679461336333
2,7.0334254470303055,287.46738531575437,0.013957747287263891,-63.816120665091816,1.0,4.0,3.0,303.9967776139347,704.6994549904445,768.1210209430091,3.4377756325595503,7.969158862995454,8.686367498303373,2.0266451840929,4.697996366602967,5.120806806286732
3,6.26556217169552,287.4639979563761,0.012461098635290215,-63.820562193465726,7.0,6.0,11.0,206.5144689771902,247.97888491492395,343.80488465977936,2.3353879432313325,2.8042921199396877,3.887949287210336,1.3767631265146028,1.6531925660994946,2.2920325643985313
4,6.535675084876319,287.45925482538064,0.010369268886160628,-63.81848967005596,11.0,9.0,8.0,169.6084548294845,399.74852730742145,399.78645296649364,1.9180328741160702,4.520593136267594,4.521022022085499,1.1307230321965642,2.664990182049479,2.665243019776627
5,6.2405786512703525,287.4748272187514,0.017237232249481815,-63.82311393191964,15.0,6.0,3.0,324.233809144617,741.9666855193664,887.4540048439644,3.6666279724349122,8.390598780914619,10.035855566681242,2.161558727630782,4.946444570129114,5.916360032293102
6,6.054887580466671,287.4648638655941,0.012842456124633306,-63.82202646163076,3.0,7.0,11.0,247.97888491492395,297.1964381345837,549.0829639192889,2.8042921199396877,3.3608733655725795,6.209355403143526,1.6531925660994946,1.981309587563893,3.6605530927952628
7,6.140695261539879,287.4613787345166,0.011305338813263375,-63.82106427862525,3.0,11.0,6.0,206.5144689771902,279.8685942851558,297.1964381345837,2.3353879432313325,3.164919843242777,3.3608733655725795,1.3767631265146028,1.865790628567707,1.981309587563893
8,6.206389042439095,287.4557803627245,0.00883568433124368,-63.82038673297817,11.0,9.0,4.0,334.1128518019961,339.334279044706,399.78645296649364,3.7783460386168004,3.837393030769351,4.521022022085499,2.2274190120133093,2.262228526964709,2.665243019776627
9,6.520978769136839,287.45372710507735,0.007930338864139626,-63.8185246084265,8.0,12.0,4.0,339.334279044706,394.40331713741483,399.74852730742145,3.837393030769351,4.46014633345084,4.520593136267594,2.262228526964709,2.629355447582768,2.664990182049479
10,7.951085879053402,287.49283823175466,0.025187684467682055,-63.81751665433722,13.0,19.0,5.0,690.6940895626066,895.4994150251955,1593.4885707058959,7.810777894714078,10.126837830677829,18.02011265425917,4.604627263750714,5.969996100167975,10.623257138039316
