cloudnum,RGAL_KPC,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,RGAL_KPC_nn,RGAL_KPC_nn2,RGAL_KPC_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
11,4.505977962325228,259.2847437360086,0.017271077241519883,-62.8325254985864,5.0,17.0,18.0,155.04124030783774,195.28253638484418,221.23789192877356,2.4491917503381813,3.0848848741743304,3.494902509153689,1.2920103358986492,1.6273544698737037,1.8436490994064485,4.593723514148901,4.365023950905088,4.668792192953501,3051593.6754694674,1628900.4000903803,282599.44478106726,4.4672675470915175,4.965539124245905,2.4148202806768277,118.88790652956001,53.39788645452991,,228.57832502943225,132.5087254052498,95.3805910035514
12,4.1159161648257765,259.28460416601826,0.017208592230068924,-62.83040365296245,8.0,20.0,23.0,228.83117801249557,260.94697569127584,383.13603084985664,3.614853907873696,4.12218825694251,6.052412920276067,1.9069264834374653,2.1745581307606336,3.1928002570821423,4.3677197701873,4.1815825331665035,4.184871355668501,4961096.386273595,1562061.6768801003,2460222.6015351377,4.379419909848132,6.544514858903432,8.989890577251614,111.44287060159519,,,212.39783405660546,98.934614467903,138.02050133694283
13,4.415928673836199,259.2902093173404,0.01976852937007937,-62.829689770773584,4.0,8.0,12.0,436.9183203512851,500.8370934950256,537.1278059244526,6.902013578137544,7.911740613115818,8.485026232603696,3.640986002927379,4.173642445791884,4.476065049370443,4.229415079768345,4.3677197701873,4.1159161648257765,8020633.075620711,4961096.386273595,1030773.4937194193,3.616523725857441,4.379419909848132,,104.2219841643965,111.44287060159519,46.79936805396834,201.98053581926658,212.39783405660546,126.64404409168469
14,2.937925441154372,259.27895529385614,0.014633036215107682,-62.82263331027626,15.0,9.0,10.0,288.51074604390413,493.36354865425454,680.1772192071293,4.55761407540109,7.793680770886384,10.744782683255217,2.404256217032537,4.1113629054521255,5.668143493392749,2.645527322937037,2.9071298113525947,3.6283437221105705,7770232.051037634,7068831.588350355,3104753.3714839993,5.741598890675048,5.769955606098133,4.049820699283102,135.5867577018561,122.87539230835688,53.9761475355632,243.20478415489717,222.86175064904117,138.36492843366932
15,2.645527322937037,259.2758543294284,0.01321676168618812,-62.82245464224528,14.0,36.0,9.0,288.51074604390413,466.24500170157137,542.3235916041232,4.55761407540109,7.3652881616309696,8.567104235836307,2.404256217032537,3.885375014179765,4.5193632633676994,2.937925441154372,2.476937818817231,2.9071298113525947,2250499.9634093046,8199041.355102909,7068831.588350355,4.821265806795137,6.18869466558455,5.769955606098133,,108.05149426863242,122.87539230835688,167.9410852567588,200.63609406817085,222.86175064904117
16,0.12576681586672095,259.2490946885405,0.0009943720612541783,-62.820731658349104,56.0,69.0,80.0,42.219206639016754,71.09261889650354,73.5613791178044,0.6669382443070893,1.1230525205134765,1.1620516097594586,0.3518267219918067,0.5924384908041967,0.6130114926483707,0.09258588053588687,0.11314009569717184,0.06308760053045125,19867732.582355514,7313880.184467436,9071133.115812236,8.594884763049878,4.074095346550537,5.471376389434872,83.15517035390079,51.72532262118796,55.66365136279301,177.42215949577277,136.7060052096187,148.0193863065705
17,4.365023950905088,259.2826378735801,0.0163096083976797,-62.83242976442918,23.0,11.0,20.0,154.63495382657732,195.28253638484418,205.3714450573208,2.442773628964789,3.0848848741743304,3.244259707873308,1.2886246152214789,1.6273544698737037,1.711428708811008,4.184871355668501,4.505977962325228,4.1815825331665035,2460222.6015351377,2551159.7586388076,1562061.6768801003,8.989890577251614,4.678216697098223,6.544514858903432,,48.54402015392085,,138.02050133694283,130.3427348430721,98.934614467903
18,4.668792192953501,259.2839471485749,0.016906767506993128,-62.8335577425947,11.0,17.0,5.0,221.23789192877356,257.95124840800577,318.7529659514732,3.494902509153689,4.074864651082032,5.035351452646429,1.8436490994064485,2.1495937367333835,2.656274716262278,4.505977962325228,4.365023950905088,4.593723514148901,2551159.7586388076,1628900.4000903803,3051593.6754694674,4.678216697098223,4.965539124245905,4.4672675470915175,48.54402015392085,53.39788645452991,118.88790652956001,130.3427348430721,132.5087254052498,228.57832502943225
19,2.9226089922384304,259.27579732535145,0.013188848763242209,-62.82663915495925,9.0,31.0,27.0,373.6953739976664,689.1168484146457,736.5081455206675,5.9032785426469365,10.886002310127774,11.634644243586473,3.1141281166472234,5.742640403455385,6.137567879338902,2.9071298113525947,3.0469880773985385,3.3772367741039155,7068831.588350355,802157.3520899412,1388779.1137873414,5.769955606098133,1.229396626336995,2.8553693270453637,122.87539230835688,,59.99240818687175,222.86175064904117,96.53381982066637,137.88123534295053
20,4.1815825331665035,259.282857869714,0.016410621674913042,-62.83141865631927,23.0,17.0,12.0,125.58837469842621,205.3714450573208,260.94697569127584,1.9839238298083728,3.244259707873308,4.12218825694251,1.0465697891535528,1.711428708811008,2.1745581307606336,4.184871355668501,4.365023950905088,4.1159161648257765,2460222.6015351377,1628900.4000903803,1030773.4937194193,8.989890577251614,4.965539124245905,,,53.39788645452991,46.79936805396834,138.02050133694283,132.5087254052498,126.64404409168469
21,0.6329480664422605,259.2523688405521,0.0024900422806846947,-62.819362038578475,40.0,62.0,48.0,78.58717967668025,152.62187628221253,156.79270682952802,1.2414443522530276,2.4109729744766035,2.476859726596627,0.6548931639723361,1.2718489690184391,1.306605890246068,0.5968815094597858,0.6285657159692014,0.830286944157304,3356463.4829725353,4383366.345245302,2680481.921539366,9.390465911099867,9.384543608906943,9.2205130207241,65.04665656058778,52.8435772511495,37.49641443632852,155.67200133045358,142.7629832945462,115.14763190293125
22,2.9287241583734698,259.276678205778,0.013594632268604915,-62.819066334893506,24.0,28.0,36.0,134.71985385063655,334.66545248738214,417.524215636204,2.1281741167873283,5.286721544073295,6.595644245829189,1.1226654487553058,2.788878770728187,3.4793684636350366,2.8350318585886605,2.8097771861997525,2.476937818817231,3516972.3372850902,5264375.303628801,8199041.355102909,5.493187459660589,6.229799868215985,6.18869466558455,42.8637991403534,86.66222994464556,108.05149426863242,151.44940286070357,176.24238481385277,200.63609406817085
23,4.184871355668501,259.28175153643554,0.01590526311159908,-62.831780231943036,20.0,17.0,25.0,125.58837469842621,154.63495382657732,230.92433373676482,1.9839238298083728,2.442773628964789,3.647919560095482,1.0465697891535528,1.2886246152214789,1.9243694478063755,4.1815825331665035,4.365023950905088,4.192880850754989,1562061.6768801003,1628900.4000903803,3105181.365888002,6.544514858903432,4.965539124245905,5.170060307061257,,53.39788645452991,110.1332458530796,98.934614467903,132.5087254052498,209.49439947078346
24,2.8350318585886605,259.2753523317503,0.01298909346336695,-62.818787698666895,22.0,28.0,29.0,134.71985385063655,208.62616939936368,359.67931449603583,2.1281741167873283,3.2956746990867996,5.681866373629947,1.1226654487553058,1.7385514116613658,2.997327620800301,2.9287241583734698,2.8097771861997525,2.414629881855094,1088603.2816259158,5264375.303628801,4276243.237772545,3.7325027564253435,6.229799868215985,7.714021972777152,,86.66222994464556,,122.0229103005104,176.24238481385277,126.17300947304146
25,4.192880850754989,259.27963608239344,0.014939027419540816,-62.83239003564416,23.0,17.0,20.0,230.92433373676482,277.1232747992787,356.3756151749198,3.647919560095482,4.377725804550228,5.6296777230050585,1.9243694478063755,2.309360623327325,2.9697967931243348,4.184871355668501,4.365023950905088,4.1815825331665035,2460222.6015351377,1628900.4000903803,1562061.6768801003,8.989890577251614,4.965539124245905,6.544514858903432,,53.39788645452991,,138.02050133694283,132.5087254052498,98.934614467903
26,3.7757725133213578,259.27520521842416,0.012916305251447623,-62.831505750874214,30.0,34.0,52.0,232.0861100930541,291.8486291121416,325.92831143319887,3.666272180739589,4.610342727842782,5.148700629451105,1.9340509174421192,2.4320719092678496,2.7160692619433267,3.7965575053018457,3.5354168571501967,3.682276347014932,738528.1047606393,2446659.3056388297,874291.3350126735,3.411063798841866,2.7964526087327246,4.737264373517169,44.23395791216813,61.39050034634491,,125.75023001909393,140.3183048408587,88.80591673038101
27,3.3772367741039155,259.2733569054295,0.012072923042081428,-62.830108197591976,34.0,31.0,26.0,222.3743531588261,299.3945928134806,329.90553945811155,3.5128552258869754,4.729546573277553,5.211529035935012,1.8531196096568865,2.4949549401123408,2.7492128288175994,3.5354168571501967,3.0469880773985385,3.7757725133213578,2446659.3056388297,802157.3520899412,6755304.431276044,2.7964526087327246,1.229396626336995,3.932776060782565,61.39050034634491,,117.97645654392198,140.3183048408587,96.53381982066637,214.94406617790344
28,2.8097771861997525,259.27393450740396,0.012341759693749376,-62.817983653217965,24.0,42.0,38.0,208.62616939936368,222.5921984515869,226.78951701616344,3.2956746990867996,3.5162965353915974,3.5826017196218767,1.7385514116613658,1.85493498709656,1.889912641801364,2.8350318585886605,2.9303326012420823,2.7053273152422053,3516972.3372850902,1476537.1142655548,2273477.9828836964,5.493187459660589,6.375358037227878,8.030845510395636,42.8637991403534,46.296387528611625,39.10995927759506,151.44940286070357,170.79073857057702,116.18417192536484
29,2.414629881855094,259.27170380176733,0.011322182283118595,-62.819410986258106,36.0,37.0,28.0,259.11487370103504,265.04785402108257,354.5167889599988,4.093246479442754,4.1869699715015605,5.6003137820184055,2.159290614175294,2.208732116842357,2.9543065746666612,2.476937818817231,2.303103507529931,2.8097771861997525,8199041.355102909,7490687.766597254,5264375.303628801,6.18869466558455,6.915521638296534,6.229799868215985,108.05149426863242,58.20542994431756,86.66222994464556,200.63609406817085,155.99767804504788,176.24238481385277
30,3.7965575053018457,259.27297438968264,0.01189747491438124,-62.83203549172349,52.0,46.0,34.0,126.87916143421972,148.5540402748695,208.02668234937408,2.0043144318086825,2.346713230610187,3.2862045817531538,1.0573263452851651,1.2379503356239137,1.7335556862447854,3.682276347014932,3.9134558497510468,3.5354168571501967,874291.3350126735,4118254.7798558017,2446659.3056388297,4.737264373517169,4.778143140718228,2.7964526087327246,,76.62653510027542,61.39050034634491,88.80591673038101,158.06508019155532,140.3183048408587
31,3.0469880773985385,259.2708248733466,0.010917063926961396,-62.82918170364644,35.0,27.0,47.0,169.57634508769826,299.3945928134806,307.22606696569596,2.6788032952823024,4.729546573277553,4.853260637022843,1.4131362090641535,2.4949549401123408,2.5602172247141364,3.1004453973413666,3.3772367741039155,2.958529247479252,3311508.1952362806,1388779.1137873414,2542257.938524925,4.500378592516947,2.8553693270453637,6.084900674451684,61.085903926616254,59.99240818687175,,147.74615043573056,137.88123534295053,114.3951421832201
32,2.6424585285012965,259.2680132097427,0.009633527280182014,-62.8279754201762,47.0,31.0,35.0,306.09866771858896,355.99823741959574,377.7226834434962,4.835451072742594,5.623716273759259,5.966898087041709,2.5508222309882447,2.9666519784966345,3.147689028695805,2.958529247479252,3.0469880773985385,3.1004453973413666,2542257.938524925,802157.3520899412,3311508.1952362806,6.084900674451684,1.229396626336995,4.500378592516947,,,61.085903926616254,114.3951421832201,96.53381982066637,147.74615043573056
33,4.393565962233248,259.277228701252,0.013839170962672329,-62.83378833879222,39.0,45.0,25.0,175.49818637669034,339.54006965468574,359.55752702659584,2.7723508236883845,5.363726037384313,5.6799424928298805,1.4624848864724211,2.8295005804557176,2.996312725221636,4.401172282047053,4.331310586343799,4.192880850754989,8844669.638276866,7556108.142018393,3105181.365888002,8.58141993228308,7.517109802385567,5.170060307061257,33.07990825280642,80.10681090579556,110.1332458530796,155.00171395118,177.36225041190482,209.49439947078346
34,3.5354168571501967,259.27218945529216,0.011539452108894269,-62.83107048656124,52.0,30.0,27.0,148.7593847066017,208.02668234937408,222.3743531588261,2.3499570635876443,3.2862045817531538,3.5128552258869754,1.2396615392216823,1.7335556862447854,1.8531196096568865,3.682276347014932,3.7965575053018457,3.3772367741039155,874291.3350126735,738528.1047606393,1388779.1137873414,4.737264373517169,3.411063798841866,2.8553693270453637,,44.23395791216813,59.99240818687175,88.80591673038101,125.75023001909393,137.88123534295053
35,3.1004453973413666,259.2694319644033,0.010280807992854328,-62.829728654967134,31.0,47.0,54.0,169.57634508769826,180.2438688499683,223.60284252585015,2.6788032952823024,2.84731853124928,3.5322617142323955,1.4131362090641535,1.5020322404164037,1.8633570210487536,3.0469880773985385,2.958529247479252,3.0790224536960844,802157.3520899412,2542257.938524925,738379.0558905443,1.229396626336995,6.084900674451684,3.369524312064693,,,,96.53381982066637,114.3951421832201,92.2121814377343
36,2.476937818817231,259.2733322081546,0.012065604388090196,-62.820455489392,29.0,24.0,22.0,259.11487370103504,385.3006796629582,417.524215636204,4.093246479442754,6.086607951255572,6.595644245829189,2.159290614175294,3.2108389971913214,3.4793684636350366,2.414629881855094,2.8350318585886605,2.9287241583734698,4276243.237772545,3516972.3372850902,1088603.2816259158,7.714021972777152,5.493187459660589,3.7325027564253435,,42.8637991403534,,126.17300947304146,151.44940286070357,122.0229103005104
37,2.303103507529931,259.269451559495,0.010293650355286862,-62.818597403263816,29.0,38.0,41.0,265.04785402108257,324.7173923520057,375.1458772569483,4.1869699715015605,5.129571699509,5.9261921920051215,2.208732116842357,2.7059782696000503,3.1262156438079067,2.414629881855094,2.7053273152422053,2.654146167888248,4276243.237772545,2273477.9828836964,1669933.515516158,7.714021972777152,8.030845510395636,3.3561064007109875,,39.10995927759506,76.3315048396211,126.17300947304146,116.18417192536484,160.2739822661192
38,2.7053273152422053,259.27182182176983,0.011376866786973585,-62.81741083394458,42.0,41.0,28.0,175.19611984065983,218.54412650625264,226.78951701616344,2.7675790683371604,3.4523490050854497,3.5826017196218767,1.4599676653388332,1.8212010542187744,1.889912641801364,2.9303326012420823,2.654146167888248,2.8097771861997525,1476537.1142655548,1669933.515516158,5264375.303628801,6.375358037227878,3.3561064007109875,6.229799868215985,46.296387528611625,76.3315048396211,86.66222994464556,170.79073857057702,160.2739822661192,176.24238481385277
39,4.401172282047053,259.27546804658823,0.013035157577544344,-62.83411631146308,45.0,33.0,50.0,170.78654614129567,175.49818637669034,415.2840374317796,2.6979208825180363,2.7723508236883845,6.5602560744841325,1.423221217844132,1.4624848864724211,3.4607003119315,4.331310586343799,4.393565962233248,4.311719158828436,7556108.142018393,7772760.8063197145,3486968.723800666,7.517109802385567,6.002539874889989,5.242146121165482,80.10681090579556,76.19241217945188,55.56222189156593,177.36225041190482,169.83890172249264,138.73568444460219
40,0.5968815094597858,259.2515545000656,0.002118061865330577,-62.81924879756737,21.0,62.0,77.0,78.58717967668025,79.07815670112454,105.57326462497757,1.2414443522530276,1.2492003330197383,1.6677444547165012,0.6548931639723361,0.6589846391760386,0.8797772052081477,0.6329480664422605,0.6285657159692014,0.5886887603165665,1450983.0106243163,4383366.345245302,2983453.4595040004,5.318697424870748,9.384543608906943,6.80067376539805,80.92991819262082,52.8435772511495,63.03504069339571,169.87026581412823,142.7629832945462,149.31201115986937
41,2.654146167888248,259.2699397386806,0.010517313719896677,-62.81675477299407,38.0,42.0,43.0,218.54412650625264,318.6567800386882,323.0773079659797,3.4523490050854497,5.0338320005082515,5.103663230638798,1.8212010542187744,2.6554731669890708,2.6923108997165004,2.7053273152422053,2.9303326012420823,2.3868398182561403,2273477.9828836964,1476537.1142655548,1346802.9654176047,8.030845510395636,6.375358037227878,1.6731095329830346,39.10995927759506,46.296387528611625,79.83471609866525,116.18417192536484,170.79073857057702,172.05129311218064
42,2.9303326012420823,259.27337383005096,0.012086071788271854,-62.81691239786814,38.0,28.0,41.0,175.19611984065983,222.5921984515869,318.6567800386882,2.7675790683371604,3.5162965353915974,5.0338320005082515,1.4599676653388332,1.85493498709656,2.6554731669890708,2.7053273152422053,2.8097771861997525,2.654146167888248,2273477.9828836964,5264375.303628801,1669933.515516158,8.030845510395636,6.229799868215985,3.3561064007109875,39.10995927759506,86.66222994464556,76.3315048396211,116.18417192536484,176.24238481385277,160.2739822661192
43,2.3868398182561403,259.26645824560933,0.008926884776801123,-62.81659405311294,44.0,57.0,41.0,128.1305806084151,279.3249147426801,323.0773079659797,2.024083143098458,4.412505185674162,5.103663230638798,1.0677548384034603,2.32770762285567,2.6923108997165004,2.2508571879750665,2.647082226456353,2.654146167888248,2463531.4167177333,3668130.9722717954,1669933.515516158,7.473059468623435,6.022891858113565,3.3561064007109875,61.28858097740674,74.82924076947432,76.3315048396211,169.4595569200987,180.1547685069114,160.2739822661192
44,2.2508571879750665,259.2650890174563,0.0083013371046231,-62.81669703209271,43.0,78.0,57.0,128.1305806084151,286.1005141605338,307.12338985262636,2.024083143098458,4.519539560301547,4.851638643172825,1.0677548384034603,2.3841709513377847,2.5593615821052227,2.3868398182561403,2.2141570798552657,2.647082226456353,1346802.9654176047,2093456.3075519109,3668130.9722717954,1.6731095329830346,6.7568868515389475,6.022891858113565,79.83471609866525,54.245196469849716,74.82924076947432,172.05129311218064,135.42196302124765,180.1547685069114
45,4.331310586343799,259.2736172903401,0.01219016387463552,-62.834109463989535,39.0,50.0,46.0,170.78654614129567,246.8258239001041,324.45806257542864,2.6979208825180363,3.8991159414505763,5.125475058201512,1.423221217844132,2.0568818658342027,2.703817188128576,4.401172282047053,4.311719158828436,3.9134558497510468,8844669.638276866,3486968.723800666,4118254.7798558017,8.58141993228308,5.242146121165482,4.778143140718228,33.07990825280642,55.56222189156593,76.62653510027542,155.00171395118,138.73568444460219,158.06508019155532
46,3.9134558497510468,259.27211676578133,0.011505640033558952,-62.83265735851178,30.0,52.0,55.0,148.5540402748695,181.9822464877636,206.76560751030675,2.346713230610187,2.8747797419633274,3.2662833395967437,1.2379503356239137,1.516518720731365,1.7230467292525582,3.7965575053018457,3.682276347014932,3.671609545624668,738528.1047606393,874291.3350126735,1119839.1582653506,3.411063798841866,4.737264373517169,3.358914545896716,44.23395791216813,,,125.75023001909393,88.80591673038101,154.7620770019679
47,2.958529247479252,259.2675590473809,0.009425647045969595,-62.82947560747987,54.0,35.0,32.0,122.90804898779629,180.2438688499683,306.09866771858896,1.941582633326329,2.84731853124928,4.835451072742594,1.0242337415649705,1.5020322404164037,2.5508222309882447,3.0790224536960844,3.1004453973413666,2.6424585285012965,738379.0558905443,3311508.1952362806,1748006.2956146426,3.369524312064693,4.500378592516947,4.086633916852492,,61.085903926616254,69.00449969283555,92.2121814377343,147.74615043573056,165.75275692734496
48,0.830286944157304,259.2524946593955,0.002547582980775412,-62.81858839303276,70.0,88.0,21.0,76.95704958355354,89.24841116891098,156.79270682952802,1.2156931316865722,1.4098601890160232,2.476859726596627,0.6413087465296136,0.7437367597409256,1.306605890246068,0.9400538598106976,0.9444327722517232,0.6329480664422605,1603118.8050901084,4788139.290907198,1450983.0106243163,7.000556914270328,10.804573938943925,5.318697424870748,42.103082107379834,50.071710482239965,80.92991819262082,119.91739151292721,127.22445847630613,169.87026581412823
49,4.606789611055106,259.2714213963642,0.011187086492467958,-62.83542795426097,50.0,58.0,45.0,219.2664076133424,261.5792281700829,334.8296716503645,3.4637589043186927,4.132175970870435,5.2893157197805145,1.827220063444522,2.17982690141736,2.7902472637530407,4.311719158828436,4.542634720292393,4.331310586343799,3486968.723800666,3426775.1518723248,7556108.142018393,5.242146121165482,8.950076270146468,7.517109802385567,55.56222189156593,,80.10681090579556,138.73568444460219,126.90730881168307,177.36225041190482
50,4.311719158828436,259.2709996391352,0.010994933399002843,-62.834360215503466,49.0,45.0,61.0,219.2664076133424,246.8258239001041,274.11886041968785,3.4637589043186927,3.8991159414505763,4.330264968333482,1.827220063444522,2.0568818658342027,2.2843238368307346,4.606789611055106,4.331310586343799,4.0975171629573515,3846881.499870252,7556108.142018393,1862033.998450234,7.401488213198242,7.517109802385567,2.7152665668253992,92.2895435783191,80.10681090579556,95.54573495949894,180.54565396662585,177.36225041190482,186.46166649108991
51,3.7408690115769536,259.26590477788073,0.008669280569158024,-62.83273295883196,64.0,61.0,66.0,305.22307691575816,311.3565432454164,337.43133902131973,4.8216193350274725,4.918509911404113,5.330414347793397,2.5435256409646545,2.5946378603784725,2.811927825177668,3.408495184385929,4.0975171629573515,4.049698335073371,3035352.7379286774,1862033.998450234,660443.686240987,6.852973485035661,2.7152665668253992,0.9624883329810144,52.23024338914668,95.54573495949894,,137.0096011203098,186.46166649108991,84.3989865820402
52,3.6822763470149313,259.27172324769543,0.011326303121988185,-62.83177498282648,55.0,30.0,34.0,109.87146156973708,126.87916143421972,148.7593847066017,1.7356432181521644,2.0043144318086825,2.3499570635876443,0.9155955130811432,1.0573263452851651,1.2396615392216823,3.671609545624668,3.7965575053018457,3.5354168571501967,1119839.1582653506,738528.1047606393,2446659.3056388297,3.358914545896716,3.411063798841866,2.7964526087327246,,44.23395791216813,61.39050034634491,154.7620770019679,125.75023001909393,140.3183048408587
53,3.3655451659221582,259.2675943711726,0.009441248323034113,-62.83112326746704,54.0,55.0,35.0,221.70194016437242,318.0911845654264,328.9976818102568,3.5022330949264227,5.024897269565756,5.197187577770769,1.8475161680364385,2.6507598713785563,2.7416473484188093,3.0790224536960844,3.671609545624668,3.1004453973413666,738379.0558905443,1119839.1582653506,3311508.1952362806,3.369524312064693,3.358914545896716,4.500378592516947,,,61.085903926616254,92.2121814377343,154.7620770019679,147.74615043573056
54,3.0790224536960844,259.26711283533314,0.009221708986478273,-62.83004851926326,47.0,53.0,35.0,122.90804898779629,221.70194016437242,223.60284252585015,1.941582633326329,3.5022330949264227,3.5322617142323955,1.0242337415649705,1.8475161680364385,1.8633570210487536,2.958529247479252,3.3655451659221582,3.1004453973413666,2542257.938524925,1923697.8034526769,3311508.1952362806,6.084900674451684,3.7336685341948157,4.500378592516947,,51.10494626425926,61.085903926616254,114.3951421832201,143.69800194229,147.74615043573056
55,3.671609545624668,259.2705732555902,0.010801159806740516,-62.83191552476379,52.0,46.0,30.0,109.87146156973708,206.76560751030675,222.8979522830669,1.7356432181521644,3.2662833395967437,3.5211265390745417,0.9155955130811432,1.7230467292525582,1.8574829356922264,3.682276347014932,3.9134558497510468,3.7965575053018457,874291.3350126735,4118254.7798558017,738528.1047606393,4.737264373517169,4.778143140718228,3.411063798841866,,76.62653510027542,44.23395791216813,88.80591673038101,158.06508019155532,125.75023001909393
