cloudnum,RGAL_KPC,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,RGAL_KPC_nn,RGAL_KPC_nn2,RGAL_KPC_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
1,0.27474789992512444,259.2506867119302,0.0009087315785454076,-62.820857021075724,3.0,32.0,52.0,113.98887116289762,150.84976495779262,195.42359947023587,1.602001119260274,2.120044613453385,2.7464858796065568,0.7599258077526513,1.0056650997186178,1.30282399646824,0.16067421576121893,0.123748334794819,0.08465672757750284,9898201.447028764,21088293.557977792,22065484.823541068,7.198359901787311,10.920899503180273,10.941764122330026,83.39610992741025,79.55267476972892,61.235518488196206,184.09082553055399,181.96415202861087,160.91519454469648
2,4.63841056487997,259.293279560135,0.020358016714037724,-62.82956232080993,10.0,5.0,13.0,365.8560977629699,413.13736883325913,467.30527594206717,5.141746489154153,5.8062381048874805,6.567514595574777,2.439040651753134,2.754249125555062,3.11536850628045,4.493360940265667,4.26626915084207,4.241900860033674,2524690.08682606,7570420.9114143895,3767237.7115444923,2.3188034932969277,3.958512920463661,4.5514485301494085,91.07453447874813,97.61281013807006,107.15725120949776,199.33384994778925,204.97133319823797,219.34899977328655
3,0.16067421576121893,259.24947025266715,0.00035308561972726657,-62.82076032673254,32.0,52.0,79.0,37.62381057155649,83.96883419723699,110.3216217753438,0.5287655367718785,1.1800991184018192,1.5504615473395018,0.2508254038103769,0.5597922279815802,0.7354774785022923,0.123748334794819,0.08465672757750284,0.05472519815836905,21088293.557977792,22065484.823541068,14827425.462382501,10.920899503180273,10.941764122330026,8.091850985090952,79.55267476972892,61.235518488196206,39.78387225710849,181.96415202861087,160.91519454469648,153.19020375002307
4,4.79882407511755,259.29782009417505,0.02243335361400633,-62.82700293477884,9.0,6.0,5.0,336.90497646019384,586.0982088370413,655.8433978626658,4.7348670433123985,8.237032062643985,9.217231881645594,2.2460331764012937,3.907321392246944,4.372289319084442,4.650510403041833,4.216381254128618,4.26626915084207,1934693.5337657137,1844091.2325102729,7570420.9114143895,3.528965589671058,3.310294864769475,3.958512920463661,46.27721064617754,105.8333774167821,97.61281013807006,154.65671018535738,213.97881615819455,204.97133319823797
5,4.26626915084207,259.29094338253947,0.01929237125367228,-62.82781793895979,6.0,2.0,13.0,393.27724795589927,413.13736883325913,425.2634978884124,5.527123700563678,5.8062381048874805,5.97665888474492,2.6218483197059967,2.754249125555062,2.8350899859227514,4.216381254128618,4.63841056487997,4.241900860033674,1844091.2325102729,4541852.124994152,3767237.7115444923,3.310294864769475,5.395641781922508,4.5514485301494085,105.8333774167821,75.3388486411984,107.15725120949776,213.97881615819455,194.3306930463044,219.34899977328655
6,4.216381254128618,259.2919238623382,0.019741393865151304,-62.82592458937996,18.0,5.0,9.0,349.38588434087166,393.27724795589927,475.0118815259906,4.910273889526857,5.527123700563678,6.675823333482177,2.3292392289391457,2.6218483197059967,3.1667458768399386,3.951168336500072,4.26626915084207,4.650510403041833,1711387.8135169896,7570420.9114143895,1934693.5337657137,2.233682738622003,3.958512920463661,3.528965589671058,,97.61281013807006,46.27721064617754,159.8773008394178,204.97133319823797,154.65671018535738
7,3.7833928269180173,259.2877537973835,0.017837788121073155,-62.82453292903733,18.0,14.0,25.0,167.4874781484396,281.5207822766556,406.47172895504167,2.3538712570672007,3.9564968378160894,5.7125591129249225,1.1165831876562649,1.876805215177705,2.7098115263669453,3.951168336500072,3.6425175064044217,3.638161094312904,1711387.8135169896,3427724.7970257215,1166029.983011596,2.233682738622003,5.084203647246885,3.820425540671786,,48.15649705395588,,159.8773008394178,146.77555053176195,103.48478590264986
8,4.578797185437248,259.2864064271999,0.0172178272660492,-62.832378825234,15.0,12.0,22.0,199.89940096472046,225.7424730328846,384.3000495496662,2.8093888536478078,3.1725877339942805,5.400958034144762,1.3326626730981372,1.5049498202192315,2.5620003303311094,4.4769481732479415,4.354053216025819,4.178462967694639,5197607.187315016,5281371.111144322,3279055.5791827156,4.657981894785884,4.279434665132563,6.622140251058617,77.6001595039927,62.07653852583563,20.162951631722553,198.42470939224563,158.83695074806246,126.86656216485152
9,4.650510403041833,259.2969321669229,0.02202906731347189,-62.82538575786258,4.0,6.0,18.0,336.90497646019384,475.0118815259906,699.4291194254301,4.7348670433123985,6.675823333482177,9.829786195193725,2.2460331764012937,3.1667458768399386,4.662860796169538,4.79882407511755,4.216381254128618,3.951168336500072,3876057.1562794577,1844091.2325102729,1711387.8135169896,2.458311609079631,3.310294864769475,2.233682738622003,50.24049020237061,105.8333774167821,,156.09755755051006,213.97881615819455,159.8773008394178
10,4.493360940265667,259.2898367057684,0.01878530271601056,-62.83045862528988,13.0,2.0,12.0,242.47026392448436,365.8560977629699,394.37152185460127,3.407680330821549,5.141746489154153,5.542502640565572,1.6164684261632294,2.439040651753134,2.6291434790306765,4.241900860033674,4.63841056487997,4.354053216025819,3767237.7115444923,4541852.124994152,5281371.111144322,4.5514485301494085,5.395641781922508,4.279434665132563,107.15725120949776,75.3388486411984,62.07653852583563,219.34899977328655,194.3306930463044,158.83695074806246
11,2.918022218415264,259.27778082804343,0.013282732958612176,-62.82504221829626,19.0,20.0,16.0,356.83171959933816,401.123715445566,605.8490835823055,5.014917757794004,5.637398059564233,8.514611120366785,2.378878130662256,2.6741581029704418,4.0389938905487055,2.716919377369309,2.9219581676085724,2.7060788408736527,2067987.5081710275,1946849.2807721572,10383771.303488284,8.224298406070915,1.4596499130760974,6.508985111938634,119.24569779002405,85.64370075714329,132.22454518721352,237.56344789336148,187.49103136481318,257.2070398841349
12,4.354053216025819,259.28596189721037,0.017015492595370853,-62.8312803711658,8.0,22.0,15.0,225.7424730328846,291.8484733823105,295.9098175174732,3.1725877339942805,4.101642346687651,4.1587205314600375,1.5049498202192315,1.9456564892154045,1.9727321167831555,4.578797185437248,4.178462967694639,4.4769481732479415,3319360.3218234815,3279055.5791827156,5197607.187315016,5.629552901045847,6.622140251058617,4.657981894785884,,20.162951631722553,77.6001595039927,123.38029999906021,126.86656216485152,198.42470939224563
13,4.241900860033674,259.2882172291249,0.01804638909697278,-62.82951348714895,10.0,12.0,5.0,242.47026392448436,413.44170820260666,425.2634978884124,3.407680330821549,5.810515294453057,5.97665888474492,1.6164684261632294,2.7562780546840457,2.8350899859227514,4.493360940265667,4.354053216025819,4.26626915084207,2524690.08682606,5281371.111144322,7570420.9114143895,2.3188034932969277,4.279434665132563,3.958512920463661,91.07453447874813,62.07653852583563,97.61281013807006,199.33384994778925,158.83695074806246,204.97133319823797
14,3.6425175064044217,259.2864335620411,0.01723555003044654,-62.82327693509786,25.0,7.0,18.0,131.20985896908442,281.5207822766556,389.85202041002054,1.8440251121187845,3.9564968378160894,5.478985506841439,0.8747323931272298,1.876805215177705,2.5990134694001386,3.638161094312904,3.7833928269180173,3.951168336500072,1166029.983011596,2675652.057870768,1711387.8135169896,3.820425540671786,6.0837748761882215,2.233682738622003,,,,103.48478590264986,197.7111312768194,159.8773008394178
15,4.4769481732479415,259.284263139732,0.01623913353194051,-62.832521693912284,8.0,22.0,27.0,199.89940096472046,260.30369535837696,279.2217804399076,2.8093888536478078,3.6583116146117023,3.9241866352666817,1.3326626730981372,1.7353579690558474,1.861478536266052,4.578797185437248,4.178462967694639,4.2406843735783415,3319360.3218234815,3279055.5791827156,3923209.513715396,5.629552901045847,6.622140251058617,6.630853012382333,,20.162951631722553,35.84717906685892,123.38029999906021,126.86656216485152,156.33405637003997
