,Unnamed: 0,Unnamed: 0.1,cloudnum,RGAL_KPC,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,RGAL_KPC_nn,RGAL_KPC_nn2,RGAL_KPC_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3,clouds_r400pc,nn_dist,nn3_dist,nn5_dist,clouds_r100pc,clouds_r200pc,clouds_r600pc,clouds_r800pc,clouds_r1000pc,clouds_r1500pc
10,10,10,11,2.9219631874724605,259.2787253352314,0.0141117306915301,-62.82335163584678,28.0,39.0,26.0,233.3316775157894,272.9315068038275,318.44882404773955,4.673147770351549,5.4662499153921615,6.377867025659487,2.5925741946198864,3.032572297820311,3.538320267197112,2.788367374361057,2.65173399514124,2.9742174896045213,5466892.9683873,790630.0515571459,2906622.284741289,5.143573904597962,3.9263466158032254,4.072286768771082,85.17063526658295,,53.3076479353009,161.63893233528202,92.81597798080972,122.1757835595582,6,233.33167751578014,318.4488240477388,385.47192436889804,0,0,10,16,21,45
11,11,11,12,4.571482969081328,259.28634976899866,0.0175886923708578,-62.83235825773609,42.0,24.0,25.0,122.07601396122816,162.53426571135768,210.71382591187057,2.4449284320501827,3.2552229920147013,4.220159286668947,1.3564001551247598,1.8059362856817551,2.341264732354122,4.571333112665847,4.516787405793792,4.344597840831948,1209784.512975535,2099089.835864173,1954008.409837973,4.994925449589461,5.55194212639791,3.131513451453943,29.900524530491424,40.535458657517744,42.61216241701839,89.32646512618493,98.47049983487338,101.15149070751472,6,122.07601396041447,210.71382591104611,323.78506473856675,0,2,8,12,21,41
12,12,12,13,4.020741068096204,259.29015156089093,0.0193293472460129,-62.82509426902846,22.0,21.0,16.0,82.9502606390777,115.4196745833913,234.9920426165728,1.6613210417147688,2.3116158109203897,4.7064014269116194,0.9216695626564204,1.28244082870435,2.6110226957397016,3.954303250377355,4.037554072980131,3.834275550050814,1021395.3278170323,1140079.0260554354,2804252.6612457773,4.365390543425133,1.9665577496037607,4.30439412087962,,,51.79373501273146,79.53195578986018,95.635149291879,112.55427260912418,4,82.95026063907191,234.99204261451274,482.23472772108676,1,2,6,11,13,34
13,13,13,14,4.361361969910363,259.28608812656483,0.0174698714138871,-62.83127455069053,25.0,12.0,24.0,177.09130109406337,220.33967885632603,298.6328045648867,3.54677010711662,4.412945082854164,5.980993406743043,1.967681123267374,2.4482186539591826,3.3181422729431915,4.344597840831948,4.571482969081328,4.516787405793792,1954008.409837973,1930076.8143467847,2099089.835864173,3.131513451453943,7.375911734279726,5.55194212639791,42.61216241701839,44.60716070480968,40.535458657517744,101.15149070751472,103.80854658473952,98.47049983487338,6,177.09130109328206,298.6328045636026,321.0688983044219,0,1,8,16,23,50
14,14,14,15,4.6761424825266085,259.2968425004211,0.0223842286205944,-62.82631169659121,4.0,10.0,8.0,174.1074243689015,231.9675270471932,600.251067777487,3.48700926789559,4.645826676239444,12.021779335322714,1.9345269374322416,2.57741696719104,6.6694563086387575,4.811083629923631,4.6404654192129735,4.254481133910708,1877073.539153062,1573729.3321976194,5734046.45619691,2.016346096224844,3.661624933524585,3.2595063138464013,50.37876934821059,37.35230555706303,68.29399173874656,109.86836611764764,100.77382481426636,132.6748873728476,2,174.10742436657665,600.251067776224,638.5900241753893,0,1,2,8,10,16
15,15,15,16,3.834275550050814,259.2883777647451,0.0185197651746407,-62.82425973597425,22.0,13.0,27.0,152.04910405773194,234.9920426165728,247.59749207892216,3.045227031221504,4.7064014269116194,4.9588623386764645,1.689434489530358,2.6110226957397016,2.7510832453213623,3.954303250377355,4.020741068096204,3.6640403158024735,1021395.3278170323,1136701.0012698488,2244259.9523603343,4.365390543425133,3.788821552355607,3.8348007890852736,,,53.936604307847,79.53195578986018,78.61445923075416,114.10834565526162,5,152.04910405568953,247.59749208113132,376.971039708819,0,1,6,8,14,33
16,16,16,17,4.363383756030302,259.29052801925394,0.019498646561835,-62.82906465611882,19.0,8.0,20.0,186.53348163025584,294.52052400561155,502.1714143020559,3.735877327318124,5.898632987741058,10.057448050195138,2.07259424033618,3.272450266729023,5.579682381133964,4.401162482384426,4.254481133910708,4.003143598582943,1395711.9285600414,5734046.45619691,1246092.3440725894,4.342763262868341,3.2595063138464013,3.204391900466361,,68.29399173874656,68.03106931386985,74.20241480731903,132.6748873728476,132.31977423273705,2,186.53348163025782,502.1714143020554,688.5549893799273,0,1,3,8,22,38
17,17,17,18,3.7043937988739977,259.2817649086683,0.0154970077730993,-62.829052019453314,43.0,50.0,30.0,143.23280385791375,156.12460537491654,241.3812615161114,2.868654891252457,3.126850838568353,4.834364180930077,1.5914755984212667,1.7347178374990757,2.682014016845687,3.550709011705375,3.682643194962663,3.861815162007868,1252550.1897185328,763735.6525823604,1065352.0454787798,5.077051105597148,5.867064647351208,5.323462923248324,31.83375457340133,36.73803213750329,,90.01165335417893,95.90391144968788,79.3548959200008,4,143.23280385581245,241.38126151892553,483.8299284961138,0,2,8,19,31,68
18,18,18,19,4.401162482384426,259.291908778747,0.0201296268251662,-62.8283911043643,8.0,17.0,20.0,175.6845729004806,186.53348163025584,439.2498878223149,3.518596269807765,3.735877327318124,8.797260859555236,1.9520508100053435,2.07259424033618,4.88055430913684,4.254481133910708,4.363383756030302,4.003143598582943,5734046.45619691,2470171.015996616,1246092.3440725894,3.2595063138464013,3.044900187454265,3.204391900466361,68.29399173874656,57.08343204744457,68.03106931386985,132.6748873728476,119.59203641959206,132.31977423273705,2,175.6845729004839,439.2498878223152,619.8909937736663,0,2,4,11,15,35
19,19,19,20,4.003143598582943,259.2889572840741,0.0187828950122564,-62.82668532652916,21.0,8.0,13.0,230.59574298764213,268.1403147103194,340.00462208520787,4.61835269719148,5.370292311660503,6.809584787300006,2.562174922084917,2.979336830114665,3.777829134280095,4.037554072980131,4.254481133910708,4.020741068096204,1140079.0260554354,5734046.45619691,1136701.0012698488,1.9665577496037607,3.2595063138464013,3.788821552355607,,68.29399173874656,,95.635149291879,132.6748873728476,78.61445923075416,4,230.5957429876456,340.0046220852079,439.2498878223152,0,0,7,11,17,42
20,20,20,21,4.037554072980131,259.29006989525925,0.0192916761326788,-62.82566410120001,13.0,22.0,20.0,115.4196745833913,182.17535674758847,230.59574298764213,2.3116158109203897,3.6485931582966575,4.61835269719148,1.28244082870435,2.024170630528765,2.562174922084917,4.020741068096204,3.954303250377355,4.003143598582943,1136701.0012698488,1021395.3278170323,1246092.3440725894,3.788821552355607,4.365390543425133,3.204391900466361,,,68.03106931386985,78.61445923075416,79.53195578986018,132.31977423273705,4,115.41967458339083,230.5957429876456,405.5369384160352,0,2,7,13,13,39
21,21,21,22,3.954303250377355,259.2895323388961,0.0190467361144943,-62.82479664830319,13.0,16.0,21.0,82.9502606390777,152.04910405773194,182.17535674758847,1.6613210417147688,3.045227031221504,3.6485931582966575,0.9216695626564204,1.689434489530358,2.024170630528765,4.020741068096204,3.834275550050814,4.037554072980131,1136701.0012698488,2804252.6612457773,1140079.0260554354,3.788821552355607,4.30439412087962,1.9665577496037607,,51.79373501273146,,78.61445923075416,112.55427260912418,95.635149291879,5,82.95026063907191,182.17535674758832,399.3256541786106,1,3,7,11,13,35
22,22,22,23,0.5856432648423938,259.249017601632,0.000543172567037,-62.822520619029376,5.0,2.0,104.0,138.66995539121478,155.9779817752351,218.1202507523488,2.777270535019201,3.123914273095429,4.368494558150526,1.5407772821246115,1.7330886863915038,2.423558341692768,0.4316791360609841,0.5232664708302889,0.2725565867235497,1080479.066069996,850567.6444020037,7030082.330688594,7.7351046230056015,6.524337932338455,12.936848748106534,55.658701584314734,,51.213024617935766,125.41427260651017,102.72058719595474,110.61688579473513,18,138.66995539003446,218.12025075235016,235.54608763957734,0,2,42,70,94,135
23,23,23,24,4.516787405793792,259.2846722118361,0.0168225873284737,-62.83260280964437,42.0,12.0,25.0,58.360910443902206,162.53426571135768,172.0217949861891,1.1688475453494849,3.2552229920147013,3.4452384530479474,0.6484545604878034,1.8059362856817551,1.9113532776243265,4.571333112665847,4.571482969081328,4.344597840831948,1209784.512975535,1930076.8143467847,1954008.409837973,4.994925449589461,7.375911734279726,3.131513451453943,29.900524530491424,44.60716070480968,42.61216241701839,89.32646512618493,103.80854658473952,101.15149070751472,7,58.36091044290261,172.0217949861885,298.6328045636026,1,4,9,14,22,46
24,24,24,25,4.344597840831948,259.2844852922057,0.016737723416396,-62.83175591773502,24.0,14.0,33.0,172.0217949861891,177.09130109406337,185.24045467502688,3.4452384530479474,3.54677010711662,3.709980689119808,1.9113532776243265,1.967681123267374,2.0582272741669696,4.516787405793792,4.361361969910363,4.166302970029627,2099089.835864173,4600590.362169915,2450067.672865412,5.55194212639791,4.596439688425706,6.8000898964723495,40.535458657517744,64.42150896405732,33.69535915004036,98.47049983487338,128.57664857339137,91.7647814149092,7,172.0217949861885,185.24045467609747,204.57163291609007,0,4,10,17,23,54
25,25,25,26,2.9742174896045213,259.2785290346407,0.0140213234354969,-62.82492466811843,34.0,38.0,1.0,147.2459196886472,234.0334399941239,294.7670009048881,2.9490292471745567,4.687202611922398,5.903569406938658,1.6360657743183051,2.6003715554902698,3.2751888989432074,2.884855652023713,2.7400981452264235,3.2391384010372315,1409533.2140947469,734801.8090461574,1134089.455412398,2.654579754199369,2.184292967569188,6.253424512673097,51.00609802898147,55.54468094325755,81.64534652917625,111.97249482944488,116.67366672936583,154.91600201569096,8,147.24591968865204,294.7670009042196,318.4488240477388,0,1,11,12,22,57
26,26,26,27,3.6640403158024735,259.2866619002885,0.0177366613719503,-62.82331764209446,31.0,16.0,22.0,132.76576124467925,247.59749207892216,399.3256541786032,2.6590218171196,4.9588623386764645,7.997661570588223,1.4751751249408829,2.7510832453213623,4.436951713095596,3.6133932687883497,3.834275550050814,3.954303250377355,2133479.8011816777,2804252.6612457773,1021395.3278170323,6.372455045781339,4.30439412087962,4.365390543425133,,51.79373501273146,,87.95702621810233,112.55427260912418,79.53195578986018,3,132.76576124467786,399.3256541786106,537.7853315929825,0,1,6,8,15,35
27,27,27,28,2.788367374361057,259.2773587130563,0.0134879913972612,-62.82238015154689,51.0,11.0,39.0,230.22472150391152,233.3316775157894,256.7522265869619,4.61092190923372,4.673147770351549,5.142212613315071,2.5580524611545767,2.5925741946198864,2.852802517632916,2.5535663408634752,2.9219631874724605,2.65173399514124,1203355.1529291642,2201395.2077347143,790630.0515571459,3.5457930128470303,5.569132867427514,3.9263466158032254,48.44571304154127,77.95971073070449,,110.84840657182752,152.26303911888235,92.81597798080972,4,230.2247215036104,256.75222658696674,402.43815747625996,0,0,9,17,24,44
28,28,28,29,4.351936727330216,259.2828429488657,0.0159875224595107,-62.83230574189302,59.0,24.0,33.0,157.59804041989872,179.1355772676213,181.3862876680369,3.156360675246017,3.587712703270538,3.632789747250978,1.7510893379988777,1.9903953029735737,2.015403196311525,4.199212577271879,4.516787405793792,4.166302970029627,1988517.7780011185,2099089.835864173,2450067.672865412,3.358748096191908,5.55194212639791,6.8000898964723495,53.6923953559148,40.535458657517744,33.69535915004036,116.86359582602115,98.47049983487338,91.7647814149092,8,157.59804041990031,181.38628766946476,237.4915936714983,0,4,11,20,28,54
29,29,29,30,3.861815162007869,259.2812350724082,0.0152544530943812,-62.83022144122568,50.0,18.0,33.0,164.68526502975402,241.3812615161114,272.84930242401424,3.298303030592452,4.834364180930077,5.464603532790677,1.8298362781083808,2.682014016845687,3.0316589158223857,3.682643194962663,3.7043937988739977,4.166302970029627,763735.6525823604,1524807.5995731414,2450067.672865412,5.867064647351208,5.353398098935021,6.8000898964723495,36.73803213750329,35.7442315860878,33.69535915004036,95.90391144968788,93.73383685064516,91.7647814149092,7,164.6852650310234,272.84930242147783,328.3312535825686,0,1,14,19,29,69
30,30,30,31,3.6133932687883497,259.2860838290849,0.0174729928572051,-62.82271597913176,27.0,16.0,22.0,132.76576124467925,376.9710397064433,527.2628536150997,2.6590218171196,7.5499451786698,10.559977346384366,1.4751751249408829,4.1885671078493765,5.8584761512788965,3.6640403158024735,3.834275550050814,3.954303250377355,2244259.9523603343,2804252.6612457773,1021395.3278170323,3.8348007890852736,4.30439412087962,4.365390543425133,53.936604307847,51.79373501273146,,114.10834565526162,112.55427260912418,79.53195578986018,2,132.76576124467786,527.2628536151044,609.7640857263076,0,1,4,9,15,37
31,31,31,32,0.182193396218398,259.2497214705228,0.0008647167684305,-62.82070781039067,3.0,55.0,120.0,12.812262995897234,85.25134708215136,96.88435436917364,0.2566029563147644,1.7074070129610357,1.940391932302529,0.1423584777321917,0.9472371898016834,1.0764928263241536,0.1887636021850659,0.099687865268107,0.1029938381538048,7080111.321612504,14069510.01461352,11036168.386760855,8.782123820650172,11.505376933761196,5.852375066507751,79.93457159163398,50.61538604093411,50.780451688794855,154.7833165722097,112.20542962229744,115.67241395940584,36,12.812262998512498,96.88435436918641,112.56709893730596,4,10,62,74,87,121
32,32,32,33,4.166302970029627,259.2826226161212,0.0158874011804507,-62.831413877052725,59.0,29.0,25.0,169.42937549449175,181.3862876680369,185.24045467502688,3.3933176873104207,3.632789747250978,3.709980689119808,1.8825486166054672,2.015403196311525,2.0582272741669696,4.199212577271879,4.351936727330216,4.344597840831948,1988517.7780011185,1821483.948351901,1954008.409837973,3.358748096191908,5.954810937870504,3.131513451453943,53.6923953559148,49.95816703450222,42.61216241701839,116.86359582602115,110.21677817170004,101.15149070751472,9,169.42937549547054,185.24045467609747,305.7219606022958,0,3,14,19,27,62
33,33,33,34,2.884855652023713,259.2771531492886,0.0133927737677689,-62.82529305037336,26.0,46.0,38.0,147.2459196886472,165.79213991138784,186.0638610341528,2.9490292471745567,3.3204714302724105,3.726471804394895,1.6360657743183051,1.8421348879043125,2.067376233712812,2.9742174896045213,2.8359303024616653,2.7400981452264235,2906622.284741289,1064087.6448519288,734801.8090461574,4.072286768771082,3.572627178492476,2.184292967569188,53.3076479353009,,55.54468094325755,122.1757835595582,109.34273890750858,116.67366672936583,7,147.24591968865204,186.06386103415176,246.2879278105418,0,3,10,12,25,63
34,34,34,35,3.0653441704501376,259.2795637084825,0.014495970239326,-62.82066293698208,52.0,28.0,61.0,209.63939310394545,402.43815747749807,450.2509606991465,4.1986406341901885,8.059998532317126,9.017589448168591,2.3293265900438427,4.47153508308332,5.002788452212748,3.2532922563852185,2.788367374361057,2.578216513569486,1876487.3623067213,5466892.9683873,2265507.0574161345,5.1496695558172165,5.143573904597962,5.971045461438495,,85.17063526658295,63.0474675367368,92.80878332120577,161.63893233528202,132.28716861615334,1,209.63939310513862,450.2509606991628,548.9315718330189,0,0,8,14,22,37
35,35,35,36,2.9530244444813607,259.27541965572067,0.0126003191722226,-62.82706468105636,44.0,37.0,46.0,145.9883043925494,201.817548022955,245.28202754119133,2.9238418307916194,4.041985360078116,4.912488404125324,1.6220922710283294,2.24241720025506,2.7253558615687967,2.9155718668209287,2.95781688416714,2.8359303024616653,576137.1843864776,351126.1744839574,1064087.6448519288,3.7203446730910414,,3.572627178492476,,,,87.33701832073898,65.94012270853305,109.34273890750858,4,145.9883043912492,245.28202753977746,490.9131119727357,0,1,10,21,32,73
36,36,36,37,2.95781688416714,259.27680546000687,0.0132335325411243,-62.82629256865629,44.0,46.0,36.0,70.50874153436935,121.22403844679717,201.817548022955,1.412143313757022,2.4278651360672017,4.041985360078116,0.783430461492994,1.346933760519971,2.24241720025506,2.9155718668209287,2.8359303024616653,2.9530244444813607,576137.1843864776,1064087.6448519288,755693.1797589541,3.7203446730910414,3.572627178492476,2.352391678648246,,,,87.33701832073898,109.34273890750858,98.03880849404766,6,70.50874153438221,201.8175480218562,319.0359213991765,1,2,9,18,25,66
37,37,37,38,2.7400981452264235,259.27618206002785,0.0129496274467896,-62.824486114355786,34.0,39.0,26.0,186.0638610341528,218.0465477426771,234.0334399941239,3.726471804394895,4.3670184402955385,4.687202611922398,2.067376233712812,2.422739419363083,2.6003715554902698,2.884855652023713,2.65173399514124,2.9742174896045213,1409533.2140947469,790630.0515571459,2906622.284741289,2.654579754199369,3.9263466158032254,4.072286768771082,51.00609802898147,,53.3076479353009,111.97249482944488,92.81597798080972,122.1757835595582,7,186.06386103415176,234.03343999412718,328.2345195112404,0,1,11,13,20,53
38,38,38,39,2.65173399514124,259.27577291962336,0.0127632268063779,-62.823423483634464,51.0,38.0,28.0,203.2249098296454,218.0465477426771,256.7522265869619,4.070171887338514,4.3670184402955385,5.142212613315071,2.2580545536627312,2.422739419363083,2.852802517632916,2.5535663408634752,2.7400981452264235,2.788367374361057,1203355.1529291642,734801.8090461574,5466892.9683873,3.5457930128470303,2.184292967569188,5.143573904597962,48.44571304154127,55.54468094325755,85.17063526658295,110.84840657182752,116.67366672936583,161.63893233528202,6,203.22490983227246,256.75222658696674,395.86373090040905,0,0,10,15,22,48
39,39,39,40,0.2922451762914104,259.25041504090586,0.0011815425413639,-62.82023074843065,9.0,32.0,3.0,57.3017570299069,115.74461337836824,123.02139812280642,1.147634907323782,2.318123658553485,2.4638625087852466,0.6366861892211888,1.2860512597596492,1.3669044235867402,0.28538596111764,0.182193396218398,0.1887636021850659,2526112.836266746,2489690.315321517,7080111.321612504,3.805482162682564,3.6189121949796,8.782123820650172,84.69313759606517,53.61390975152712,79.93457159163398,156.69375561060892,113.62621284560277,154.7833165722097,33,57.30175702732573,123.02139812280312,177.05654894227374,1,8,63,71,84,128
40,40,40,41,0.6914130169040537,259.2531922741006,0.0024502066005865,-62.81940481678791,69.0,80.0,62.0,65.95940218719963,98.50001299707893,101.0339608291396,1.3210295170657858,1.972750211277032,2.0234999113934267,0.7328822465244416,1.094444588856434,1.1225995647682196,0.7662391006891975,0.7452186025859454,0.7862515110273748,251033.7271728055,725508.9874562327,203204.3614218976,2.0038915602595435,6.612195383839147,3.010487067888876,,24.000396534976588,,66.7614139076925,86.47267109428883,66.46701555046123,26,65.959402187199,101.03396082631023,158.09092066692722,2,5,45,66,76,121
41,41,41,42,4.571333112665847,259.28526495700834,0.0170931712728175,-62.832703637822455,24.0,12.0,25.0,58.360910443902206,122.07601396122816,204.57163291878032,1.1688475453494849,2.4449284320501827,4.097143947318863,0.6484545604878034,1.3564001551247598,2.2730181435420067,4.516787405793792,4.571482969081328,4.344597840831948,2099089.835864173,1930076.8143467847,1954008.409837973,5.55194212639791,7.375911734279726,3.131513451453943,40.535458657517744,44.60716070480968,42.61216241701839,98.47049983487338,103.80854658473952,101.15149070751472,7,58.36091044290261,204.57163291609007,298.69739307956377,1,2,8,13,21,43
42,42,42,43,3.550709011705375,259.2807114510594,0.0150162154732422,-62.828531365160295,18.0,50.0,30.0,143.23280385791375,198.6037321513876,344.95677939228983,2.868654891252457,3.9776193184225854,6.908766189175685,1.5914755984212667,2.2067081350154214,3.832853104358784,3.7043937988739977,3.682643194962663,3.861815162007868,1524807.5995731414,763735.6525823604,1065352.0454787798,5.353398098935021,5.867064647351208,5.323462923248324,35.7442315860878,36.73803213750329,,93.73383685064516,95.90391144968788,79.3548959200008,4,143.23280385581245,344.9567793922904,425.1134322710749,0,2,8,20,32,67
43,43,43,44,2.9155718668209287,259.2760860380656,0.0129049285233426,-62.82640972660519,37.0,46.0,36.0,70.50874153436935,110.98012377046024,145.9883043925494,1.412143313757022,2.2227008500214045,2.9238418307916194,0.783430461492994,1.2331124863384495,1.6220922710283294,2.95781688416714,2.8359303024616653,2.9530244444813607,351126.1744839574,1064087.6448519288,755693.1797589541,,3.572627178492476,2.352391678648246,,,,65.94012270853305,109.34273890750858,98.03880849404766,6,70.50874153438221,145.9883043912492,375.4954938389423,1,3,6,19,27,67
44,44,44,45,2.413265408798308,259.26821725301204,0.0093112382044409,-62.8267612621524,73.0,85.0,77.0,187.1513386680275,253.1533190677912,349.56249701914635,3.7482517175818,5.070133987609496,7.001009125445481,2.0794593185336425,2.8128146563087952,3.884027744657189,2.502893335297918,2.680454131435829,2.7746611550886424,1118812.5298352232,706476.5696647407,552614.6011012004,5.246150819205206,4.294182967126936,1.619993021066365,,,20.73640391326456,87.75915718615049,71.96436895881818,83.36810215487527,3,187.1513386680271,349.5624970191472,516.6942853372726,0,1,7,15,24,63
45,45,45,46,2.8359303024616653,259.2758749456267,0.0128087605860007,-62.82586910342796,44.0,37.0,34.0,110.98012377046024,121.22403844679717,165.79213991138784,2.2227008500214045,2.4278651360672017,3.3204714302724105,1.2331124863384495,1.346933760519971,1.8421348879043125,2.9155718668209287,2.95781688416714,2.884855652023713,576137.1843864776,351126.1744839574,1409533.2140947469,3.7203446730910414,,2.654579754199369,,,51.00609802898147,87.33701832073898,65.94012270853305,111.97249482944488,6,110.98012377046003,165.79213991138886,280.96092743982217,0,3,9,16,26,67
