cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3
32,169.56782060122367,142.5321777615377,-32.80054220308085,22.0,16.0,41.0,224.94474782046558,344.7626675916182,370.0469652613489,2.9429481653697915,4.51052389490126,4.8413179150363135
33,169.57445326862626,142.5384293155169,-32.800120322435,38.0,26.0,53.0,164.2777064478958,292.60913745029126,327.25310856648565,2.1492423338901654,3.828200180593083,4.281446643226217
34,169.5705280901811,142.53522039109492,-32.800063907973275,41.0,47.0,22.0,79.88310171248926,191.7034184231915,300.75296989161257,1.0451092097355916,2.508052439588101,3.9347457966809682
35,169.565610537963,142.51852664426573,-32.807897660605306,42.0,51.0,31.0,123.08464703719474,297.69254893953627,319.8590894920049,1.6103142646940458,3.894706363382616,4.184710822182199
36,169.56467640167057,142.52052561888962,-32.80616135831149,31.0,39.0,35.0,135.0370540066644,204.6011772320983,326.25791728851397,1.7666873941108223,2.6767935904343934,4.2684265733020395
37,169.5620395945198,142.52284327371888,-32.80333357611781,40.0,27.0,30.0,191.93534247890892,364.3638660214017,402.5117879234253,2.5110866979154993,4.766966027989073,5.266054616907069
38,169.5733172636983,142.53920864425243,-32.79903862040505,33.0,26.0,19.0,164.2777064478958,281.13029680161844,374.4060956275994,2.1492423338901654,3.6780227109926553,4.898348340677563
39,169.5684076626995,142.52135736185954,-32.80759847387507,31.0,57.0,36.0,70.42719430285594,189.65635167190365,204.6011772320983,0.9213977399959314,2.4812707014125546,2.6767935904343934
40,169.55904646081206,142.5214527020093,-32.802631709003414,37.0,36.0,30.0,191.93534247890892,449.6763630298037,499.5562515172396,2.5110866979154993,5.88310792055008,6.53568562123109
41,169.57170911767687,142.53517616576542,-32.80071069300696,34.0,47.0,53.0,79.88310171248926,117.67550766020372,265.853863740749,1.0451092097355916,1.53954658969836,3.4781614068924935
42,169.56377949869793,142.51760488693088,-32.80751274017747,35.0,49.0,46.0,123.08464703719474,209.9105019419944,230.04018602249542,1.6103142646940458,2.7462553919022454,3.0096116934304122
43,169.57551434962633,142.55019981840152,-32.793334455055295,21.0,8.0,13.0,623.4563910381079,632.2068345700535,717.9997392270486,8.156668959695265,8.27115085797486,9.39357791532302
44,169.54380529527037,142.51265719073825,-32.80012687075307,49.0,46.0,42.0,971.1705462008762,1089.4783169840216,1095.4187173135747,12.705807114394938,14.253625591371046,14.331343744032132
45,169.56529368689448,142.5156997658634,-32.809494474258145,46.0,50.0,51.0,145.08237145262933,252.95601807844866,254.28644907280116,1.8981101049524847,3.309419119744787,3.326825124961258
46,169.56336662758255,142.51593129800497,-32.80834004010827,49.0,45.0,42.0,127.67716764084501,145.08237145262933,230.04018602249542,1.6703981306917648,1.8981101049524847,3.0096116934304122
47,169.57383830113264,142.5355736249303,-32.801579055786256,41.0,53.0,34.0,117.67550766020372,163.36653523901296,191.7034184231915,1.53954658969836,2.13732149704689,2.508052439588101
48,169.5710736056253,142.523087753859,-32.807916714776155,39.0,57.0,31.0,216.79528682891313,248.03579260593568,273.0717522982818,2.8363289110585783,3.2450478967318603,3.5725929154920566
49,169.56136974054857,142.51591418365348,-32.80730401107298,46.0,42.0,45.0,127.67716764084501,209.9105019419944,271.19944247179836,1.6703981306917648,2.7462553919022454,3.548097519079196
50,169.5653304948558,142.5139665470457,-32.8105945910406,55.0,45.0,54.0,202.73703099787872,252.95601807844866,255.48251179265847,2.6524049981550304,3.309419119744787,3.342473192414163
51,169.56887460414208,142.51765611853406,-32.810151311965555,45.0,69.0,35.0,254.28644907280116,283.3734531727335,297.69254893953627,3.326825124961258,3.7073698862033404,3.894706363382616
52,169.55860700054268,142.51018330243426,-32.80942990281217,71.0,55.0,63.0,200.8251923303387,303.8821153004044,361.59525198006577,2.627392446612326,3.975684350833516,4.730744299353428
53,169.57639265181066,142.53675460754502,-32.80218159220723,47.0,58.0,62.0,163.36653523901296,220.3344402577507,245.18938639134888,2.13732149704689,2.8826315929005775,3.2078084144666366
54,169.56976107574758,142.51555689535408,-32.811924892128474,70.0,73.0,60.0,75.65314973912757,232.98203869969842,236.81484183781927,0.9897688227284559,3.048099900081375,3.098244395886892
55,169.56349368848367,142.5123224152524,-32.81065717321785,63.0,50.0,68.0,145.47371517167133,202.73703099787872,244.87378282984758,1.9032300479213369,2.6524049981550304,3.203679378642045
