res_pc,mean_dist_nn,mean_dist_nn2,mean_dist_nn3,90th_nn,90th_nn2,90th_nn3,75th_nn,75th_nn2,75th_nn3,mean_beam_sep,mean_beam_sep2,mean_beam_sep3
60,152.48174656966395,210.17248322076162,260.7090044095625,26543815.725310635,34754571.98070397,46471365.29539637,19185025.552207723,27665923.613565605,33561163.21499422,2.4203451836454595,3.3360711622343113,4.138238165231151
90,195.3158187418247,290.5951594147765,349.52463508518275,33300067.613882143,51367300.9993154,62495918.17116011,24831786.006196395,38364680.5081653,44212889.4106694,2.170175763798054,3.2288351046086303,3.8836070565020337
120,248.4220806912088,357.7153585413127,430.073013571448,45512815.17291291,64800759.03126112,77007602.81428917,33425789.72060279,46864417.22962052,57421174.478694886,2.070184005760075,2.9809613211776083,3.5839417797620694
150,291.8857455477459,394.3825164152254,493.863660048123,51634925.09053974,64043506.47935948,84949747.86042264,41130682.55978632,53531241.06442122,64258806.64979066,1.9459049703183064,2.629216776101503,3.2924244003208205
