,cloudnum,x,y,corrected_y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr
36,37,169.56714480513983,-32.79587083462965,-32.69395046299203,36.0,43.0,0.0018940754896223293,0.0010508940319873229,13372.172848353775,7419.31180569786
37,38,169.5651838900258,-32.79135296842827,-32.68431836124135,42.0,22.0,0.001957322496672122,0.0016093052388559952,13818.696714506288,11361.694894238142
38,39,169.5607236660925,-32.79033466815406,-32.67117117519577,17.0,49.0,0.0006961840439322065,0.001673890768337679,4915.059310325407,11817.668728683215
39,40,169.5652923514688,-32.79666058674675,-32.68989563837252,36.0,51.0,0.001427712413740208,0.001211744429511275,10079.649559311509,8554.915603013029
40,41,169.5583790669592,-32.79571105768025,-32.6698887749374,48.0,48.0,0.0007325472527210785,0.00028604595353338546,5171.783562294124,2019.4844155780206
41,42,169.56534141178105,-32.79330394209611,-32.68667959231542,36.0,36.0,0.001930672199218218,0.0019756583708183196,13630.54561600667,13948.147984929257
42,43,169.5661283153688,-32.798789883007196,-32.694217159095906,51.0,47.0,0.001671533234305674,0.0009509792043686527,11801.02453855216,6713.913128427222
43,44,169.5614010261108,-32.79850960852163,-32.68120122054802,56.0,56.0,0.0009735987972378347,0.00036950120838994603,6873.6074527893425,2608.67851008999
44,45,169.56156739160517,-32.79494462982264,-32.6781095753313,28.0,31.0,0.001240897644502461,0.0010329050882675846,8760.737299182643,7292.3098640658445
45,46,169.56674024163343,-32.80429520248218,-32.70130049426502,53.0,70.0,0.0014971388288817305,0.001319879191885075,10569.800046238046,9318.347019184537
46,47,169.56523034390733,-32.80147488902601,-32.694530222510494,54.0,43.0,0.0009624375766010252,0.0009509792043686527,6794.809235732118,6713.913128427222
47,48,169.55810960640855,-32.79639224523821,-32.66979278900519,41.0,41.0,0.0007325472527210785,0.00028604595353338546,5171.783562294124,2019.4844155780206
48,49,169.55906400331165,-32.794814167289964,-32.670953391454105,41.0,41.0,0.0011285168049725357,0.0012659171120427953,7967.328578531852,8937.374738585777
49,50,169.56801386897374,-32.80047829362082,-32.7007768429137,73.0,34.0,0.0014273890742541621,0.0009624580018243406,10077.366782558527,6794.953437807556
50,51,169.5646086025481,-32.79948594068875,-32.69089604427809,43.0,54.0,0.001671533234305674,0.0010000603618049197,11801.02453855216,7060.42609711882
51,52,169.5587140881324,-32.79722127033705,-32.67235292277175,48.0,20.0,0.0010260023240606085,0.0006987422364589897,7243.576349159572,4933.120149418116
52,53,169.56658584262843,-32.802806046472824,-32.69941459896033,46.0,59.0,0.0014971388288817305,0.0017327543818958413,10569.800046238046,12233.245837035638
