,cloudnum,x,y,corrected_y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr
30,31,169.56798022963505,-32.800423481345334,-32.70063621362539,29.0,29.0,0.002381839163813168,0.0010874672959611113,16815.784360231035,7677.519047260068
31,32,169.5609076087594,-32.79927430173343,-32.68059165279429,21.0,36.0,0.001346457089919707,0.0006921236907131571,9505.98697778824,4886.393216831254
32,33,169.5578321703277,-32.79630560588011,-32.66890652211063,20.0,20.0,0.001975315229170547,0.0006691179197762257,13945.725404915618,4723.972475332918
33,34,169.56469330522822,-32.80579811855373,-32.6974131319487,41.0,53.0,0.0020185140719802697,0.0009402486755294469,14250.709232680403,6638.155595436435
34,35,169.56625286073088,-32.803771258725554,-32.69950838596514,44.0,41.0,0.002245747122343606,0.0018998841443282637,15854.974555243176,13413.181950245298
35,36,169.56039524306377,-32.80117920744649,-32.681056966234,32.0,32.0,0.001972608522159836,0.0006921236907131571,13926.616053574877,4886.393216831254
36,37,169.56447071117887,-32.801103891847546,-32.692140587110885,25.0,26.0,0.0025531444361047355,0.0019096668138436608,18025.199572807334,13482.247596464234
37,38,169.56228352469546,-32.79960705855979,-32.684727962255124,25.0,25.0,0.0008392966430654159,0.0013845092678693156,5925.4342520168975,9774.635351935112
38,39,169.57028876511419,-32.79263168540739,-32.69868158690896,43.0,29.0,0.002676952402121466,0.0026973387597261215,18899.283805801108,19043.211489323457
39,40,169.57552800200247,-32.78902958904496,-32.70763555503667,43.0,55.0,0.0037902551035925323,0.004252943042301278,26759.20081448314,30025.777635291674
40,41,169.56541895699186,-32.80768168659782,-32.70121547832231,52.0,88.0,0.001437064165166151,0.0013637007551299467,10145.672923843555,9627.72725318584
41,42,169.5620155686422,-32.80333382469342,-32.687705477015676,36.0,61.0,0.002695891403770883,0.0012553991344105176,19032.99315636229,8863.117817103739
42,43,169.5727718095519,-32.79163140320546,-32.703742386681284,39.0,29.0,0.002676952402121466,0.004646984777571289,18899.283805801108,32807.7122637507
43,44,169.56817545527184,-32.80493186648384,-32.7056294411074,49.0,47.0,0.0008846087347367719,0.0009677017051526712,6245.337616623892,6831.973983005523
44,45,169.57114338625365,-32.80036145304567,-32.70849765816431,46.0,49.0,0.002604768775565685,0.0024472249492593474,18389.667406447672,17277.40800173966
45,46,169.5733796881889,-32.799025873011175,-32.71256976588828,62.0,55.0,0.002175207947381716,0.002278784649399705,15356.967984048517,16088.219494368812
46,47,169.56736411702462,-32.80754750617926,-32.70615686583071,60.0,44.0,0.0009854995368645631,0.0009677017051526712,6957.62667387308,6831.973983005523
47,48,169.56857968491988,-32.807279346500145,-32.70899822872351,60.0,60.0,0.0008083272520883632,0.000376519526218878,5706.790353490987,2658.227833560659
48,49,169.56879027278094,-32.805567894819745,-32.707825522064375,44.0,60.0,0.0008846087347367719,0.0011642055232565958,6245.337616623892,8219.290927575192
49,50,169.55908763535103,-32.802700589220954,-32.678877328514154,36.0,21.0,0.002006100803567987,0.001722991325593864,14163.07155839998,12164.318660102326
50,51,169.54384487797222,-32.80014928898631,-32.62914130470214,93.0,100.0,0.011361517360613324,0.018769677420690377,80212.31191581882,132513.9215160645
51,52,169.56587524716554,-32.809044387112316,-32.70377543035829,41.0,66.0,0.001437064165166151,0.0010160932624268737,10145.672923843555,7173.618374592405
52,53,169.56379320612336,-32.8079451038931,-32.69714130631842,41.0,34.0,0.0016469531134421147,0.0009402486755294469,11627.488886661917,6638.155595436435
53,54,169.57370693656836,-32.80140742110035,-32.71572215638349,62.0,63.0,0.001848013017736428,0.0021960243870387808,13046.971799475028,15503.93204683627
54,55,169.5755542280173,-32.79323233406946,-32.711888417216095,57.0,57.0,0.0013747362653221025,0.0022701757437723178,9705.637954511003,16027.440621132066
55,56,169.56229364725127,-32.806294115834596,-32.69141936623997,61.0,75.0,0.0015693237320849752,0.0016204694164220499,11079.4254587225,11440.513987215669
56,57,169.57595510673573,-32.79454732306268,-32.71412291809117,55.0,55.0,0.0013747362653221025,0.0022701757437723178,9705.637954511003,16027.440621132066
57,58,169.5787139657294,-32.794860405255704,-32.72064325063281,65.0,65.0,0.0016787725054876325,0.002040333200714699,11852.133792682553,14404.752280296972
58,59,169.57105927674178,-32.80811093110801,-32.71601893548454,71.0,71.0,0.0010252161066541005,0.0004252587855812332,7238.025654314613,3002.327001870003
59,60,169.56823426951408,-32.80801015505504,-32.708848378294554,48.0,48.0,0.0008083272520883632,0.000376519526218878,5706.790353490987,2658.227833560659
60,61,169.56076816934055,-32.80666248266263,-32.68756397800899,68.0,42.0,0.0014454671872578806,0.0012553991344105176,10204.998259330341,8863.117817103739
61,62,169.5751637260564,-32.80027035623796,-32.71800488128316,54.0,64.0,0.001848013017736428,0.0018426490038280408,13046.971799475028,13009.101861588746
62,63,169.57152404234742,-32.80691246301722,-32.7159619394702,59.0,59.0,0.0012854309910816668,0.0004682473852984752,9075.142723483616,3305.8265134139046
63,64,169.57696820403245,-32.79575044316848,-32.71763176657532,57.0,62.0,0.0015728522249724701,0.0018426490038280408,11104.336618306314,13009.101861588746
64,65,169.5788805127146,-32.79653089597011,-32.72267677507861,58.0,58.0,0.0016787725054876325,0.002040333200714699,11852.133792682553,14404.752280296972
65,66,169.5655447737122,-32.81088082435282,-32.70473628040621,81.0,52.0,0.0009781729771403797,0.0010160932624268737,6905.901162639574,7173.618374592405
66,67,169.5685672223523,-32.810378718906605,-32.71205668675159,73.0,105.0,0.0021290904863906987,0.001965785995613479,15031.378712090798,13878.449016547986
67,68,169.5611606448419,-32.808053647056326,-32.69004376384048,61.0,75.0,0.0014454671872578806,0.0009883779474398452,10204.998259330341,6977.948252369868
68,69,169.57597276447584,-32.80543595373083,-32.725025384321235,76.0,96.0,0.001789626078108278,0.001299872416125982,12634.760009041216,9177.099183470136
69,70,169.55822472034146,-32.80936798395935,-32.68304975368498,84.0,36.0,0.0010197762237133072,0.002946586281249306,7199.620081063886,20802.89897701508
70,71,169.57079279353326,-32.80910090826175,-32.71635034419639,77.0,59.0,0.000755115075510403,0.0004252587855812332,5331.112389895415,3002.327001870003
71,72,169.57622051023196,-32.80306252285316,-32.72322542720992,80.0,79.0,0.0012804976103303095,0.0017735495273048549,9040.313055661325,12521.259561288958
72,73,169.56942146953534,-32.81232892096011,-32.71615746020316,106.0,71.0,0.0010490721869004429,0.00138482263922231,7406.449579488734,9776.847753669323
73,74,169.56349612723366,-32.810192692822035,-32.698579444280035,83.0,83.0,0.000682629786832221,0.00024269403055008102,4819.366255975091,1713.4198417965083
74,75,169.5607454810138,-32.810115139873474,-32.69094071978301,84.0,68.0,0.0016459451830311057,0.0009883779474398452,11620.372898017868,6977.948252369868
75,76,169.57766950672993,-32.80486689554171,-32.72830542554486,87.0,87.0,0.0012090178073546367,0.0004769950477983357,8535.665650743182,3367.585010162374
76,77,169.57153865266548,-32.80921877654477,-32.71829752458187,71.0,86.0,0.000755115075510403,0.0008032518555743326,5331.112389895415,5670.9580543923485
77,78,169.57755142683158,-32.80757061866863,-32.73073809713422,94.0,94.0,0.0008164442093578433,0.0008682659571039874,5764.096071349061,6129.957607471575
78,79,169.57445420285606,-32.807324538052534,-32.72338554023136,96.0,72.0,0.0011340724062070355,0.0017735495273048549,8006.551122929527,12521.259561288958
79,80,169.57745669962313,-32.80272859184347,-32.725694727928385,87.0,69.0,0.0012349699404890313,0.0016279079782959974,8718.887709187014,11493.0302336201
80,81,169.56570273935333,-32.81184615809274,-32.70611466151837,91.0,101.0,0.0007977212524953996,0.0008337818345239415,5631.911996971545,5886.499704029648
81,82,169.56096515562396,-32.8120230525115,-32.693454704969106,102.0,56.0,0.0014369950575787624,0.0024305336340282972,10145.185024280547,17159.567317163528
82,83,169.56325418185665,-32.81083100768197,-32.69856039626159,74.0,74.0,0.000682629786832221,0.00024269403055008102,4819.366255975091,1713.4198417965083
83,84,169.5591200301738,-32.8098562091641,-32.68609818408673,70.0,61.0,0.0010197762237133072,0.0022056551261454313,7199.620081063886,15571.925064378147
84,85,169.57208144301336,-32.80850916696832,-32.71890991350694,77.0,77.0,0.000893401988320747,0.0008183162941669979,6307.417986423602,5777.312989994571
85,86,169.57078041736273,-32.81135008998194,-32.71856265241734,73.0,77.0,0.001674768426194302,0.0008032518555743326,11823.864993100753,5670.9580543923485
86,87,169.5781437791349,-32.80375478505062,-32.72825453388045,76.0,76.0,0.0012090178073546367,0.0004769950477983357,8535.665650743182,3367.585010162374
87,88,169.5640554902871,-32.8113504713491,-32.701240742814264,83.0,41.0,0.0009549542932446094,0.0013637007551299467,6741.977255664019,9627.72725318584
88,89,169.57383679964667,-32.81144741566495,-32.72604343425925,111.0,109.0,0.002457251588702364,0.001250025696653655,17348.196075633627,8825.18134684776
89,90,169.57113885976693,-32.813146087532964,-32.72123537802925,122.0,122.0,0.0008200395077491565,0.0002907035628221484,5789.478877786008,2052.3671368901764
90,91,169.566212367031,-32.81245986716619,-32.70806349993967,97.0,97.0,0.0006658885555601016,0.0009748857368485937,4701.173164151869,6882.693246367662
91,92,169.55180773452602,-32.80934827086739,-32.66390041439995,93.0,93.0,0.0011700747849794281,0.000938644129523757,8260.727915002546,6626.827500728077
