,cloudnum,x,corr_x,y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr
20,21,169.56382896602082,-166.75878752020589,-32.78930829142036,42.0,42.0,0.0016303248692867208,0.0023442887181201987,200.8890285059865,288.8638283035894
21,22,169.5612609518855,-166.7548851947161,-32.78898381733025,30.0,30.0,0.0007304927891254949,0.0007777481091253122,90.01149985662211,95.83431192637609
22,23,169.56709276780137,-166.7637467335356,-32.78481291075904,14.0,14.0,0.0008660257780846033,0.0008696175004118102,106.71190785225058,107.15448075447928
23,24,169.55940216926015,-166.75206042650908,-32.79054080875051,19.0,19.0,0.001044152172639147,0.0011004197586069447,128.66068568632232,135.59399136937515
24,25,169.55930742919085,-166.75191644712098,-32.79594867247706,52.0,52.0,0.0008932244850872645,0.0013401122895984406,110.06333917082826,165.12896356917318
25,26,169.55997349942615,-166.75292868601824,-32.79435650110255,53.0,53.0,0.000820596971358256,0.0012453655050888835,101.1141591940737,153.45424164548794
26,27,169.55987542873882,-166.75277964747224,-32.792677291612435,19.0,19.0,0.0011500195557663366,0.0011663012566852714,141.70569048723476,143.71192565032888
27,28,169.5566737403149,-166.74791378961228,-32.791696033825325,37.0,20.0,0.000803142409418845,0.0009754854744428832,98.96340380963309,120.19955836671251
28,29,169.56065109882869,-166.75395842575344,-32.79038769544136,58.0,58.0,0.0008743615371402851,0.0012362786590621162,107.73904211861831,152.33455825913353
29,30,169.56102764122048,-166.754530643912,-32.788291584819774,22.0,22.0,0.0007304927891254949,0.0007777481091253122,90.01149985662211,95.83431192637609
30,31,169.5665924187407,-166.76298650434893,-32.78685366233852,14.0,14.0,0.0012539951241764724,0.0013475736436641488,154.5175854167456,166.04835343915357
31,32,169.55666604457866,-166.74790209324715,-32.79402360355495,64.0,64.0,0.000542873296379769,0.0005431708456919692,66.89298014529315,66.92964424420165
32,33,169.55580805886422,-166.7465980670987,-32.79329779390644,32.0,47.0,0.0011238056469253673,0.001218373431733029,138.47560623862068,150.12827177532807
33,34,169.56072415229303,-166.7540694430131,-32.79377716955012,35.0,35.0,0.0009217834742450343,0.0010309757417512162,113.58238478872859,127.03708265473097
34,35,169.5611276947893,-166.7546826907224,-32.79294841251268,48.0,48.0,0.0007790084645744958,0.0009924301319315246,95.98961323259336,122.28748320021464
35,36,169.5635827242915,-166.75841334674783,-32.792643378324655,75.0,75.0,0.0005272307918003848,0.0006904504382615504,64.96550691124516,85.07747160514056
36,37,169.55724989181246,-166.74878944601812,-32.791136491886185,20.0,20.0,0.0006247495203902228,0.000829261293840983,76.98178846138953,102.18177912615454
