,Unnamed: 0,Unnamed: 0.1,cloudnum,RGAL_KPC,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,clouds_r400pc,nn_dist,nn3_dist,nn5_dist,clouds_r100pc,clouds_r200pc,clouds_r600pc,clouds_r800pc,clouds_r1000pc,clouds_r1500pc
0,0,0,1,1.0361794083897646,194.16834247605573,-0.0113649787729379,21.687872306431213,2.0,3.0,7.0,157.0262027828712,160.15818787246016,273.8482401441017,3.1887719791065483,3.252374015681747,5.561107504501201,1.30855168985726,1.334651565603835,2.282068667867514,6,157.02620278287085,273.8482401440992,310.62351607367725,0,2,17,25,36,69
1,1,1,2,0.9929751361711816,194.16889530981769,-0.0108514283726594,21.68589787874922,7.0,1.0,3.0,132.31139884619955,157.0262027828712,240.27014351907,2.686882021470971,3.1887719791065483,4.879228354830309,1.1025949903849963,1.30855168985726,2.0022511959922493,7,132.3113988461969,240.27014351907152,257.21735546338346,0,2,18,26,46,72
2,2,2,3,0.9313851330501072,194.1704027419393,-0.009450503955774,21.68868751925119,1.0,8.0,5.0,160.15818787246016,162.11436480323243,206.4248960214891,3.252374015681747,3.292098609873499,4.191924102842216,1.334651565603835,1.350953040026937,1.7202074668457423,11,160.15818787246226,206.42489602148754,240.27014351907152,0,2,19,28,48,73
3,3,3,4,0.2677711838521859,194.1784328854328,-0.0019889073662312,21.68453217320884,9.0,12.0,20.0,121.8843731466077,138.3748483820298,154.00105164344134,2.4751376960843468,2.8100140697146494,3.127339447369696,1.0157031095550642,1.153123736516915,1.283342097028678,31,121.8843731466051,154.00105164266577,198.7608404775728,0,5,59,71,74,77
4,4,4,5,0.7333373474555763,194.17236394969456,-0.0076282430026512,21.68671976157062,14.0,11.0,7.0,165.60738783640068,178.91762071247794,203.14092489275336,3.363032337959265,3.6333267020744486,4.125235646202992,1.380061565303339,1.4909801726039829,1.6928410407729446,16,165.60738783639835,203.1409248927566,256.0237039570739,0,2,27,47,60,74
5,5,5,6,0.4683063851948338,194.1756890665171,-0.0045385397757052,21.68494192836737,22.0,11.0,4.0,176.38482434875806,181.88946355945845,198.76084047765823,3.581892546944424,3.693676688438593,4.036288131702564,1.4698735362396504,1.5157455296621538,1.6563403373138188,22,176.38482434875615,198.7608404775728,267.12996071515806,0,3,49,65,72,77
6,6,6,7,0.8989739442482833,194.1703608495264,-0.0094896834615382,21.684848742982552,13.0,2.0,5.0,129.74945302228488,132.31139884619955,203.14092489275336,2.6348559206641875,2.686882021470971,4.125235646202992,1.081245441852374,1.1025949903849963,1.6928410407729446,13,129.74945302252254,203.1409248927566,234.09545154627747,0,2,22,36,54,73
7,7,7,8,0.9904227263596936,194.171735933762,-0.0082115976108324,21.690390842776488,10.0,18.0,3.0,81.19778458247698,155.4354367979163,162.11436480323243,1.6489045500269592,3.156467880120253,3.292098609873499,0.6766482048539749,1.2952953066493025,1.350953040026937,9,81.19778458247613,162.11436480323053,267.82991803964944,1,3,16,28,50,73
8,8,8,9,0.147986259640665,194.1800347006498,-0.0005004507151737,21.68399168183268,15.0,27.0,42.0,61.749636393534,93.59690248658148,117.2970639142854,1.253965941747896,1.9006966652124613,2.381982013272906,0.51458030327945,0.7799741873881789,0.9774755326190452,33,61.7496363939114,117.297063914283,128.05223344329008,2,15,59,71,75,77
9,9,9,10,0.933480158147688,194.17284097594376,-0.0071848104917085,21.69014874968122,8.0,18.0,14.0,81.19778458247698,81.78643689023896,161.16810559774638,1.6489045500269592,1.6608584656866492,3.27288267784464,0.6766482048539749,0.6815536407519913,1.3430675466478863,10,81.19778458247613,161.16810559774564,207.510544057039,2,4,20,34,54,74
10,10,10,11,0.6094070336669287,194.1748196973897,-0.0053463009938648,21.68716274077108,14.0,16.0,5.0,109.2646462061848,135.31239374258936,178.91762071247794,2.2188656157663846,2.747824006091728,3.6333267020744486,0.9105387183848732,1.1276032811882446,1.4909801726039829,18,109.26464620618816,178.9176207124802,232.80505989911725,0,4,37,57,68,76
